run,period,comp,cube,aeq,pct,corr,n
drv_lrf_wlk,AM,TOTIVT,48.3271,48.3153,-0.0245,0.9801,381758
drv_lrf_wlk,AM,IWAIT,15.3455,14.1711,-7.6535,0.9666,381758
drv_lrf_wlk,AM,XWAIT,9.8758,10.4485,5.7989,0.9637,338882
drv_lrf_wlk,AM,WAUX,4.9402,4.9344,-0.1176,0.9861,376657
drv_lrf_wlk,AM,BOARDS,2.0161,2.0164,0.0158,0.9936,381758
drv_lrf_wlk,AM,FARE,286.0402,287.4068,0.4778,0.9812,381758
drv_lrf_wlk,AM,KEYIVT,32.3462,32.2363,-0.3395,0.9667,381758
drv_lrf_wlk,AM,DTIM,19.4268,19.4649,0.1961,0.9994,381758
drv_lrf_wlk,AM,DDIST,16.2514,16.3198,0.4214,0.9992,381758
drv_lrf_wlk,MD,TOTIVT,47.8983,48.7069,1.6880,0.9709,354278
drv_lrf_wlk,MD,IWAIT,14.4270,11.6112,-19.5174,0.9173,354278
drv_lrf_wlk,MD,XWAIT,8.8202,8.7590,-0.6933,0.9540,312853
drv_lrf_wlk,MD,WAUX,4.9962,4.8870,-2.1850,0.9613,348968
drv_lrf_wlk,MD,BOARDS,1.9831,1.9846,0.0745,0.9922,354278
drv_lrf_wlk,MD,FARE,277.2661,278.5330,0.4569,0.9811,354203
drv_lrf_wlk,MD,KEYIVT,32.5132,33.1176,1.8591,0.9547,354278
drv_lrf_wlk,MD,DTIM,19.4203,20.0808,3.4011,0.9931,354278
drv_lrf_wlk,MD,DDIST,16.5102,17.0689,3.3839,0.9931,354278
drv_lrf_wlk,PM,TOTIVT,49.3797,48.6751,-1.4268,0.9517,433663
drv_lrf_wlk,PM,IWAIT,16.4968,14.0067,-15.0943,0.9302,433663
drv_lrf_wlk,PM,XWAIT,8.4288,8.6543,2.6750,0.9428,386512
drv_lrf_wlk,PM,WAUX,5.2923,5.2707,-0.4068,0.9533,428209
drv_lrf_wlk,PM,BOARDS,1.9801,1.9805,0.0186,0.9915,433663
drv_lrf_wlk,PM,FARE,302.4108,302.6846,0.0906,0.9919,433588
drv_lrf_wlk,PM,KEYIVT,33.0385,32.3061,-2.2170,0.9333,433663
drv_lrf_wlk,PM,DTIM,19.7628,19.7321,-0.1554,0.9942,433663
drv_lrf_wlk,PM,DDIST,16.4186,16.5145,0.5846,0.9964,433663
drv_lrf_wlk,EV,TOTIVT,46.1199,46.1642,0.0961,0.9877,330439
drv_lrf_wlk,EV,IWAIT,15.8102,15.3760,-2.7468,0.9903,330439
drv_lrf_wlk,EV,XWAIT,10.8754,11.3794,4.6343,0.9757,289081
drv_lrf_wlk,EV,WAUX,4.7364,4.7181,-0.3860,0.9661,324601
drv_lrf_wlk,EV,BOARDS,1.9520,1.9507,-0.0668,0.9956,330439
drv_lrf_wlk,EV,FARE,281.9628,280.3916,-0.5573,0.9961,330364
drv_lrf_wlk,EV,KEYIVT,30.3620,30.5137,0.4993,0.9818,330439
drv_lrf_wlk,EV,DTIM,19.2807,19.8712,3.0624,0.9970,330439
drv_lrf_wlk,EV,DDIST,16.5145,16.6897,1.0606,0.9982,330439
drv_exp_wlk,EA,TOTIVT,62.6003,62.6198,0.0312,0.9860,54010
drv_exp_wlk,EA,IWAIT,37.8871,36.9251,-2.5391,0.8509,54010
drv_exp_wlk,EA,XWAIT,18.9567,18.9908,0.1795,0.8392,42997
drv_exp_wlk,EA,WAUX,2.5176,2.5359,0.7268,0.3419,26133
