A,B,Parallel_Corridor
2432,2433,EastBay_Outer80_PM
2433,2410,EastBay_Outer80_PM
2433,2432,EastBay_Outer80_AM
2435,2239,EastBay_Outer80_PM
2435,2244,EastBay_Outer80_AM
2436,2229,EastBay_Outer80_PM
2436,2437,EastBay_Outer80_AM
2437,2239,EastBay_Outer80_AM
2437,2436,EastBay_Outer80_PM
2439,1689,Periphery_SR4_AM
2439,1701,Periphery_SR4_PM
2442,12060,EastBay_Outer80_AM
2462,2988,EastBay_68024980_AM
2462,12076,EastBay_68024980_PM
2466,2476,EastBay_Outer80_PM
2466,2537,EastBay_Outer80_AM
2476,2466,EastBay_Outer80_AM
2476,12060,EastBay_Outer80_PM
2479,2177,EastBay_Outer80_PM
2479,2234,EastBay_Outer80_AM
2484,1672,EastBay_Outer80_PM
2491,2315,EastBay_Outer80_PM
2491,2394,EastBay_Outer80_AM
2492,2429,EastBay_Outer80_PM
2492,2493,EastBay_Outer80_AM
2493,2492,EastBay_Outer80_PM
2493,2536,EastBay_Outer80_AM
2494,2495,EastBay_Outer80_AM
2495,2494,EastBay_Outer80_PM
2495,2519,EastBay_Outer80_AM
2497,2394,EastBay_Outer80_PM
2497,2517,EastBay_Outer80_AM
2510,2518,EastBay_InnerBBApproach80580880_PM
2517,2497,EastBay_Outer80_PM
2517,2518,EastBay_Outer80_AM
2518,2510,EastBay_InnerBBApproach80580880_AM
2518,2517,EastBay_Outer80_PM
2519,2495,EastBay_Outer80_PM
2519,2520,EastBay_Outer80_AM
2520,2519,EastBay_Outer80_PM
2520,2522,EastBay_InnerBBApproach80580880_AM
2521,2525,EastBay_Outer80_AM
2521,2552,EastBay_Outer80_PM
2522,2520,EastBay_InnerBBApproach80580880_PM
2522,2523,EastBay_InnerBBApproach80580880_AM
2523,2522,EastBay_InnerBBApproach80580880_PM
2523,2524,EastBay_InnerBBApproach80580880_AM
2524,2523,EastBay_InnerBBApproach80580880_PM
2524,2576,EastBay_InnerBBApproach80580880_AM
2525,2521,EastBay_InnerBBApproach80580880_PM
2525,2553,EastBay_InnerBBApproach80580880_AM
2531,2532,EastBay_Outer80_PM
2531,2534,EastBay_Outer80_AM
2532,2531,EastBay_Outer80_AM
2532,2537,EastBay_Outer80_PM
2534,2531,EastBay_Outer80_PM
2534,2620,EastBay_InnerBBApproach80580880_AM
