N,X,Y,latitude,longitude
36,551957.81250,4183671.22942,37.79893855,-122.40981700
37,552255.25000,4183698.08341,37.79916361,-122.40643700
38,552240.81250,4184078.17062,37.80259006,-122.40657300
39,551473.50000,4184039.18142,37.80228224,-122.41529200
40,550970.06250,4184210.93926,37.80385849,-122.42099800
41,551701.56250,4184569.26164,37.80704682,-122.41266400
42,555445.12500,4186533.71773,37.82453205,-122.36998800
43,549667.12500,4184267.20476,37.80443741,-122.43579500
44,550200.12500,4183899.99835,37.80109872,-122.42976600
45,550194.31250,4183458.46360,37.79711959,-122.42986200
46,550573.00000,4183026.76133,37.79320787,-122.42559100
47,550036.06250,4182817.51599,37.79135156,-122.43170400
48,549167.81250,4182618.60677,37.78960598,-122.44157800
49,549538.06250,4183057.07819,37.79353783,-122.43734400
50,549192.50000,4183547.81773,37.79797943,-122.44123500
51,548838.25000,4184111.15187,37.80307566,-122.44522100
52,547066.93750,4183640.73882,37.79892895,-122.46537200
53,546160.93750,4180342.03992,37.76924451,-122.47587200
54,543466.25000,4180841.49081,37.77387813,-122.50643800
55,543582.37500,4181346.74927,37.77842644,-122.50508900
56,543890.18750,4182061.08019,37.78484990,-122.50155000
57,545057.50000,4182310.80564,37.78704382,-122.48827800
58,545098.12500,4181805.54718,37.78248798,-122.48784900
59,544600.12500,4181184.06093,37.77691104,-122.49354200
60,545551.12500,4180911.18163,37.77440471,-122.48276000
61,545522.12500,4181346.74927,37.77833187,-122.48306200
62,545958.00000,4181890.00000,37.78320630,-122.47807800
63,546288.68750,4181311.90386,37.77797930,-122.47436000
64,546898.50000,4181352.55684,37.77831461,-122.46743300
65,546811.37500,4182119.15588,37.78522832,-122.46837300
66,547450.18750,4182055.27262,37.78461959,-122.46112200
67,547461.81250,4181323.51899,37.77802381,-122.46103800
68,547868.37500,4181358.36440,37.77831666,-122.45641900
69,548576.87500,4181520.97632,37.77974486,-122.44836300
70,548274.87500,4181968.15910,37.78379125,-122.45176300
71,548213.00000,4182527.00000,37.78883125,-122.45242800
72,549471.25000,4182316.61321,37.78686779,-122.43815300
73,550172.00000,4182444.00000,37.78797769,-122.43018600
74,549844.00000,4182132.00000,37.78518365,-122.43393200
75,550809.87500,4182438.57214,37.78789351,-122.42294200
76,550911.50000,4181828.77745,37.78239191,-122.42183100
77,550259.00000,4181918.00000,37.78323218,-122.42923400
78,550397.56250,4181619.70499,37.78053608,-122.42768200
79,550763.43750,4181277.05845,37.77742763,-122.42355100
80,550324.93750,4181169.61843,37.77648355,-122.42853800
81,550409.18750,4180667.26375,37.77195128,-122.42761600
82,550037.50000,4180124.25610,37.76707768,-122.43187400
83,549436.43750,4179895.11505,37.76504518,-122.43871300
84,549754.37500,4180550.75896,37.77093713,-122.43505900
85,549662.93750,4180975.93411,37.77477412,-122.43606800
86,549619.25000,4181611.71003,37.78050662,-122.43652000
87,548649.68750,4180928.25091,37.77439886,-122.44757600
88,548633.81250,4180503.07577,37.77056768,-122.44778500
89,548578.18750,4179978.56064,37.76584326,-122.44845200
90,547429.81250,4179839.48465,37.76465009,-122.46149900
91,547898.68750,4179152.05194,37.75842991,-122.45622100
92,548516.43750,4178679.33738,37.75413684,-122.44924000
93,549021.00000,4178887.89093,37.75598959,-122.44349800
94,549696.37500,4179213.82433,37.75889073,-122.43580900
95,549541.81250,4178602.27919,37.75338736,-122.43760500
96,549588.87500,4178199.06262,37.74975068,-122.43709800
97,550234.00000,4178195.70248,37.74968519,-122.42977600
98,550239.00000,4178666.00000,37.75392363,-122.42968700
99,550825.37500,4178367.06952,37.75119703,-122.42305100
100,551305.87500,4178390.59049,37.75138219,-122.41759600
101,551242.06250,4179274.30682,37.75935054,-122.41825800
102,550734.68750,4179270.94668,37.75934854,-122.42401800
103,550187.00000,4179293.00000,37.75957753,-122.43023400
104,550261.06250,4179918.08742,37.76520726,-122.42935000
105,550633.87500,4180158.02315,37.76734918,-122.42510000
106,551198.37500,4180366.35172,37.76919536,-122.41867600
107,551574.62500,4180315.88596,37.76871937,-122.41440800
108,552924.68750,4180226.11385,37.76783311,-122.39908700
109,553466.75000,4181196.34321,37.77654600,-122.39286100
110,553632.50000,4180533.41069,37.77056145,-122.39102800
111,554016.56250,4179304.73442,37.75946509,-122.38675900
112,553209.87500,4179595.76737,37.76213540,-122.39589500
113,553133.00000,4178840.00000,37.75532831,-122.39682300
114,552668.37500,4179484.80667,37.76116668,-122.40205000
115,552199.81250,4179319.61333,37.75970470,-122.40738200
116,551737.00000,4179442.00000,37.76083405,-122.41262700
117,551809.37500,4178959.19152,37.75647850,-122.41184000
118,551686.18750,4178376.50958,37.75123387,-122.41328000
119,551946.75000,4178306.48716,37.75058801,-122.41032700
120,552365.00000,4178490.64315,37.75222392,-122.40556600
121,552193.81250,4177670.68352,37.74484357,-122.40756800
122,551502.50000,4177624.67813,37.74446811,-122.41541800
123,551184.56250,4177543.48932,37.74375421,-122.41903200
124,551108.25000,4176863.66554,37.73763134,-122.41994600
125,551761.12500,4176806.43060,37.73707880,-122.41254100
126,550898.37500,4176395.18703,37.73342071,-122.42236100
127,550413.68750,4176818.42722,37.73726214,-122.42783200
128,550634.43750,4177650.23153,37.74474688,-122.42526900
129,549450.56250,4177786.08543,37.74603606,-122.43869700
130,549481.62500,4177071.88205,37.73959737,-122.43839300
131,548789.12500,4176637.65702,37.73572093,-122.44628100
132,547909.56250,4175938.47233,37.72946572,-122.45630900
133,548868.31250,4175965.64311,37.72965992,-122.44542800
134,549679.00000,4175880.00000,37.72884439,-122.43623400
135,550037.37500,4175270.65715,37.72333294,-122.43220900
136,550613.75000,4175596.79465,37.72624070,-122.42564700
137,550874.18750,4175933.87577,37.72926433,-122.42266800
138,551977.37500,4176007.93147,37.72986980,-122.41014400
139,552677.06250,4176610.59165,37.73526147,-122.40216000
140,553220.00000,4176373.00000,37.73308870,-122.39601600
141,553581.06250,4176748.48847,37.73645183,-122.39189100
142,553244.00000,4177320.50491,37.74162697,-122.39567400
143,553846.62500,4176876.17071,37.73758702,-122.38886800
144,554239.87500,4176636.12809,37.73540034,-122.38442300
145,554960.00000,4176247.97408,37.73185904,-122.37628000
146,555777.18750,4175507.41708,37.72513514,-122.36706300
147,553999.87500,4175885.35652,37.72864799,-122.38720200
148,553938.56250,4175052.86830,37.72114854,-122.38796000
149,553427.81250,4174164.19990,37.71316907,-122.39382000
150,553081.75000,4175850.10773,37.72838399,-122.39762300
151,552574.18750,4175156.87451,37.72216529,-122.40343300
152,551998.56250,4175262.09741,37.72314652,-122.40995700
153,552555.62500,4174581.24335,37.71697828,-122.40368500
154,552360.68750,4173987.04345,37.71163401,-122.40594000
155,551939.75000,4174191.29966,37.71349891,-122.41070000
156,551504.00000,4173802.00000,37.71001481,-122.41567200
157,551108.00000,4173917.00000,37.71107347,-122.42015600
158,551215.62500,4174652.42355,37.71769574,-122.41888300
159,550140.68750,4173854.24682,37.71056134,-122.43113500
160,550392.06250,4174941.03432,37.72034264,-122.42820800
161,549736.00000,4174664.00000,37.71788163,-122.43567000
162,549478.00000,4174206.00000,37.71376770,-122.43862900
163,549050.25000,4173754.43980,37.70972083,-122.44351200
164,548188.93750,4173787.70881,37.71006639,-122.45328100
165,549138.93750,4174859.71008,37.71967778,-122.44243100
166,548100.25000,4175000.17921,37.72099896,-122.45420700
167,548048.31250,4174272.29028,37.71444128,-122.45484500
168,546954.31250,4174600.95115,37.71746022,-122.46723600
169,546965.37500,4176009.33903,37.73015336,-122.46701900
170,546843.37500,4177099.82309,37.73998806,-122.46833300
171,547723.18750,4177521.23048,37.74374069,-122.45832000
172,546843.37500,4177754.11352,37.74588511,-122.46829100
173,546580.93750,4178341.86594,37.75119587,-122.47123200
174,546688.00000,4178913.00000,37.75633798,-122.46998000
175,546925.00000,4179651.00000,37.76297735,-122.46724200
176,546407.18750,4179665.23303,37.76313206,-122.47312000
177,545627.25000,4179373.20510,37.76053930,-122.48199300
178,544817.68750,4179280.79119,37.75974642,-122.49118900
179,544174.50000,4179025.72882,37.75747886,-122.49850600
180,543597.81250,4179473.01211,37.76153787,-122.50502600
181,543509.12500,4178752.18367,37.75504531,-122.50607600
182,543734.56250,4177425.12002,37.74307381,-122.50359700
183,544296.43750,4177384.45791,37.74268029,-122.49722200
184,544884.18750,4178086.80357,37.74898184,-122.49050800
185,545730.75000,4178134.85880,37.74937303,-122.48089600
186,545438.68750,4176896.51250,37.73822646,-122.48428800
187,545357.37500,4176231.13240,37.73223346,-122.48525300
188,545882.31250,4175392.01416,37.72464437,-122.47934900
189,545922.93750,4174612.04082,37.71761247,-122.47893700
190,545017.31250,4175088.89656,37.72195533,-122.48918300
191,545625.81250,4173236.64594,37.70523093,-122.48239400
192,545738.06250,4172642.44915,37.69986984,-122.48115800
193,545830.50000,4171500.27086,37.68957077,-122.48018200
194,545856.87500,4170569.36255,37.68117917,-122.47994100
195,544865.00000,4171715.00000,37.69155389,-122.49111900
196,544754.31250,4170628.78223,37.68176919,-122.49244100
197,545282.50000,4169671.46517,37.67311493,-122.48651000
198,546002.12500,4169024.45088,37.66724757,-122.47839100
199,546671.50000,4169295.58007,37.66965745,-122.47078400
200,548204.25000,4170059.55564,37.67646390,-122.45335400
201,547328.81250,4171286.22021,37.68756541,-122.46320200
202,547957.87500,4172390.56073,37.69748610,-122.45599500
203,547021.31250,4172397.55023,37.69759763,-122.46661800
204,547363.75000,4173376.07980,37.70639944,-122.46267000
205,548649.81250,4173250.26886,37.70519813,-122.44808900
206,550047.75000,4173061.55244,37.70342194,-122.43224300
207,551613.37500,4172942.73099,37.70226417,-122.41449200
208,552277.37500,4170908.78738,37.68389482,-122.40710600
209,551215.00000,4168881.83326,37.66568597,-122.41929600
210,552279.62500,4168222.24547,37.65968110,-122.40727300
211,551275.68750,4167761.18221,37.65558220,-122.41868700
212,552547.18750,4167459.36228,37.65279000,-122.40429400
213,549901.43750,4166412.62507,37.64350341,-122.43435800
214,548886.81250,4167626.32649,37.65449710,-122.44577700
215,550081.25000,4168377.66547,37.66120451,-122.43218500
216,549464.75000,4168647.37690,37.66366885,-122.43915700
217,548052.00000,4168531.78628,37.66270210,-122.45518200
218,547583.18750,4167510.73588,37.65352378,-122.46056300
219,546877.00000,4167857.00000,37.65668101,-122.46854700
220,546292.43750,4167414.41037,37.65272160,-122.47520200
221,545483.31250,4168050.15874,37.65849209,-122.48433400
222,545297.06250,4167125.43384,37.65016669,-122.48650300
223,545502.56250,4165295.24916,37.63366092,-122.48428800
224,545821.50000,4163040.77153,37.61332522,-122.48081500
225,543865.00000,4160838.58892,37.59357202,-122.50311400
226,545280.37500,4160126.65519,37.58708666,-122.48712600
227,547047.87500,4160643.46048,37.59165602,-122.46707400
228,547616.37500,4164281.76970,37.62441922,-122.46039800
229,548081.50000,4164829.58331,37.62933247,-122.45509100
230,547502.62500,4166845.12393,37.64752877,-122.46152000
231,548415.00000,4165972.00000,37.63961161,-122.45123600
232,548732.62500,4165139.66648,37.63209296,-122.44769100
233,550035.00000,4163485.88956,37.61711740,-122.43304500
234,550754.56250,4165207.90972,37.63259855,-122.42477200
235,551148.00000,4164171.00000,37.62323105,-122.42038600
236,551540.81250,4163619.41459,37.61823765,-122.41597400
237,552098.00000,4164208.81933,37.62351854,-122.40961800
238,552055.06250,4165201.75380,37.63247029,-122.41003400
239,553681.18750,4164418.18994,37.62531447,-122.39166300
240,553723.31250,4162269.70840,37.60594779,-122.39134300
241,552012.93750,4162353.96258,37.60680551,-122.41071400
242,551229.37500,4161898.99002,37.60274882,-122.41962300
243,552454.00000,4161005.00000,37.59462222,-122.40581400
244,553138.00000,4161577.00000,37.59973841,-122.39802500
245,553015.56250,4160500.37067,37.59004179,-122.39949000
246,553866.56250,4159455.61886,37.58057598,-122.38992800
247,555021.00000,4159783.00000,37.58345838,-122.37682900
248,555686.43750,4160871.08905,37.59322528,-122.36921000
249,558168.12500,4159930.37134,37.58459307,-122.34117500
250,556451.68750,4159747.19919,37.58304905,-122.36062900
251,557387.93750,4159231.60351,37.57834409,-122.35006600
252,555461.18750,4157684.81647,37.56452100,-122.37200300
253,557825.68750,4158143.53785,37.56851000,-122.34519400
254,557364.56250,4155996.36566,37.54918639,-122.35058400
255,559080.56250,4156659.00439,37.55505030,-122.33110500
256,559451.75000,4157191.98989,37.55983019,-122.32685900
257,560018.06250,4157701.18139,37.56438277,-122.32040600
258,558504.75000,4158686.25281,37.57335856,-122.33746200
259,559090.06250,4159366.76108,37.57945455,-122.33077900
260,559849.00000,4158677.00000,37.57318876,-122.32224100
261,560474.87500,4159276.34390,37.57854968,-122.31510400
262,561550.37500,4158405.48366,37.57062942,-122.30299800
263,561674.12500,4157791.59858,37.56508826,-122.30164800
264,562242.00000,4157251.00000,37.56017770,-122.29526400
265,563035.12500,4157315.71867,37.56070706,-122.28627900
266,564009.75000,4157098.15587,37.55867897,-122.27526300
267,565352.93750,4157993.62844,37.56665538,-122.25997700
268,565045.93750,4157270.85415,37.56016288,-122.26351700
269,566139.68750,4156899.87266,37.55674140,-122.25116700
270,565602.37500,4156113.13605,37.54968910,-122.25732100
271,564572.62500,4156196.28708,37.55051128,-122.26897000
272,564060.93750,4155217.66349,37.54172679,-122.27484800
273,565033.12500,4154744.34228,37.53739272,-122.26388600
274,563312.56250,4155607.83368,37.54529507,-122.28328500
275,563996.93750,4153669.77520,37.52778029,-122.27570800
276,563255.00000,4154143.09642,37.53209749,-122.28406300
277,562864.81250,4154840.28577,37.53840788,-122.28841900
278,561841.43750,4156087.55112,37.54971862,-122.29989700
279,561201.81250,4157142.92950,37.55927338,-122.30705000
280,560331.87500,4156260.24940,37.55137523,-122.31697200
281,560824.43750,4155300.81452,37.54269551,-122.31147500
282,559826.62500,4154981.00289,37.53987838,-122.32279600
283,560687.43750,4154446.57072,37.53500528,-122.31309600
284,562263.56250,4154200.66251,37.53268382,-122.29527900
285,561515.18750,4153740.13376,37.52858333,-122.30378700
286,562794.43750,4152710.34032,37.51921564,-122.28939800
287,563581.18750,4152166.66055,37.51426159,-122.28054300
288,561003.50000,4150925.79142,37.50325170,-122.30981200
289,560751.12500,4152501.51982,37.51747039,-122.31253700
290,559507.62500,4153826.14211,37.52949028,-122.32650000
291,558516.37500,4153826.14211,37.52955373,-122.33771800
292,557678.37500,4152735.80676,37.51977929,-122.34728700
293,544534.75000,4156110.46312,37.55092427,-122.49581500
294,547130.18750,4153259.19635,37.52509606,-122.46661600
295,552247.81250,4153990.29039,37.53140976,-122.40864900
296,555180.37500,4143508.92093,37.43676869,-122.37624600
297,559831.12500,4128050.43020,37.29714847,-122.32492700
298,570031.25000,4136433.07136,37.37198937,-122.20905700
299,565821.50000,4141113.85689,37.41448600,-122.25618200
300,566719.68750,4144522.78378,37.44514634,-122.24572400
301,566592.87500,4145973.31833,37.45822909,-122.24702700
302,564756.81250,4146633.91155,37.46431346,-122.26772800
303,566178.00000,4147198.39728,37.46930046,-122.25160700
304,564232.06250,4148298.54448,37.47935339,-122.27351600
305,564562.75000,4149525.87633,37.49039222,-122.26966800
306,563252.75000,4150161.79957,37.49621445,-122.28443100
307,563954.50000,4151269.58203,37.50615048,-122.27639700
308,565261.56250,4150142.61728,37.49590173,-122.26170900
309,565338.75000,4151058.59776,37.50415192,-122.26075500
310,565734.50000,4151681.62727,37.50973912,-122.25622200
311,566049.00000,4154084.03661,37.53136925,-122.25244800
312,567429.25000,4155193.51293,37.54126884,-122.23672500
313,569486.93750,4151622.30285,37.50892947,-122.21377300
314,569101.37500,4148889.17435,37.48432520,-122.21839200
315,568314.37500,4149303.70063,37.48811982,-122.22725400
316,567395.18750,4149754.27268,37.49224832,-122.23761000
317,567130.87500,4148684.91503,37.48262957,-122.24069700
318,566325.87500,4149465.90657,37.48972675,-122.24973100
319,566632.25000,4148180.27434,37.47811740,-122.24638200
320,567779.68750,4146810.53533,37.46568859,-122.23353100
321,567707.62500,4145927.41412,37.45773438,-122.23442700
322,568482.56250,4145344.67428,37.45242511,-122.22572000
323,569143.43750,4147110.91669,37.46829486,-122.21808300
324,568434.50000,4147158.97771,37.46878081,-122.22609500
325,567976.00000,4147971.00000,37.47613332,-122.23120500
326,568752.93750,4148366.51078,37.47964051,-122.22238100
327,569971.00000,4147412.00000,37.47094619,-122.20869700
328,571107.93750,4147813.80908,37.47448082,-122.19580100
329,570519.18750,4148420.57943,37.47999466,-122.20240100
330,571508.00000,4148632.00000,37.48182413,-122.19119800
331,574670.00000,4148503.70058,37.48041758,-122.15545000
332,575903.50000,4148204.67652,37.47762203,-122.14153100
333,576734.56250,4146687.16776,37.46387655,-122.13229100
334,575558.25000,4147127.29686,37.46794023,-122.14554600
335,575546.62500,4146216.68038,37.45973405,-122.14577100
336,574723.56250,4146279.99276,37.46037157,-122.15507000
337,573678.93750,4146932.11019,37.46633281,-122.16681500
338,573432.00000,4147843.80836,37.47456939,-122.16951700
339,572343.06250,4147223.34711,37.46906322,-122.18189200
340,572355.68750,4145716.51264,37.45548143,-122.18189700
341,572438.00000,4145001.08283,37.44902694,-122.18103700
342,570305.81250,4145016.18255,37.44932761,-122.20513900
343,571899.68750,4144423.58988,37.44386411,-122.18717900
344,571459.00000,4143500.00000,37.43557407,-122.19225000
345,570285.37500,4143136.23339,37.43238539,-122.20554900
346,569968.68750,4142339.29842,37.42522669,-122.20920400
347,577034.50000,4130676.40570,37.31954997,-122.13056800
348,575190.25000,4139281.74713,37.39726007,-122.15050600
349,575832.50000,4140984.23316,37.41255189,-122.14307600
350,574122.31250,4141402.11610,37.41645668,-122.16235800
351,575547.75000,4142718.18261,37.42820288,-122.14611600
352,574508.25000,4141962.76922,37.42147876,-122.15794000
353,574754.00000,4142444.00000,37.42579619,-122.15511500
354,574056.25000,4143118.48713,37.43193131,-122.16293200
355,573003.87500,4143286.35677,37.43352792,-122.17481000
356,574566.31250,4144764.90091,37.44672911,-122.15700100
357,575521.87500,4145339.53160,37.45183057,-122.14614000
358,577000.43750,4144519.55298,37.44431839,-122.12951100
359,575670.37500,4143557.53081,37.43575771,-122.14464400
360,576864.87500,4142627.79126,37.42727974,-122.13124000
361,577684.81250,4143925.55271,37.43890761,-122.12183700
362,578543.56250,4142634.24779,37.42719697,-122.11226800
363,577865.62500,4141678.68214,37.41864202,-122.12003100
364,578657.00000,4141177.00000,37.41405360,-122.11114200
365,578391.00000,4140374.00000,37.40683894,-122.11423300
366,577006.87500,4141672.22562,37.41865566,-122.12973500
367,576897.12500,4140736.02955,37.41022708,-122.13107300
368,576925.18750,4137073.31598,37.37721348,-122.13113700
369,577874.37500,4138900.51888,37.39360241,-122.12022500
370,578871.06250,4137156.37066,37.37779853,-122.10915200
371,578906.62500,4138603.89503,37.39084168,-122.10859600
372,579203.25000,4139659.87592,37.40033364,-122.10513200
373,579559.18750,4140656.53205,37.40928570,-122.10100400
374,579950.75000,4141570.13350,37.41748597,-122.09648100
375,580437.25000,4140561.61242,37.40835436,-122.09109300
376,580930.31250,4140205.01407,37.40509750,-122.08556200
377,581780.93750,4139808.52313,37.40144935,-122.07599600
378,581463.75000,4138568.58782,37.39030219,-122.07971500
379,580670.75000,4138849.73594,37.39290546,-122.08864200
380,579856.18750,4139260.64473,37.39667943,-122.09779900
381,580562.62500,4137429.57747,37.38011541,-122.09001800
382,581240.25000,4137249.35432,37.37843198,-122.08238500
383,580721.25000,4136240.10465,37.36938123,-122.08835700
384,579618.25000,4136816.81874,37.37467437,-122.10075000
385,579978.68750,4134380.20168,37.35268272,-122.09694300
386,581470.93750,4133169.10207,37.34163758,-122.08022900
387,582241.62500,4133688.31493,37.34624914,-122.07147100
388,581335.31250,4134996.53280,37.35811962,-122.08155900
389,582164.68750,4136150.84270,37.36844997,-122.07206700
390,581933.00000,4137993.00000,37.38507324,-122.07447900
391,583069.87500,4137373.69677,37.37939049,-122.06170800
392,583511.06250,4137408.71421,37.37966645,-122.05672100
393,583966.31250,4137177.59909,37.37754237,-122.05160600
394,584764.68750,4136890.45607,37.37488181,-122.04262200
395,585058.87500,4138291.15374,37.38747877,-122.03913900
396,585388.00000,4139278.64560,37.39634832,-122.03530700
397,583286.43750,4138705.56400,37.39137467,-122.05911200
398,582737.12500,4139091.37284,37.39490104,-122.06527400
399,584018.81250,4139647.19914,37.39979512,-122.05073200
400,582877.00000,4139978.00000,37.40287936,-122.06359400
401,580219.56250,4143773.39200,37.43731990,-122.09320400
402,583468.06250,4141487.68376,37.41643243,-122.05674600
403,586575.50000,4140738.05127,37.40939100,-122.02172200
404,590389.81250,4143333.40346,37.43241677,-121.97831000
405,593685.00000,4144686.48596,37.44428326,-121.94089800
406,595797.37500,4141131.13505,37.41202547,-121.91748300
407,596509.43750,4137973.36406,37.38349311,-121.90985000
408,594880.81250,4137560.93840,37.37994436,-121.92829700
409,594761.37500,4138789.62992,37.39102987,-121.92948800
410,594963.62500,4140046.53487,37.40233670,-121.92704200
411,594392.93750,4141346.78137,37.41411317,-121.93332300
412,592933.75000,4140989.21359,37.41103828,-121.94985500
413,592825.43750,4139335.01109,37.39614098,-121.95128600
414,593071.00000,4138294.81389,37.38674176,-121.94864300
415,590896.75000,4139139.97412,37.39457447,-121.97309700
416,592055.50000,4140257.21282,37.40452899,-121.95986900
417,590071.31250,4140722.03950,37.40891327,-121.98222800
418,589245.75000,4140382.09163,37.40592945,-121.99159600
419,589249.00000,4139064.00000,37.39404994,-121.99171900
420,588187.68750,4139246.33800,37.39579488,-122.00368500
421,587899.12500,4139823.39866,37.40102304,-122.00687600
422,586548.56250,4139860.23232,37.40148218,-122.02212900
423,587923.68750,4138712.24994,37.39100652,-122.00673100
424,586548.56250,4138859.58458,37.39246384,-122.02224600
425,586370.56250,4138024.68830,37.38495592,-122.02435500
426,586026.75000,4137674.76854,37.38183423,-122.02827900
427,588046.50000,4137466.04447,37.37976346,-122.00549200
428,589176.06250,4137631.79594,37.38114931,-121.99271500
429,590103.00000,4137380.09927,37.37879128,-121.98227700
430,591772.81250,4137404.65504,37.37884878,-121.96341600
431,591360.37500,4136541.04466,37.37110633,-121.96818100
432,593173.93750,4135696.38128,37.36331348,-121.94780800
433,592859.25000,4134975.93310,37.35685209,-121.95145200
434,594929.50000,4135721.22432,37.36335936,-121.92798300
435,596254.43750,4135605.29013,37.36217799,-121.91303800
436,591824.12500,4133973.93046,37.34792466,-121.96326200
437,591799.31250,4135000.77614,37.35718147,-121.96341500
438,591046.12500,4135332.01366,37.36024094,-121.97187800
439,591004.31250,4133924.24438,37.34755761,-121.97252300
440,589641.12500,4133240.54320,37.34152843,-121.98799500
441,589718.00000,4134004.00000,37.34840165,-121.98703400
442,590204.62500,4135318.93383,37.36020527,-121.98138100
443,590047.68750,4136204.00196,37.36819715,-121.98304500
444,589350.06250,4135122.73646,37.35851975,-121.99105300
445,588417.06250,4135292.77418,37.36014160,-122.00156700
446,587750.00000,4136378.39962,37.36998917,-122.00897000
447,587632.25000,4135135.81629,37.35880149,-122.01044700
448,586912.87500,4135462.81190,37.36181623,-122.01853000
449,586354.81250,4134917.81921,37.35695656,-122.02489500
450,586058.31250,4136596.39669,37.37211241,-122.02804700
451,584702.37500,4135794.16746,37.36500709,-122.04345100
452,584719.81250,4134778.30108,37.35584988,-122.04337100
453,583682.18750,4135597.97009,37.36333144,-122.05499300
454,583584.06250,4133664.51477,37.34591471,-122.05631900
455,584499.31250,4133495.87877,37.34431197,-122.04600700
456,585289.00000,4133531.00000,37.34455628,-122.03708800
457,586344.18750,4133527.14846,37.34442401,-122.02517700
458,586987.62500,4133524.25859,37.34433789,-122.01791400
459,588053.56250,4133603.73709,37.34495368,-122.00587200
460,588448.87500,4131962.21626,37.33012182,-122.00160500
461,589952.87500,4132477.41821,37.33462061,-121.98456800
462,589867.00000,4131639.00000,37.32707268,-121.98563900
463,591175.81250,4132316.09235,37.33304739,-121.97078500
464,591977.25000,4132971.80393,37.33887791,-121.96165800
465,592440.37500,4132212.01114,37.33198434,-121.95652500
466,593710.18750,4132420.17355,37.33373310,-121.94216800
467,593502.00000,4130281.30483,37.31447774,-121.94478700
468,593564.43750,4128860.59640,37.30166743,-121.94426100
469,592476.81250,4128397.43505,37.29760203,-121.95659000
470,592388.37500,4129864.98001,37.31083703,-121.95740500
471,592065.68750,4130796.50678,37.31926440,-121.96093000
472,591264.25000,4129979.46934,37.31197994,-121.97007400
473,591248.68750,4129157.22783,37.30457101,-121.97035100
474,591363.12500,4128423.45535,37.29794664,-121.96915000
475,590181.81250,4127929.06963,37.29360630,-121.98253700
476,589448.06250,4128642.02588,37.30010274,-121.99072800
477,590041.31250,4129969.06122,37.31200543,-121.98387500
478,590082.93750,4130890.17986,37.32030301,-121.98329300
479,588391.62500,4130437.42663,37.31638500,-122.00243300
480,588454.93750,4128774.15566,37.30138860,-122.00191700
481,587730.68750,4129079.16693,37.30420618,-122.01005200
482,586960.50000,4128923.04512,37.30287148,-122.01876000
483,586169.50000,4129006.31009,37.30369558,-122.02767400
484,586663.87500,4130468.65099,37.31682918,-122.02192600
485,586648.25000,4131957.01220,37.33024467,-122.02192800
486,585175.50000,4131800.89039,37.32897384,-122.03856800
487,583760.87500,4131965.01120,37.33058168,-122.05451500
488,582135.62500,4130616.14139,37.31856982,-122.07300800
489,583665.06250,4128690.41818,37.30107732,-122.05596600
490,584652.25000,4130824.70347,37.32022363,-122.04458500
491,585118.06250,4130066.92791,37.31335148,-122.03941500
492,585201.43750,4128919.83647,37.30300546,-122.03860600
493,586584.93750,4127265.24396,37.28796533,-122.02319000
494,586654.43750,4125881.78216,37.27549016,-122.02256700
495,584916.43750,4125270.00006,37.27013655,-122.04223900
496,586070.43750,4122308.41852,37.24333857,-122.02956700
497,588030.93750,4124171.57310,37.25994741,-122.00724500
498,588708.81250,4126563.21788,37.28143809,-121.99931700
