ZONE,SD,COUNTY,telecommuteConstant_prev,auto,no tour,non-auto,time-off,telecommute,working,telecommute_rate,auto_share,max_telecommute_rate,telecommuteConstant,CALIB_ITER
197,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
198,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
199,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
200,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
201,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
202,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
203,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
204,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
205,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
206,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
207,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
208,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
209,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
210,5,2,-0.75,63235,37850,21080,13182.12734,24667.87266,108982.8727,0.226346324,0.580228787,0.224777301,-0.75,1
