"NAME","B01001_032E","B01001_033E","B01001_034E","B01001_035E","B01001_036E","B01001_037E","B01001_038E","B01001_039E","B01001_040E","B01001_041E","B01001_042E","B01001_043E","B01001_044E","B01001_045E","B01001_046E","B01001_047E","B01001_048E","B01001_049E","B25024_002E","B25024_003E","B25024_004E","B25024_005E","B25024_006E","B25024_007E","B25024_008E","B25024_009E","B25024_010E","B25024_011E","B25009_003E","B25009_004E","B25009_005E","B25009_006E","B25009_007E","B25009_008E","B25009_009E","B25009_011E","B25009_012E","B25009_013E","B25009_014E","B25009_015E","B25009_016E","B25009_017E","state","county","tract","block group"
"Block Group 2, Census Tract 4360, Alameda County, California",0,0,39,93,103,54,54,57,42,75,23,89,43,24,40,12,29,6,505,54,0,0,0,0,0,0,17,0,67,98,82,101,9,15,28,8,85,31,7,28,0,17,"06","001","436000","2"
"Block Group 3, Census Tract 4366.01, Alameda County, California",0,6,44,78,67,68,70,51,23,87,17,54,7,33,0,25,20,0,261,75,0,13,13,29,34,46,0,0,20,52,15,21,17,26,26,46,48,57,32,17,60,34,"06","001","436601","3"
"Block Group 1, Census Tract 4366.01, Alameda County, California",0,0,25,66,60,118,88,21,62,147,8,8,4,50,12,0,22,0,417,16,0,8,61,0,0,0,0,0,38,49,42,46,83,6,11,66,46,34,58,23,0,0,"06","001","436601","1"
"Block Group 2, Census Tract 4366.01, Alameda County, California",0,8,150,318,101,73,90,99,59,79,16,86,0,37,0,40,11,0,508,46,29,34,73,20,84,139,0,0,42,72,41,63,97,0,17,85,187,72,44,126,31,20,"06","001","436601","2"
"Block Group 4, Census Tract 4372, Alameda County, California",0,0,51,176,188,83,96,30,63,56,48,130,0,0,0,36,15,0,180,30,0,35,104,155,70,109,0,0,0,45,11,62,32,0,60,65,110,158,79,61,0,0,"06","001","437200","4"
"Block Group 1, Census Tract 4372, Alameda County, California",35,0,91,59,217,81,99,90,20,121,25,54,39,49,111,107,59,23,427,84,0,0,58,0,0,43,394,0,224,172,69,131,36,93,16,55,61,25,0,33,43,18,"06","001","437200","1"
"Block Group 2, Census Tract 4372, Alameda County, California",0,0,34,22,15,0,0,28,28,76,0,27,0,0,0,22,0,0,225,9,0,0,0,0,0,0,0,0,26,13,40,121,0,0,0,0,0,34,0,0,0,0,"06","001","437200","2"
"Block Group 3, Census Tract 4372, Alameda County, California",18,0,0,77,32,0,71,39,63,53,16,10,8,0,11,21,22,67,435,0,0,0,0,0,0,0,0,0,117,47,25,16,61,0,0,0,38,50,0,0,34,0,"06","001","437200","3"
"Block Group 2, Census Tract 4403.05, Alameda County, California",0,7,22,71,32,22,121,12,23,51,25,33,13,11,49,32,12,13,270,0,0,0,0,0,5,4,0,0,25,50,53,57,26,16,22,0,0,4,0,13,4,9,"06","001","440305","2"
"Block Group 1, Census Tract 4403.05, Alameda County, California",0,8,4,9,5,44,41,25,54,26,16,31,0,0,65,12,0,4,250,6,0,0,0,7,0,10,0,0,10,59,92,22,16,5,36,0,5,0,0,0,0,0,"06","001","440305","1"
"Block Group 3, Census Tract 4403.05, Alameda County, California",16,4,57,42,65,100,39,20,84,86,38,40,96,19,39,7,0,23,477,0,0,0,0,0,0,7,4,0,25,89,61,67,87,25,6,12,13,21,15,13,0,22,"06","001","440305","3"
"Block Group 2, Census Tract 4403.06, Alameda County, California",10,13,37,28,34,48,29,65,33,60,5,62,22,45,26,7,7,9,165,177,0,3,0,0,0,0,0,0,19,41,65,52,11,14,22,0,0,39,0,12,39,0,"06","001","440306","2"
"Block Group 1, Census Tract 4403.06, Alameda County, California",20,5,68,119,134,99,112,134,70,98,57,21,50,42,24,21,0,15,163,496,0,25,8,21,0,8,0,0,46,85,96,66,67,28,12,7,54,78,53,21,83,25,"06","001","440306","1"
"Block Group 2, Census Tract 4403.32, Alameda County, California",0,14,16,85,106,61,76,65,158,96,7,46,0,17,45,30,40,21,592,0,0,5,0,0,0,0,0,0,16,135,124,144,16,64,20,0,20,0,22,5,19,8,"06","001","440332","2"
"Block Group 1, Census Tract 4403.32, Alameda County, California",15,6,17,34,62,20,31,44,78,82,0,18,4,25,11,15,42,0,299,13,0,0,0,0,0,0,0,0,6,67,62,69,38,20,31,0,0,4,3,5,4,3,"06","001","440332","1"
"Block Group 4, Census Tract 4415.21, Alameda County, California",0,0,0,3,0,34,8,0,11,51,9,48,30,41,28,37,19,17,104,8,0,0,0,0,0,0,209,0,81,151,25,16,0,8,0,14,0,0,0,0,0,0,"06","001","441521","4"
"Block Group 3, Census Tract 4415.21, Alameda County, California",0,11,13,20,41,129,34,24,86,58,14,37,67,18,8,27,21,9,452,36,0,0,0,0,0,0,0,0,23,97,125,40,63,9,0,26,0,0,51,9,32,13,"06","001","441521","3"
"Block Group 2, Census Tract 4415.21, Alameda County, California",0,0,26,37,72,109,71,22,60,100,14,54,8,6,18,11,0,22,391,130,0,0,0,0,0,0,0,0,77,81,122,107,30,17,0,0,0,0,41,19,11,9,"06","001","441521","2"
"Block Group 1, Census Tract 4415.21, Alameda County, California",0,14,23,95,169,77,66,37,47,98,38,30,46,12,16,8,0,54,549,5,0,0,0,0,0,0,0,0,22,56,31,171,42,10,15,6,0,7,90,20,0,26,"06","001","441521","1"
"Block Group 4, Census Tract 4429, Alameda County, California",0,0,11,12,24,86,66,110,53,40,0,40,89,0,16,0,21,0,322,129,0,0,0,13,0,0,14,0,111,67,38,189,13,0,16,0,0,0,30,0,14,0,"06","001","442900","4"
"Block Group 3, Census Tract 4429, Alameda County, California",11,20,24,113,170,75,115,54,133,161,15,84,34,21,15,31,25,0,652,0,0,33,57,23,0,133,0,0,145,137,55,75,66,18,37,23,84,129,26,17,0,20,"06","001","442900","3"
"Block Group 2, Census Tract 4429, Alameda County, California",0,0,50,0,54,38,76,9,53,15,0,30,73,48,12,16,55,67,390,0,0,0,0,0,0,0,0,0,61,90,69,51,14,12,29,0,32,23,9,0,0,0,"06","001","442900","2"
"Block Group 1, Census Tract 4429, Alameda County, California",0,47,25,73,95,12,212,39,98,33,0,32,21,30,15,72,50,0,599,11,0,0,0,0,17,0,0,0,50,101,113,50,35,62,0,44,65,0,39,42,26,0,"06","001","442900","1"
"Block Group 2, Census Tract 4430.02, Alameda County, California",20,10,28,101,131,158,60,106,94,118,53,6,30,13,27,8,8,0,576,182,0,10,0,0,0,0,0,0,16,162,159,77,13,33,18,10,23,29,124,66,11,0,"06","001","443002","2"
"Block Group 1, Census Tract 4430.02, Alameda County, California",0,65,8,18,69,38,151,71,45,20,19,17,8,32,0,28,27,0,140,45,25,10,0,0,0,0,291,0,40,33,70,148,54,0,7,26,23,8,58,17,0,0,"06","001","443002","1"
"Block Group 3, Census Tract 4430.02, Alameda County, California",42,0,18,45,55,66,135,133,176,47,14,14,21,61,64,68,28,7,562,141,0,0,0,0,0,0,0,0,84,134,89,107,35,40,19,19,0,57,19,64,21,0,"06","001","443002","3"
"Block Group 2, Census Tract 4431.03, Alameda County, California",0,11,39,76,21,127,106,199,127,140,30,47,39,63,33,56,23,0,828,156,0,0,0,0,0,0,9,0,51,338,186,243,42,24,0,11,20,0,37,0,0,3,"06","001","443103","2"
"Block Group 1, Census Tract 4431.03, Alameda County, California",0,0,16,0,14,29,31,66,56,49,0,22,20,15,50,9,54,54,277,12,0,0,0,0,0,0,0,0,10,60,63,93,8,12,0,0,0,0,14,0,0,12,"06","001","443103","1"
"Block Group 3, Census Tract 4504, Alameda County, California",0,0,12,87,86,70,112,165,116,62,0,42,0,93,26,41,26,14,686,56,4,0,14,10,0,179,0,0,62,284,48,359,0,0,0,89,49,0,58,0,0,0,"06","001","450400","3"
"Block Group 2, Census Tract 4504, Alameda County, California",0,0,0,57,59,17,104,56,60,52,0,23,26,27,10,15,0,0,504,0,0,0,0,0,0,0,0,0,141,71,106,50,14,0,0,0,0,0,21,34,37,0,"06","001","450400","2"
"Block Group 1, Census Tract 4504, Alameda County, California",25,28,0,71,64,22,49,98,21,113,25,0,0,12,60,0,28,14,601,55,30,0,0,0,0,0,0,0,119,125,93,59,66,26,0,0,117,25,0,10,0,0,"06","001","450400","1"
"Block Group 4, Census Tract 4506.03, Alameda County, California",13,0,19,59,130,83,20,84,67,79,16,21,8,49,15,16,8,10,510,0,0,0,0,0,0,0,0,0,33,76,86,158,44,0,16,0,17,12,47,0,14,7,"06","001","450603","4"
"Block Group 1, Census Tract 4506.03, Alameda County, California",0,0,11,40,0,46,62,47,54,0,31,27,36,26,41,16,8,7,382,0,0,0,0,0,0,0,8,0,53,76,59,107,8,0,0,0,44,16,27,0,0,0,"06","001","450603","1"
"Block Group 3, Census Tract 4506.03, Alameda County, California",0,0,0,41,23,92,90,33,37,87,23,65,49,19,39,31,0,22,555,11,10,0,0,0,0,0,8,0,78,197,87,95,40,0,0,19,31,0,31,6,0,0,"06","001","450603","3"
"Block Group 2, Census Tract 4506.03, Alameda County, California",0,0,0,22,11,32,15,46,10,18,0,0,15,20,22,0,0,0,218,0,0,0,0,0,0,0,0,0,28,46,51,47,16,9,0,0,8,13,0,0,0,0,"06","001","450603","2"
"Block Group 3, Census Tract 4506.06, Alameda County, California",5,0,36,25,44,57,100,97,79,103,26,27,8,75,15,18,9,8,658,6,0,6,81,17,15,17,0,0,50,234,82,176,35,0,8,80,39,0,59,0,8,0,"06","001","450606","3"
"Block Group 1, Census Tract 4506.06, Alameda County, California",0,19,28,48,23,63,78,102,106,213,67,49,29,0,0,62,0,11,778,13,0,0,0,0,0,8,0,0,70,253,165,152,58,10,0,15,29,26,12,0,9,0,"06","001","450606","1"
"Block Group 2, Census Tract 4506.06, Alameda County, California",0,0,19,21,15,69,59,43,63,77,36,42,45,34,83,0,13,13,545,0,0,0,0,0,0,0,0,0,0,185,103,143,64,0,0,0,7,0,0,0,0,0,"06","001","450606","2"
"Block Group 2, Census Tract 4511.02, Alameda County, California",6,24,36,40,22,86,108,185,129,89,65,68,9,85,92,64,18,10,1002,0,0,0,0,0,0,0,0,0,72,408,90,279,114,0,12,0,0,0,14,13,0,0,"06","001","451102","2"
"Block Group 1, Census Tract 4511.02, Alameda County, California",0,0,0,14,15,0,43,46,53,35,33,29,0,47,60,9,29,15,382,11,0,0,0,11,0,0,0,0,41,248,35,54,13,0,13,0,0,0,0,0,0,0,"06","001","451102","1"
"Block Group 1, Census Tract 4512.02, Alameda County, California",0,13,28,96,143,89,152,141,137,96,38,60,20,17,10,25,0,0,726,257,0,19,16,40,12,27,0,0,248,285,185,163,74,12,0,25,0,21,0,0,0,0,"06","001","451202","1"
