ZONE,SD,COUNTY,SD_NAME,COUNTY_NAME
196,5,2,Daly City and San Bruno,San Mateo
197,5,2,Daly City and San Bruno,San Mateo
198,5,2,Daly City and San Bruno,San Mateo
199,5,2,Daly City and San Bruno,San Mateo
200,5,2,Daly City and San Bruno,San Mateo
201,5,2,Daly City and San Bruno,San Mateo
202,5,2,Daly City and San Bruno,San Mateo
203,5,2,Daly City and San Bruno,San Mateo
204,5,2,Daly City and San Bruno,San Mateo
205,5,2,Daly City and San Bruno,San Mateo
206,5,2,Daly City and San Bruno,San Mateo
207,5,2,Daly City and San Bruno,San Mateo
208,5,2,Daly City and San Bruno,San Mateo
209,5,2,Daly City and San Bruno,San Mateo
210,5,2,Daly City and San Bruno,San Mateo
211,5,2,Daly City and San Bruno,San Mateo
212,5,2,Daly City and San Bruno,San Mateo
213,5,2,Daly City and San Bruno,San Mateo
214,5,2,Daly City and San Bruno,San Mateo
215,5,2,Daly City and San Bruno,San Mateo
216,5,2,Daly City and San Bruno,San Mateo
217,5,2,Daly City and San Bruno,San Mateo
218,5,2,Daly City and San Bruno,San Mateo
219,5,2,Daly City and San Bruno,San Mateo
220,5,2,Daly City and San Bruno,San Mateo
221,5,2,Daly City and San Bruno,San Mateo
222,5,2,Daly City and San Bruno,San Mateo
223,5,2,Daly City and San Bruno,San Mateo
224,5,2,Daly City and San Bruno,San Mateo
225,5,2,Daly City and San Bruno,San Mateo
226,5,2,Daly City and San Bruno,San Mateo
227,5,2,Daly City and San Bruno,San Mateo
228,5,2,Daly City and San Bruno,San Mateo
229,5,2,Daly City and San Bruno,San Mateo
230,5,2,Daly City and San Bruno,San Mateo
231,5,2,Daly City and San Bruno,San Mateo
232,5,2,Daly City and San Bruno,San Mateo
233,5,2,Daly City and San Bruno,San Mateo
234,5,2,Daly City and San Bruno,San Mateo
235,5,2,Daly City and San Bruno,San Mateo
236,5,2,Daly City and San Bruno,San Mateo
237,5,2,Daly City and San Bruno,San Mateo
238,5,2,Daly City and San Bruno,San Mateo
239,5,2,Daly City and San Bruno,San Mateo
240,5,2,Daly City and San Bruno,San Mateo
241,5,2,Daly City and San Bruno,San Mateo
242,5,2,Daly City and San Bruno,San Mateo
243,5,2,Daly City and San Bruno,San Mateo
244,5,2,Daly City and San Bruno,San Mateo
245,5,2,Daly City and San Bruno,San Mateo
246,5,2,Daly City and San Bruno,San Mateo
247,5,2,Daly City and San Bruno,San Mateo
248,5,2,Daly City and San Bruno,San Mateo
249,6,2,San Mateo and Burlingame,San Mateo
250,6,2,San Mateo and Burlingame,San Mateo
251,6,2,San Mateo and Burlingame,San Mateo
