coefficient_name,value,constrain
commuter_rail_ASC_othdiscr,2.2934919476846907,F
commuter_rail_ASC_othmaint,2.2934919476846907,F
commuter_rail_ASC_school,2.3949486207789086,F
commuter_rail_ASC_shopping,2.022804873775887,F
commuter_rail_ASC_social,2.2934919476846907,F
commuter_rail_ASC_univ,3.9110850013317644,F
commuter_rail_ASC_work,1.890956950051362,F
commuter_rail_ASC_atwork,3.2983966195361973,F
drive_ferry_ASC_eatout,1.9726470083691736,F
drive_ferry_ASC_escort,-1.5190980731061539,F
drive_ferry_ASC_othdiscr,1.9726470083691736,F
drive_ferry_ASC_othmaint,1.9726470083691736,F
drive_ferry_ASC_school,0.9202316788519571,F
drive_ferry_ASC_shopping,-1.5190980731061539,F
drive_ferry_ASC_social,1.9726470083691736,F
drive_ferry_ASC_univ,1.2660863907934798,F
drive_ferry_ASC_work,0.8279317940835134,F
drive_ferry_ASC_atwork,0.9401238103081632,F
drive_light_rail_ASC_eatout,0.7337421813612341,F
drive_light_rail_ASC_escort,0.1030009381245704,F
drive_light_rail_ASC_othdiscr,0.7337421813612341,F
drive_light_rail_ASC_othmaint,0.7337421813612341,F
drive_light_rail_ASC_school,0.7709755803583226,F
drive_light_rail_ASC_shopping,0.1030009381245704,F
drive_light_rail_ASC_social,0.7337421813612341,F
drive_light_rail_ASC_univ,1.3038787293374574,F
drive_light_rail_ASC_work,1.402102670728575,F
drive_light_rail_ASC_atwork,0.7689547296571728,F
express_bus_ASC_eatout,-1.3014613090274794,F
express_bus_ASC_escort,-0.22589723168151035,F
express_bus_ASC_othdiscr,-1.3014613090274794,F
express_bus_ASC_othmaint,-1.3014613090274794,F
express_bus_ASC_school,0.5011760507010373,F
express_bus_ASC_shopping,-0.22589723168151035,F
express_bus_ASC_social,-1.3014613090274794,F
express_bus_ASC_univ,0.48836908956596603,F
express_bus_ASC_work,-0.31169760262710067,F
express_bus_ASC_atwork,-0.7393937568368565,F
heavy_rail_ASC_eatout,1.1253522122345694,F
heavy_rail_ASC_escort,0.2786078072122837,F
heavy_rail_ASC_othdiscr,1.1253522122345694,F
heavy_rail_ASC_othmaint,1.1253522122345694,F
heavy_rail_ASC_school,0.9375808579233748,F
heavy_rail_ASC_shopping,0.2786078072122837,F
heavy_rail_ASC_social,1.1253522122345694,F
heavy_rail_ASC_univ,2.3709306926192366,F
heavy_rail_ASC_work,0.98361669209842,F
heavy_rail_ASC_atwork,1.0192576214470002,F
local_bus_ASC_eatout,-0.12891258280094586,F
local_bus_ASC_escort,0.1805971893311808,F
local_bus_ASC_othdiscr,-0.12891258280094586,F
local_bus_ASC_othmaint,-0.12891258280094586,F
local_bus_ASC_school,-0.023193448542079446,F
local_bus_ASC_shopping,0.1805971893311808,F
local_bus_ASC_social,-0.12891258280094586,F
local_bus_ASC_univ,-0.9151764168791982,F
local_bus_ASC_work,-0.3181511527580776,F
local_bus_ASC_atwork,-0.17875019130964903,F
walk_ferry_ASC_eatout,1.9922695993076305,F
walk_ferry_ASC_escort,-4.140819811831091,F
walk_ferry_ASC_othdiscr,1.9922695993076305,F
walk_ferry_ASC_othmaint,1.9922695993076305,F
walk_ferry_ASC_school,0.9202316788519571,F
walk_ferry_ASC_shopping,-4.140819811831091,F
walk_ferry_ASC_social,1.9922695993076305,F
walk_ferry_ASC_univ,0.9202316788519571,F
walk_ferry_ASC_work,0.31009481330628685,F
walk_ferry_ASC_atwork,0.9401238103081632,F
walk_light_rail_ASC_eatout,0.5846913231877185,F
walk_light_rail_ASC_escort,0.8325767245136239,F
walk_light_rail_ASC_othdiscr,0.5846913231877185,F
walk_light_rail_ASC_othmaint,0.5846913231877185,F
walk_light_rail_ASC_school,0.3113118884168248,F
walk_light_rail_ASC_shopping,0.8325767245136239,F
walk_light_rail_ASC_social,0.5846913231877185,F
walk_light_rail_ASC_univ,1.8734204387395934,F
walk_light_rail_ASC_work,0.4518668054386089,F
walk_light_rail_ASC_atwork,1.022929289742181,F
walk_transit_dest_SF_work,1.206,F
walk_transit_dest_SF_univ,2.24,F
walk_transit_dest_SF_school,0.672,F
walk_transit_dest_SF_escort,1.225,F
walk_transit_dest_SF_shopping,1.225,F
walk_transit_dest_SF_eatout,1.05,F
walk_transit_dest_SF_othmaint,1.225,F
walk_transit_dest_SF_social,1.05,F
walk_transit_dest_SF_othdiscr,1.05,F
walk_transit_dest_SF_atwork,1.41,F
drive_transit_dest_SF_work,1.206,F
drive_transit_dest_SF_univ,2.24,F
drive_transit_dest_SF_school,0.336,F
drive_transit_dest_SF_escort,1.05,F
drive_transit_dest_SF_shopping,1.05,F
drive_transit_dest_SF_eatout,0.35,F
drive_transit_dest_SF_othmaint,1.05,F
drive_transit_dest_SF_social,0.35,F
drive_transit_dest_SF_othdiscr,0.35,F
drive_transit_dest_SF_atwork,0,F
walk_transit_within_SF_work,1.005,F
walk_transit_within_SF_univ,0.56,F
walk_transit_within_SF_school,0,F
walk_transit_within_SF_escort,0.35,F
walk_transit_within_SF_shopping,0.35,F
walk_transit_within_SF_eatout,0.525,F
walk_transit_within_SF_othmaint,0.35,F
walk_transit_within_SF_social,0.525,F
walk_transit_within_SF_othdiscr,0.525,F
walk_transit_within_SF_atwork,0,F
drive_transit_within_SF_work,1.206,F
drive_transit_within_SF_univ,0.672,F
drive_transit_within_SF_school,0,F
drive_transit_within_SF_escort,0.35,F
drive_transit_within_SF_shopping,0.35,F
drive_transit_within_SF_eatout,0.875,F
drive_transit_within_SF_othmaint,0.35,F
drive_transit_within_SF_social,0.875,F
drive_transit_within_SF_othdiscr,0.875,F
drive_transit_within_SF_atwork,0,F
walk_transit_orig_SF_work,0.201,F
walk_transit_orig_SF_univ,0.224,F
walk_transit_orig_SF_school,0,F
walk_transit_orig_SF_escort,0.0875,F
walk_transit_orig_SF_shopping,0.0875,F
walk_transit_orig_SF_eatout,0.35,F
walk_transit_orig_SF_othmaint,0.0875,F
walk_transit_orig_SF_social,0.35,F
walk_transit_orig_SF_othdiscr,0.35,F
walk_transit_orig_SF_atwork,0.188,F
drive_transit_orig_SF_work,0.804,F
drive_transit_orig_SF_univ,1.344,F
drive_transit_orig_SF_school,0,F
drive_transit_orig_SF_escort,1.225,F
drive_transit_orig_SF_shopping,1.225,F
drive_transit_orig_SF_eatout,1.3125,F
drive_transit_orig_SF_othmaint,1.225,F
drive_transit_orig_SF_social,1.3125,F
drive_transit_orig_SF_othdiscr,1.3125,F
drive_transit_orig_SF_atwork,0,F
