Label,Description,Expression,0_car,1_car_1HV,1_car_1AV,2_cars_2HV,2_cars_2AV,2_cars_1HV1AV,3_cars_3HV,3_cars_3AV,3_cars_2HV1AV,3_cars_1HV2AV,4+_cars_4HV
util_hh_income_30_75k,"Piecewise Linear household income, $30-75k","@(df.income_in_thousands-30).clip(0, 45)",,,,coef_2_cars_2HV_util_hh_income_30_75k,coef_2_cars_2AV_util_hh_income_30_75k,coef_2_cars_1HV1AV_util_hh_income_30_75k,coef_3_cars_3HV_util_hh_income_30_75k,coef_3_cars_3AV_util_hh_income_30_75k,coef_3_cars_2HV1AV_util_hh_income_30_75k,coef_3_cars_1HV2AV_util_hh_income_30_75k,coef_4plus_cars_4HV_util_hh_income_30_75k
util_hh_income_75k_up,"Piecewise Linear household income, $75k+, capped at $125k","@(df.income_in_thousands-75).clip(0, 50)",,,,coef_2_cars_2HV_util_hh_income_75k_up,coef_2_cars_2AV_util_hh_income_75k_up,coef_2_cars_1HV1AV_util_hh_income_75k_up,coef_3_cars_3HV_util_hh_income_75k_up,coef_3_cars_3AV_util_hh_income_75k_up,coef_3_cars_2HV1AV_util_hh_income_75k_up,coef_3_cars_1HV2AV_util_hh_income_75k_up,coef_4plus_cars_4HV_util_hh_income_75k_up
util_density_0_10_no_workers,"Density index up to 10, if 0 workers","@(df.num_workers==0)*df.density_index.clip(0, 10)",,,,coef_2_cars_2HV_util_density_0_10_no_workers,coef_2_cars_2AV_util_density_0_10_no_workers,coef_2_cars_1HV1AV_util_density_0_10_no_workers,coef_3_cars_3HV_util_density_0_10_no_workers,coef_3_cars_3AV_util_density_0_10_no_workers,coef_3_cars_2HV1AV_util_density_0_10_no_workers,coef_3_cars_1HV2AV_util_density_0_10_no_workers,coef_4plus_cars_4HV_util_density_0_10_no_workers
util_density_10_up_no_workers,"Density index in excess of 10, if 0 workers",@(df.num_workers==0)*(df.density_index-10).clip(0),,coef_1_car_1HV_util_density_10_up_no_workers,coef_1_car_1AV_util_density_10_up_no_workers,coef_2_cars_2HV_util_density_10_up_no_workers,coef_2_cars_2AV_util_density_10_up_no_workers,coef_2_cars_1HV1AV_util_density_10_up_no_workers,coef_3_cars_3HV_util_density_10_up_no_workers,coef_3_cars_3AV_util_density_10_up_no_workers,coef_3_cars_2HV1AV_util_density_10_up_no_workers,coef_3_cars_1HV2AV_util_density_10_up_no_workers,coef_4plus_cars_4HV_util_density_10_up_no_workers
util_density_0_10_workers,"Density index up to 10, if 1+ workers","@(df.num_workers>0)*df.density_index.clip(0, 10)",,,,coef_2_cars_2HV_util_density_0_10_workers,coef_2_cars_2AV_util_density_0_10_workers,coef_2_cars_1HV1AV_util_density_0_10_workers,coef_3_cars_3HV_util_density_0_10_workers,coef_3_cars_3AV_util_density_0_10_workers,coef_3_cars_2HV1AV_util_density_0_10_workers,coef_3_cars_1HV2AV_util_density_0_10_workers,coef_4plus_cars_4HV_util_density_0_10_workers
util_density_10_up_workers,"Density index in excess of 10, if 1+ workers",@(df.num_workers>0)*(df.density_index-10).clip(0),,coef_1_car_1HV_util_density_10_up_workers,coef_1_car_1AV_util_density_10_up_workers,coef_2_cars_2HV_util_density_10_up_workers,coef_2_cars_2AV_util_density_10_up_workers,coef_2_cars_1HV1AV_util_density_10_up_workers,coef_3_cars_3HV_util_density_10_up_workers,coef_3_cars_3AV_util_density_10_up_workers,coef_3_cars_2HV1AV_util_density_10_up_workers,coef_3_cars_1HV2AV_util_density_10_up_workers,coef_4plus_cars_4HV_util_density_10_up_workers
util_retail_auto_no_workers,"Retail accessibility (0.66*PK + 0.34*OP) by auto, if 0 workers",(num_workers==0)*(0.66*auPkRetail+0.34*auOpRetail),,coef_1_car_1HV_util_retail_auto_no_workers,coef_1_car_1AV_util_retail_auto_no_workers,coef_2_cars_2HV_util_retail_auto_no_workers,coef_2_cars_2AV_util_retail_auto_no_workers,coef_2_cars_1HV1AV_util_retail_auto_no_workers,coef_3_cars_3HV_util_retail_auto_no_workers,coef_3_cars_3AV_util_retail_auto_no_workers,coef_3_cars_2HV1AV_util_retail_auto_no_workers,coef_3_cars_1HV2AV_util_retail_auto_no_workers,coef_4plus_cars_4HV_util_retail_auto_no_workers
util_retail_auto_workers,"Retail accessibility (0.66*PK + 0.34*OP) by auto, if 1+ workers",(num_workers>0)*(0.66*auPkRetail+0.34*auOpRetail),,coef_1_car_1HV_util_retail_auto_workers,coef_1_car_1AV_util_retail_auto_workers,coef_2_cars_2HV_util_retail_auto_workers,coef_2_cars_2AV_util_retail_auto_workers,coef_2_cars_1HV1AV_util_retail_auto_workers,coef_3_cars_3HV_util_retail_auto_workers,coef_3_cars_3AV_util_retail_auto_workers,coef_3_cars_2HV1AV_util_retail_auto_workers,coef_3_cars_1HV2AV_util_retail_auto_workers,coef_4plus_cars_4HV_util_retail_auto_workers
util_retail_transit_no_workers,"Retail accessibility (0.66*PK + 0.34*OP) by transit, if 0 workers",(num_workers==0)*(0.66*trPkRetail+0.34*trOpRetail),,coef_1_car_1HV_util_retail_transit_no_workers,coef_1_car_1AV_util_retail_transit_no_workers,coef_2_cars_2HV_util_retail_transit_no_workers,coef_2_cars_2AV_util_retail_transit_no_workers,coef_2_cars_1HV1AV_util_retail_transit_no_workers,coef_3_cars_3HV_util_retail_transit_no_workers,coef_3_cars_3AV_util_retail_transit_no_workers,coef_3_cars_2HV1AV_util_retail_transit_no_workers,coef_3_cars_1HV2AV_util_retail_transit_no_workers,coef_4plus_cars_4HV_util_retail_transit_no_workers
util_retail_transit_workers,"Retail accessibility (0.66*PK + 0.34*OP) by transit, if 1+ workers",(num_workers>0)*(0.66*trPkRetail+0.34*trOpRetail),,coef_1_car_1HV_util_retail_transit_workers,coef_1_car_1AV_util_retail_transit_workers,coef_2_cars_2HV_util_retail_transit_workers,coef_2_cars_2AV_util_retail_transit_workers,coef_2_cars_1HV1AV_util_retail_transit_workers,coef_3_cars_3HV_util_retail_transit_workers,coef_3_cars_3AV_util_retail_transit_workers,coef_3_cars_2HV1AV_util_retail_transit_workers,coef_3_cars_1HV2AV_util_retail_transit_workers,coef_4plus_cars_4HV_util_retail_transit_workers
util_retail_non_motor_no_workers,"Retail accessibility by non-motorized, if 0 workers",(num_workers==0)*nmRetail,,coef_1_car_1HV_util_retail_non_motor_no_workers,coef_1_car_1AV_util_retail_non_motor_no_workers,coef_2_cars_2HV_util_retail_non_motor_no_workers,coef_2_cars_2AV_util_retail_non_motor_no_workers,coef_2_cars_1HV1AV_util_retail_non_motor_no_workers,coef_3_cars_3HV_util_retail_non_motor_no_workers,coef_3_cars_3AV_util_retail_non_motor_no_workers,coef_3_cars_2HV1AV_util_retail_non_motor_no_workers,coef_3_cars_1HV2AV_util_retail_non_motor_no_workers,coef_4plus_cars_4HV_util_retail_non_motor_no_workers
util_retail_non_motor_workers,"Retail accessibility by non-motorized, if 1+ workers",(num_workers>0)*nmRetail,,coef_1_car_1HV_util_retail_non_motor_workers,coef_1_car_1AV_util_retail_non_motor_workers,coef_2_cars_2HV_util_retail_non_motor_workers,coef_2_cars_2AV_util_retail_non_motor_workers,coef_2_cars_1HV1AV_util_retail_non_motor_workers,coef_3_cars_3HV_util_retail_non_motor_workers,coef_3_cars_3AV_util_retail_non_motor_workers,coef_3_cars_2HV1AV_util_retail_non_motor_workers,coef_3_cars_1HV2AV_util_retail_non_motor_workers,coef_4plus_cars_4HV_util_retail_non_motor_workers
util_auto_time_saving_per_worker,"Auto time savings per worker (over walk or transit, max 120) to work","@np.where(df.num_workers > 0, df.hh_work_auto_savings_ratio / df.num_workers, 0)",,coef_1_car_1HV_util_auto_time_saving_per_worker,coef_1_car_1AV_util_auto_time_saving_per_worker,coef_2_cars_2HV_util_auto_time_saving_per_worker,coef_2_cars_2AV_util_auto_time_saving_per_worker,coef_2_cars_1HV1AV_util_auto_time_saving_per_worker,coef_3_cars_3HV_util_auto_time_saving_per_worker,coef_3_cars_3AV_util_auto_time_saving_per_worker,coef_3_cars_2HV1AV_util_auto_time_saving_per_worker,coef_3_cars_1HV2AV_util_auto_time_saving_per_worker,coef_4plus_cars_4HV_util_auto_time_saving_per_worker
util_asc,Constants,1,,coef_1_car_1HV_util_asc,coef_1_car_1AV_util_asc,coef_2_cars_2HV_util_asc,coef_2_cars_2AV_util_asc,coef_2_cars_1HV1AV_util_asc,coef_3_cars_3HV_util_asc,coef_3_cars_3AV_util_asc,coef_3_cars_2HV1AV_util_asc,coef_3_cars_1HV2AV_util_asc,coef_4plus_cars_4HV_util_asc
util_asc_san_francisco,San Francisco county,@df.county_id == ID_SAN_FRANCISCO,,coef_1_car_1HV_util_asc_san_francisco,coef_1_car_1AV_util_asc_san_francisco,coef_2_cars_2HV_util_asc_san_francisco,coef_2_cars_2AV_util_asc_san_francisco,coef_2_cars_1HV1AV_util_asc_san_francisco,coef_3_cars_3HV_util_asc_san_francisco,coef_3_cars_3AV_util_asc_san_francisco,coef_3_cars_2HV1AV_util_asc_san_francisco,coef_3_cars_1HV2AV_util_asc_san_francisco,coef_4plus_cars_4HV_util_asc_san_francisco
util_asc_solano,Solano county,@df.county_id == ID_SOLANO,,coef_1_car_1HV_util_asc_solano,coef_1_car_1AV_util_asc_solano,coef_2_cars_2HV_util_asc_solano,coef_2_cars_2AV_util_asc_solano,coef_2_cars_1HV1AV_util_asc_solano,coef_3_cars_3HV_util_asc_solano,coef_3_cars_3AV_util_asc_solano,coef_3_cars_2HV1AV_util_asc_solano,coef_3_cars_1HV2AV_util_asc_solano,coef_4plus_cars_4HV_util_asc_solano
util_asc_napa,Napa county,@df.county_id == ID_NAPA,,coef_1_car_1HV_util_asc_napa,coef_1_car_1AV_util_asc_napa,coef_2_cars_2HV_util_asc_napa,coef_2_cars_2AV_util_asc_napa,coef_2_cars_1HV1AV_util_asc_napa,coef_3_cars_3HV_util_asc_napa,coef_3_cars_3AV_util_asc_napa,coef_3_cars_2HV1AV_util_asc_napa,coef_3_cars_1HV2AV_util_asc_napa,coef_4plus_cars_4HV_util_asc_napa
util_asc_sonoma,Sonoma county,@df.county_id == ID_SONOMA,,coef_1_car_1HV_util_asc_sonoma,coef_1_car_1AV_util_asc_sonoma,coef_2_cars_2HV_util_asc_sonoma,coef_2_cars_2AV_util_asc_sonoma,coef_2_cars_1HV1AV_util_asc_sonoma,coef_3_cars_3HV_util_asc_sonoma,coef_3_cars_3AV_util_asc_sonoma,coef_3_cars_2HV1AV_util_asc_sonoma,coef_3_cars_1HV2AV_util_asc_sonoma,coef_4plus_cars_4HV_util_asc_sonoma
util_asc_marin,Marin county,@df.county_id == ID_MARIN,,coef_1_car_1HV_util_asc_marin,coef_1_car_1AV_util_asc_marin,coef_2_cars_2HV_util_asc_marin,coef_2_cars_2AV_util_asc_marin,coef_2_cars_1HV1AV_util_asc_marin,coef_3_cars_3HV_util_asc_marin,coef_3_cars_3AV_util_asc_marin,coef_3_cars_2HV1AV_util_asc_marin,coef_3_cars_1HV2AV_util_asc_marin,coef_4plus_cars_4HV_util_asc_marin
util_asc_santa_clara,Santa Clara county,@df.county_id == ID_SANTA_CLARA,,coef_1_car_1HV_util_asc_santa_clara,coef_1_car_1AV_util_asc_santa_clara,coef_2_cars_2HV_util_asc_santa_clara,coef_2_cars_2AV_util_asc_santa_clara,coef_2_cars_1HV1AV_util_asc_santa_clara,coef_3_cars_3HV_util_asc_santa_clara,coef_3_cars_3AV_util_asc_santa_clara,coef_3_cars_2HV1AV_util_asc_santa_clara,coef_3_cars_1HV2AV_util_asc_santa_clara,coef_4plus_cars_4HV_util_asc_santa_clara
util_av_asc_income_under_50k,AV ASC - Household Income under $50k,income_in_thousands < 50,,,coef_1_car_1AV_util_av_asc_income_under_50k,,coef_2_cars_2AV_util_av_asc_income_under_50k,coef_2_cars_1HV1AV_util_av_asc_income_under_50k,,coef_3_cars_3AV_util_av_asc_income_under_50k,coef_3_cars_2HV1AV_util_av_asc_income_under_50k,coef_3_cars_1HV2AV_util_av_asc_income_under_50k,
util_av_asc_income_100k_up,AV ASC - Household Income 100k+,income_in_thousands >= 100,,,coef_1_car_1AV_util_av_asc_income_100k_up,,coef_2_cars_2AV_util_av_asc_income_100k_up,coef_2_cars_1HV1AV_util_av_asc_income_100k_up,,coef_3_cars_3AV_util_av_asc_income_100k_up,coef_3_cars_2HV1AV_util_av_asc_income_100k_up,coef_3_cars_1HV2AV_util_av_asc_income_100k_up,
util_av_auto_time_per_worker,"AV  Coeff Per Hour of travel by auto for work, summed across all workers in household","@np.where(df.num_workers > 0, df.hh_work_auto_time / 60, 0)",,,coef_1_car_1AV_util_av_auto_time_per_worker,,coef_2_cars_2AV_util_av_auto_time_per_worker,coef_2_cars_1HV1AV_util_av_auto_time_per_worker,,coef_3_cars_3AV_util_av_auto_time_per_worker,coef_3_cars_2HV1AV_util_av_auto_time_per_worker,coef_3_cars_1HV2AV_util_av_auto_time_per_worker,
util_av_asc_100pct,AV ASC - 100% AV Share,@(Mobility_AV_Share == 1.0),,coef_1_car_1HV_util_av_asc_100pct,,coef_2_cars_2HV_util_av_asc_100pct,,coef_2_cars_1HV1AV_util_av_asc_100pct,coef_3_cars_3HV_util_av_asc_100pct,,coef_3_cars_2HV1AV_util_av_asc_100pct,coef_3_cars_1HV2AV_util_av_asc_100pct,coef_4plus_cars_4HV_util_av_asc_100pct
util_av_asc_95pct,AV ASC - 95% AV Share,@(Mobility_AV_Share == 0.95),coef_0_car_util_av_asc_95pct,,coef_1_car_1AV_util_av_asc_95pct,,coef_2_cars_2AV_util_av_asc_95pct,coef_2_cars_1HV1AV_util_av_asc_95pct,,coef_3_cars_3AV_util_av_asc_95pct,coef_3_cars_2HV1AV_util_av_asc_95pct,coef_3_cars_1HV2AV_util_av_asc_95pct,coef_4plus_cars_4HV_util_av_asc_95pct
util_av_asc_75pct,AV ASC - 75% AV Share,@(Mobility_AV_Share == 0.75),coef_0_car_util_av_asc_75pct,,coef_1_car_1AV_util_av_asc_75pct,,coef_2_cars_2AV_util_av_asc_75pct,coef_2_cars_1HV1AV_util_av_asc_75pct,,coef_3_cars_3AV_util_av_asc_75pct,coef_3_cars_2HV1AV_util_av_asc_75pct,coef_3_cars_1HV2AV_util_av_asc_75pct,coef_4plus_cars_4HV_util_av_asc_75pct
util_av_asc_50pct,AV ASC - 50% AV Share,@(Mobility_AV_Share == 0.5),,,,,,,,,,,
util_av_asc_30pct,AV ASC - 30% AV Share,@(Mobility_AV_Share == 0.30),coef_0_car_util_av_asc_30pct,,coef_1_car_1AV_util_av_asc_30pct,,coef_2_cars_2AV_util_av_asc_30pct,coef_2_cars_1HV1AV_util_av_asc_30pct,,coef_3_cars_3AV_util_av_asc_30pct,coef_3_cars_2HV1AV_util_av_asc_30pct,coef_3_cars_1HV2AV_util_av_asc_30pct,coef_4plus_cars_4HV_util_av_asc_30pct
util_av_asc_25pct,AV ASC - 25% AV Share,@(Mobility_AV_Share == 0.25),coef_0_car_util_av_asc_25pct,,coef_1_car_1AV_util_av_asc_25pct,,coef_2_cars_2AV_util_av_asc_25pct,coef_2_cars_1HV1AV_util_av_asc_25pct,,coef_3_cars_3AV_util_av_asc_25pct,coef_3_cars_2HV1AV_util_av_asc_25pct,coef_3_cars_1HV2AV_util_av_asc_25pct,coef_4plus_cars_4HV_util_av_asc_25pct
util_av_asc_20pct,AV ASC - 20% AV Share,@(Mobility_AV_Share == 0.20),coef_0_car_util_av_asc_20pct,,coef_1_car_1AV_util_av_asc_20pct,,coef_2_cars_2AV_util_av_asc_20pct,coef_2_cars_1HV1AV_util_av_asc_20pct,,coef_3_cars_3AV_util_av_asc_20pct,coef_3_cars_2HV1AV_util_av_asc_20pct,coef_3_cars_1HV2AV_util_av_asc_20pct,coef_4plus_cars_4HV_util_av_asc_20pct
util_av_asc_15pct,AV ASC - 15% AV Share,@(Mobility_AV_Share == 0.15),coef_0_car_util_av_asc_15pct,,coef_1_car_1AV_util_av_asc_15pct,,coef_2_cars_2AV_util_av_asc_15pct,coef_2_cars_1HV1AV_util_av_asc_15pct,,coef_3_cars_3AV_util_av_asc_15pct,coef_3_cars_2HV1AV_util_av_asc_15pct,coef_3_cars_1HV2AV_util_av_asc_15pct,coef_4plus_cars_4HV_util_av_asc_15pct
util_av_asc_10pct,AV ASC - 10% AV Share,@(Mobility_AV_Share == 0.10),coef_0_car_util_av_asc_10pct,,coef_1_car_1AV_util_av_asc_10pct,,coef_2_cars_2AV_util_av_asc_10pct,coef_2_cars_1HV1AV_util_av_asc_10pct,,coef_3_cars_3AV_util_av_asc_10pct,coef_3_cars_2HV1AV_util_av_asc_10pct,coef_3_cars_1HV2AV_util_av_asc_10pct,coef_4plus_cars_4HV_util_av_asc_10pct
util_av_asc_5pct,AV ASC - 5% AV Share,@(Mobility_AV_Share == 0.05),coef_0_car_util_av_asc_5pct,,coef_1_car_1AV_util_av_asc_5pct,,coef_2_cars_2AV_util_av_asc_5pct,coef_2_cars_1HV1AV_util_av_asc_5pct,,coef_3_cars_3AV_util_av_asc_5pct,coef_3_cars_2HV1AV_util_av_asc_5pct,coef_3_cars_1HV2AV_util_av_asc_5pct,coef_4plus_cars_4HV_util_av_asc_5pct
util_av_asc_3pct,AV ASC - 3% AV Share,@(Mobility_AV_Share == 0.03),coef_0_car_util_av_asc_3pct,,coef_1_car_1AV_util_av_asc_3pct,,coef_2_cars_2AV_util_av_asc_3pct,coef_2_cars_1HV1AV_util_av_asc_3pct,,coef_3_cars_3AV_util_av_asc_3pct,coef_3_cars_2HV1AV_util_av_asc_3pct,coef_3_cars_1HV2AV_util_av_asc_3pct,coef_4plus_cars_4HV_util_av_asc_3pct
util_av_asc_0pct,AV ASC - 0% AV Share,@(Mobility_AV_Share == 0.0),,,coef_1_car_1AV_util_av_asc_0pct,,coef_2_cars_2AV_util_av_asc_0pct,coef_2_cars_1HV1AV_util_av_asc_0pct,,coef_3_cars_3AV_util_av_asc_0pct,coef_3_cars_2HV1AV_util_av_asc_0pct,coef_3_cars_1HV2AV_util_av_asc_0pct,
