A,B,Parallel_Corridor
6535,6531,SanMateo_101_PM_SanMateo_28092_PM
6543,6236,SanMateo_101_AM_SanMateo_28092_AM
6543,6547,SanMateo_101_PM_SanMateo_28092_PM
6544,6425,SanMateo_101_PM_SanMateo_28092_PM
6544,6547,SanMateo_101_AM_SanMateo_28092_AM
6547,6543,SanMateo_101_AM_SanMateo_28092_AM
6547,6544,SanMateo_101_PM_SanMateo_28092_PM
6580,6582,SFOSanMateo_101_AM
6580,6586,SFOSanMateo_101_PM
6582,6580,SFOSanMateo_101_PM
6582,6591,SFOSanMateo_101_AM
6586,6580,SFOSanMateo_101_AM
6586,6601,SFOSanMateo_101_PM
6590,6476,SFOSanMateo_280380_PM
6590,6484,SFOSanMateo_280380_AM
6591,6582,SFOSanMateo_101_PM
6600,6407,SFOSanMateo_101_PM
6600,6602,SFOSanMateo_101_AM
6601,6586,SFOSanMateo_101_AM
6601,20081,SFOSanMateo_101_PM
6602,6600,SFOSanMateo_101_PM
6602,20081,SFOSanMateo_101_AM
6607,6407,SFOSanMateo_101_AM
6607,6715,SFOSanMateo_101_PM
6614,6476,SFOSanMateo_280380_AM
6614,6615,SFOSanMateo_280380_PM
6615,6614,SFOSanMateo_280380_AM
6615,6631,SFOSanMateo_280380_PM
6619,6512,SanMateo_101_PM_SanMateo_28092_PM
6619,6532,SanMateo_101_AM_SanMateo_28092_AM
6631,6615,SFOSanMateo_280380_AM
6631,6632,SFOSanMateo_280380_PM
6632,6631,SFOSanMateo_280380_AM
6632,6699,SFOSanMateo_280380_PM
6638,6692,SFOSanMateo_280380_PM
6638,6713,SFOSanMateo_280380_AM
6689,6354,SanMateo_101_PM_SanMateo_28092_PM
6689,6364,SanMateo_101_AM_SanMateo_28092_AM
6692,6638,SFOSanMateo_280380_AM
6692,6705,SFOSanMateo_280380_PM
6699,6632,SFOSanMateo_280380_AM
6699,6713,SFOSanMateo_280380_PM
6701,6705,SFOSanMateo_280380_AM
6703,6854,SFOSanMateo_280380_PM
6705,6692,SFOSanMateo_280380_AM
6705,6701,SFOSanMateo_280380_PM
6713,6638,SFOSanMateo_280380_PM
6713,6699,SFOSanMateo_280380_AM
6714,6715,SFOSanMateo_101_AM
6714,6716,SFOSanMateo_101_PM
6715,6607,SFOSanMateo_101_AM
6715,6714,SFOSanMateo_101_PM
6716,6714,SFOSanMateo_101_AM
6716,6718,SFOSanMateo_101_PM
6718,6716,SFOSanMateo_101_AM
6718,15857,SFOSanMateo_101_PM
6719,6721,SFOSanMateo_101_AM
6719,6740,SFOSanMateo_101_PM
6721,6719,SFOSanMateo_101_PM
6721,15857,SFOSanMateo_101_AM
6735,6738,SFOSanMateo_101_AM
6735,6789,SFOSanMateo_101_PM
6738,6735,SFOSanMateo_101_PM
6738,6739,SFOSanMateo_101_AM
6739,6738,SFOSanMateo_101_PM
6739,6740,SFOSanMateo_101_AM
6740,6719,SFOSanMateo_101_AM
6740,6739,SFOSanMateo_101_PM
6753,6754,SF_PM
6753,6937,SF_AM
6754,6753,SF_AM
6754,6755,SF_PM
6755,6754,SF_AM
6755,13510,SF_PM
6758,6795,SF_PM
6758,13510,SF_AM
6775,6788,SFOSanMateo_101_AM
6779,6789,SFOSanMateo_101_AM
6781,6788,SFOSanMateo_101_PM
6781,13504,SFOSanMateo_101_AM
6782,6785,SF_AM
6785,6782,SF_PM
6785,13632,SF_AM
6787,6792,SFOSanMateo_101_AM
6787,13504,SFOSanMateo_101_PM
6788,6775,SFOSanMateo_101_PM
6788,6781,SFOSanMateo_101_AM
6789,6735,SFOSanMateo_101_AM
6789,6779,SFOSanMateo_101_PM
6792,6787,SFOSanMateo_101_PM
6795,6758,SF_AM
6795,13632,SF_PM
6828,6831,SFOSanMateo_280380_AM
6831,6828,SFOSanMateo_280380_PM
6831,7707,SFOSanMateo_280380_AM
6832,6833,SFOSanMateo_280380_AM
6832,6835,SFOSanMateo_280380_PM
6833,6832,SFOSanMateo_280380_PM
6833,6834,SFOSanMateo_280380_AM
6834,6833,SFOSanMateo_280380_PM
6834,6849,SFOSanMateo_280380_AM
6835,6832,SFOSanMateo_280380_AM
6835,7707,SFOSanMateo_280380_PM
6849,6834,SFOSanMateo_280380_PM
6849,6855,SFOSanMateo_280380_AM
6854,6703,SFOSanMateo_280380_AM
6854,7127,SFOSanMateo_280380_PM
6855,6849,SFOSanMateo_280380_PM
6855,7127,SFOSanMateo_280380_AM
6936,6941,SF_PM
6936,6953,SF_AM
6937,6753,SF_PM
6937,6941,SF_AM
6941,6936,SF_AM
6941,6937,SF_PM
6952,6953,SF_PM
6952,6958,SF_AM
6953,6936,SF_PM
6953,6952,SF_AM
6958,6952,SF_PM
7127,6854,SFOSanMateo_280380_AM
7127,6855,SFOSanMateo_280380_PM
7707,6831,SFOSanMateo_280380_PM
7707,6835,SFOSanMateo_280380_AM
8006,8388,Periphery_101NorthBay_PM
8015,1608,Periphery_SR4_AM
8015,1609,Periphery_SR4_PM
8050,1998,EastBay_68024980_AM
8050,2004,EastBay_68024980_PM
8051,2005,EastBay_68024980_AM
8051,3535,EastBay_68024980_PM
8056,1985,EastBay_68024980_AM
8056,1998,EastBay_68024980_PM
8141,1975,EastBay_68024980_AM
8141,1976,EastBay_68024980_PM
8149,1956,EastBay_68024980_AM
8149,1957,EastBay_68024980_PM
8293,8330,Periphery_101NorthBay_AM
8293,8551,Periphery_101NorthBay_PM
8330,8293,Periphery_101NorthBay_PM
8330,8331,Periphery_101NorthBay_AM
8331,8330,Periphery_101NorthBay_PM
8331,8333,Periphery_101NorthBay_AM
8333,8331,Periphery_101NorthBay_PM
8333,12253,Periphery_101NorthBay_AM
8358,8371,Periphery_101NorthBay_PM
8358,8380,Periphery_101NorthBay_AM
8371,8358,Periphery_101NorthBay_AM
8376,8378,Periphery_101NorthBay_PM
8376,8402,Periphery_101NorthBay_AM
8378,8376,Periphery_101NorthBay_AM
8378,8380,Periphery_101NorthBay_PM
8380,8358,Periphery_101NorthBay_PM
8380,8378,Periphery_101NorthBay_AM
8388,12253,Periphery_101NorthBay_PM
8402,8376,Periphery_101NorthBay_PM
8402,8404,Periphery_101NorthBay_AM
8404,8402,Periphery_101NorthBay_PM
8404,8551,Periphery_101NorthBay_AM
8551,8293,Periphery_101NorthBay_AM
8551,8404,Periphery_101NorthBay_PM
10329,1985,EastBay_68024980_PM
10329,10330,EastBay_68024980_AM
10330,10329,EastBay_68024980_PM
10330,10331,EastBay_68024980_AM
10331,1987,EastBay_68024980_AM
10331,10330,EastBay_68024980_PM
10522,10523,Periphery_80Solano_PM
10522,11800,Periphery_80Solano_AM
10523,10522,Periphery_80Solano_AM
10523,11852,Periphery_80Solano_PM
11074,11873,Periphery_80Solano_PM
11074,11874,Periphery_80Solano_AM
11076,11874,Periphery_80Solano_PM
11076,11887,Periphery_80Solano_AM
11096,11795,Periphery_80Solano_AM
11096,11856,Periphery_80Solano_PM
11210,4021,Periphery_101SouthBay_AM
11210,15985,Periphery_101SouthBay_PM
11211,4201,Periphery_101SouthBay_PM
11211,4221,Periphery_101SouthBay_AM
11535,2310,EastBay_Outer80_AM
11544,2408,EastBay_Outer80_PM
11544,2414,EastBay_Outer80_AM
11794,11795,Periphery_80Solano_PM
11794,11873,Periphery_80Solano_AM
11795,11096,Periphery_80Solano_PM
11795,11794,Periphery_80Solano_AM
11800,10522,Periphery_80Solano_PM
11800,11856,Periphery_80Solano_AM
11852,10523,Periphery_80Solano_AM
11856,11096,Periphery_80Solano_AM
11856,11800,Periphery_80Solano_PM
11870,11886,Periphery_80Solano_PM
11873,11074,Periphery_80Solano_AM
11873,11794,Periphery_80Solano_PM
11874,11074,Periphery_80Solano_PM
11874,11076,Periphery_80Solano_AM
11886,11870,Periphery_80Solano_AM
11886,11887,Periphery_80Solano_PM
11887,11076,Periphery_80Solano_PM
11887,11886,Periphery_80Solano_AM
12007,2776,EastBay_880680_AM
12007,3891,EastBay_880680_PM
