"zone_id","agrempn","fpsempn","herempn","mwtempn","othempn","retempn"
113,0,300,291,203,296,53
114,2,528,622,320,251,185
115,0,115,5749,51,969,15
116,4,1799,1242,694,2429,390
117,0,137,396,44,130,31
118,2,290,226,19,141,42
119,0,70,159,26,43,76
120,2,149,387,28,174,76
121,0,209,241,97,163,116
122,0,309,287,33,137,30
123,2,311,960,63,307,215
124,0,200,400,55,148,37
125,0,110,220,10,96,25
126,0,127,63,19,139,313
127,0,285,290,37,137,69
128,0,273,379,37,185,62
129,4,257,186,53,187,31
130,0,398,244,45,160,195
131,3,468,200,22,221,26
132,0,368,3253,88,227,315
133,0,377,398,37,227,91
134,0,367,540,101,339,212
135,0,124,241,14,86,30
136,0,149,621,210,41,2
137,0,139,110,34,146,114
138,6,341,759,92,377,143
139,2,356,307,226,184,74
140,2,111,101,79,33,10
141,0,71,96,10,68,16
142,9,1761,1751,4197,4032,780
143,0,83,302,56,692,51
144,0,4210,130,25,63,7
145,0,4560,1055,911,712,159
146,0,38,21,48,0,0
147,0,315,422,713,1217,101
148,5,312,305,550,758,54
149,0,854,268,216,266,22
150,0,365,228,267,825,127
151,0,72,39,13,61,2
152,0,138,254,24,92,13
153,0,80,98,575,89,6
154,0,136,195,106,59,52
155,3,74,62,10,24,7
156,0,59,70,17,11,9
157,0,17,15,7,18,7
158,0,19,215,3,11,5
159,0,118,98,10,39,12
160,0,71,79,12,56,13
161,0,104,86,10,68,21
162,0,107,148,53,128,79
163,0,88,82,8,32,6
164,0,188,376,275,122,139
165,0,316,1022,58,752,401
166,2,233,205,37,127,21
167,0,175,186,20,114,37
168,0,379,316,51,197,50
169,5,706,1311,95,469,130
170,2,786,1201,134,380,261
171,3,262,277,34,78,127
172,5,403,465,76,175,165
173,0,223,74,27,74,29
174,0,295,312,12,137,23
175,0,435,1251,102,304,155
176,0,183,488,41,113,355
177,3,759,804,287,376,253
178,2,289,316,87,171,38
179,0,222,349,54,169,120
180,2,158,306,53,129,61
181,0,303,212,29,83,37
182,3,196,123,45,167,44
183,0,226,452,62,150,119
184,2,524,592,180,294,165
185,0,861,1341,159,465,193
186,7,624,722,126,187,31
187,7,280,870,86,137,239
188,0,224,1699,65,290,1380
189,4,117,243,35,142,17
190,0,29,677,15,164,9
191,2,192,293,62,118,61
192,0,321,490,63,166,605
193,0,491,1029,124,459,62
194,12,249,2166,282,90,154
195,2,171,425,68,197,55
196,0,161,165,22,94,20
197,0,87,61,48,48,108
198,0,351,555,92,58,19
199,0,1398,1291,71,414,1253
200,2,142,1421,163,179,2156
201,0,236,617,169,244,164
202,2,156,367,21,167,20
203,2,1043,599,78,366,246
204,0,345,483,123,141,112
205,0,141,175,24,90,13
206,0,151,68,37,42,18
207,0,101,202,148,145,27
208,0,1636,848,3290,1865,496
209,0,298,455,71,113,20
210,0,98,146,165,90,73
211,0,352,882,115,317,218
212,128,6053,4979,17164,3328,1915
213,7,307,879,108,278,145
214,0,232,322,36,343,23
215,0,173,235,186,326,166
216,0,102,1784,13,28,353
217,0,205,374,58,94,30
218,0,238,240,35,40,21
219,0,147,162,40,69,26
220,4,197,240,55,111,110
221,0,125,77,56,35,35
222,0,219,443,48,185,160
223,0,330,648,167,388,59
224,2,248,213,19,205,29
225,0,440,652,28,233,350
226,4,290,619,173,267,247
227,0,242,99,33,207,42
228,0,2,2,2,0,0
229,2,202,720,74,126,70
230,0,300,827,139,125,369
231,0,229,107,248,67,21
232,0,203,266,50,68,29
233,0,358,513,241,168,91
234,0,2301,1447,638,825,1794
235,0,162,329,46,427,47
236,0,225,646,80,223,207
237,2,261,1132,78,227,207
238,0,110,365,394,322,53
239,0,232,325,1158,822,21
240,0,605,1756,188,790,473
241,0,224,358,59,147,12
242,0,171,135,39,75,24
243,0,207,295,22,54,23
244,2,279,466,60,251,198
245,5,292,130,61,68,16
246,0,927,3562,158,417,273
247,3,248,286,49,116,19
248,16,3762,2769,4337,1943,551
249,0,1774,1290,2608,840,361
250,5,277,263,43,421,77
251,37,1973,1649,508,1206,1474
252,12,794,567,158,217,88
253,2,214,82,4,41,16
254,9,777,346,92,402,23
255,2,325,310,36,68,41
256,0,710,354,147,279,46
257,8,2478,3664,393,924,721
258,0,379,841,74,299,185
259,0,229,516,63,147,138
260,0,223,434,86,220,124
261,5,355,617,209,415,106
262,0,192,228,74,172,66
263,0,54,52,82,241,32
264,2,670,1545,151,509,126
265,7,2296,659,952,1870,872
266,10,4393,2197,1494,3393,617
267,0,358,479,100,175,32
268,0,196,464,32,173,22
269,8,281,291,54,95,115
270,0,128,66,13,41,85
271,0,213,169,36,85,27
272,0,299,334,122,100,111
273,75,283,34,50,348,9
274,0,1181,388,190,402,139
275,0,731,566,300,401,353
276,0,87,32,40,65,8
277,0,243,309,133,163,167
278,2,6154,1946,175,688,840
279,0,1221,405,130,668,444
280,6,2559,990,327,891,351
281,3,1161,1380,101,696,86
282,7,901,814,583,587,70
283,0,162,383,14,65,26
284,0,766,748,98,519,2356
285,0,220,247,24,207,10
286,0,646,811,104,322,145
287,4,520,1167,189,484,222
288,2,335,1175,42,228,92
289,0,415,125,103,121,34
290,0,231,174,43,60,42
291,0,1020,1415,597,1059,95
292,2,148,703,21,677,9
293,14,243,621,182,563,46
294,14,316,904,52,305,55
295,53,512,230,138,258,141
296,248,1232,1977,295,944,296
297,168,371,434,181,361,50
298,756,1267,835,202,624,87
299,39,441,437,70,351,150
300,41,650,755,45,442,28
301,2,469,663,125,314,111
302,9,540,324,96,251,36
303,3,263,1927,38,268,57
304,5,429,368,55,160,45
305,2,193,69,17,48,6
306,2,352,188,88,69,14
307,0,387,390,76,143,32
308,15,235,214,20,89,14
309,6,1176,2000,777,746,899
310,8,3584,1822,3818,2794,1210
311,2,5753,2338,12077,8621,248
312,4,500,298,225,267,32
313,6,1473,770,1363,1908,940
314,3,724,596,1446,1097,931
315,0,3329,5401,493,10629,1486
316,0,150,298,37,293,39
317,0,323,1253,41,228,79
318,0,266,372,59,175,142
319,2,237,226,32,131,19
320,0,268,406,31,183,16
321,0,404,328,65,194,222
322,2,762,304,51,119,18
323,0,170,298,85,168,515
324,0,226,535,34,88,260
325,0,187,181,22,106,264
326,0,164,301,27,274,183
327,11,368,425,24,131,164
328,0,422,538,179,377,102
329,2,484,444,1115,649,133
330,0,572,218,32,70,60
331,0,1897,616,3606,5599,99
332,0,1250,720,983,790,85
333,15,268,761,71,107,589
334,0,141,300,31,132,73
335,2,1016,961,14,113,38
336,0,370,437,32,159,74
337,0,149,147,29,3064,23
338,0,152,70,13,52,30
339,4,394,451,39,355,18
340,48,3465,874,71,2280,135
341,38,1718,2286,278,721,864
342,4,729,1007,107,216,16
343,0,221,451,15,62,21
344,4,297,216,27,78,14
345,0,503,621,94,136,83
346,4,3492,1123,100,563,90138
347,37,2641,1345,183,241,57
348,0,1982,100,876,255,2
349,4,10992,7028,9905,954,54
350,2,676,2606,10,58,6
351,0,1858,2124,192,957,295
352,0,0,7,0,2,0
353,0,22,114,8,66,8
354,0,609,2749,43,548,216
355,0,924,34077,220,417,2297
356,54,8735,4284,651,2243,1041
357,8,691,540,48,149,59
358,0,568,496,86,243,25
359,4,658,331,36,126,33
360,6,487,283,27,81,53
361,2,978,654,146,278,206
362,2,980,1033,615,754,65
363,0,164,425,16,61,24
364,0,182,460,108,58,71
365,0,442,328,51,163,144
366,4,788,1357,108,747,186
367,2,671,1004,87,142,85
368,0,731,425,37,146,33
369,28,741,833,108,205,111
370,7,2824,1916,309,1182,605
371,0,957,678,196,277,81
372,0,859,955,186,305,1499
373,0,181,193,14,88,55
374,7,1478,1152,1507,1489,721
375,0,129,159,13,89,165
376,5,860,261,489,188,101
377,4,670,442,236,524,512
378,5,2668,2424,341,2185,214
379,2,250,420,45,67,73
380,0,72,112,31,104,37
381,2,693,793,249,734,273
382,0,412,273,11,65,28
383,0,243,1409,57,90,150
384,2,520,556,62,79,43
385,2,329,245,47,168,35
386,25,248,157,22,61,16
387,4,525,425,33,208,185
388,2,1054,1578,114,230,76
389,0,513,1901,72,146,245
390,0,353,438,150,248,334
391,0,447,500,120,178,528
392,0,83,113,46,33,53
393,0,238,541,229,120,254
394,2,336,859,99,2589,246
395,0,675,398,2885,1100,148
396,0,858,88,1592,631,233
397,0,5477,94,1512,324,393
398,0,294,483,306,285,84
399,2,3525,99,2038,2348,103
400,0,104,196,23,137,16
401,14,4353,1320,3539,3920,602
402,0,280,130,82,1275,2
403,6,2224,955,7972,2010,42
404,0,1435,405,3703,1366,25
405,0,297,638,2039,1519,683
406,2,2069,1012,8027,1000,179
407,13,2851,2456,7910,3091,968
408,12,4462,887,3868,2681,243
409,16,3395,905,8993,738,118
410,0,511,225,8708,3279,11
411,0,0,0,691,7,0
412,0,4645,660,21657,1514,285
413,2,801,568,476,260,125
414,0,1461,907,5135,1790,375
415,14,6693,2382,14703,2795,911
416,0,2093,903,1038,840,145
417,2,2660,23,2758,446,4
418,0,692,299,2174,473,105
419,0,108,317,28,127,86
420,0,105,112,17,65,4
421,2,169,292,131,55,167
422,2,494,360,919,287,64
423,2,127,266,39,51,48
424,2,381,607,167,151,43
425,0,127,248,19,74,92
426,0,314,130,1413,94,248
427,3,2837,841,6509,2470,1171
428,6,3948,1974,2800,1319,440
429,6,1673,931,8570,306,125
430,0,2192,527,7986,1039,151
431,0,2742,204,3637,1512,138
432,24,3693,1030,5009,2251,879
433,0,489,483,114,494,62
434,0,1682,474,1826,385,126
435,2,7769,3999,4975,2063,236
436,3,161,1458,42,87,41
437,0,191,369,46,111,234
438,33,178,902,103,113,216
439,0,157,201,67,77,33
440,0,381,429,22,71,120
441,0,325,340,31,610,33
442,0,256,341,48,116,87
443,2,423,321,18,82,17
444,12,275,1106,114,163,235
445,0,299,715,68,199,402
446,0,270,111,93,175,90
447,0,289,280,72,147,228
448,5,437,825,29,187,1110
449,2,376,815,82,137,367
450,0,1032,1359,279,508,530
451,17,327,428,104,106,56
452,0,261,997,108,165,38
453,0,327,863,669,153,56
454,0,389,349,13,60,22
455,2,1206,392,479,158,43
456,0,353,526,97,225,231
457,0,309,336,34,101,8
458,0,234,134,10,74,15
459,10,798,647,87,188,89
460,0,828,1113,4986,312,429
461,0,268,1172,24,145,40
462,4,1756,604,143,429,1479
463,0,345,221,37,117,653
464,0,199,162,43,68,22
465,0,684,1299,489,805,1054
466,0,481,990,225,159,2238
467,0,1895,1436,411,1126,496
468,6,738,1075,121,428,381
469,0,298,313,79,163,14
470,0,323,386,53,136,110
471,2,318,1072,112,120,649
472,0,1035,1072,230,345,124
473,0,428,285,206,178,36
474,0,217,274,32,105,153
475,0,484,850,155,455,1306
476,5,645,1341,102,391,398
477,0,288,735,38,224,51
478,0,201,275,104,86,313
479,0,593,701,80,237,80
480,0,294,363,15,66,10
481,3,293,389,65,107,92
482,0,213,189,62,99,19
483,0,1049,868,223,387,532
484,2,1089,1360,228,398,305
485,21,1449,1948,2328,770,278
486,7,582,754,187,252,628
487,0,444,670,32,239,70
488,34,618,709,134,205,31
489,6,635,665,127,91,27
490,2,845,935,478,307,332
491,0,210,89,39,48,24
492,2,395,194,49,74,26
493,3,739,581,207,174,46
494,11,828,716,71,163,238
495,2,801,440,247,166,28
496,3,731,691,96,306,91
497,8,950,1819,228,470,39
498,0,744,723,252,208,51
499,0,570,741,116,249,341
500,0,242,125,15,141,22
501,2,195,112,25,41,27
502,0,224,327,42,109,86
503,6,380,742,47,240,58
504,11,2912,2476,2244,3079,1287
505,0,278,209,139,398,24
506,0,365,1679,137,151,31
507,6,589,445,49,210,86
508,0,984,460,458,612,6
509,0,1046,1103,260,466,158
510,11,518,335,85,116,18
511,6,2036,3271,707,1083,729
512,39,526,212,41,338,61
513,5,331,285,50,80,33
514,8,721,571,97,170,271
515,2,357,3984,34,136,23
516,0,360,384,51,96,21
517,2,534,1296,68,278,158
518,2,1002,3246,246,329,830
519,4,745,3985,1346,309,116
520,0,458,512,210,436,143
521,2,521,1066,229,431,309
522,13,491,1049,52,376,116
523,4,445,539,108,309,528
524,4,369,175,95,118,30
525,2,269,377,42,70,33
526,16,501,646,98,208,64
527,2,1113,1048,122,474,756
528,10,585,654,62,221,59
529,8,769,493,344,167,181
530,14,3944,2168,770,1861,919
531,0,1009,672,77,270,340
532,0,190,243,42,84,82
533,0,810,2404,365,419,148
534,0,647,1354,19,350,104
535,4,225,1050,173,219,291
536,0,123,163,43,117,258
537,7,1196,1258,703,709,414
538,4,751,304,156,795,62
539,2,840,1794,1064,1032,429
540,16,1492,1635,247,631,287
541,2,545,2960,223,275,173
542,21,568,801,132,824,70
543,0,743,1014,3382,839,298
544,0,193,527,47,478,86
545,4,226,850,292,394,75
546,0,1174,735,600,4203,56
547,2,822,354,619,1228,280
548,5,295,745,80,207,123
549,0,901,1487,94,1740,169
550,0,98,564,22,53,29
551,0,312,592,288,703,117
552,0,72,63,48,63,21
553,0,49,148,21,77,32
554,2,303,599,6,242,65
555,0,195,639,132,179,169
556,0,29,543,0,146,24
557,2,1389,1948,278,4329,204
558,25,9676,3738,826,3747,328
559,12,235,453,30,106,63
560,0,2906,700,144,151,96
561,0,165,223,506,174,3679
562,0,145,136,29,87,65
563,98,1561,1897,4948,4335,1130
564,0,297,1530,37,116,234
565,6,362,391,338,539,617
566,2,699,400,152,415,398
567,2,307,504,373,288,145
568,4,226,269,292,202,72
569,0,34,174,18,52,67
570,0,89,238,25,57,103
571,0,100,189,11,44,18
572,0,73,268,6,27,6
573,0,130,374,40,103,44
574,0,286,590,46,166,73
575,0,159,217,53,102,15
576,0,155,167,73,163,27
577,0,104,276,16,34,12
578,15,180,567,40,137,303
579,0,80,265,262,557,150
580,0,95,120,482,90,57
581,0,67,83,2,123,11
582,0,1185,926,33,422,285
583,2,508,1385,171,240,1969
584,0,94,473,66,53,15
585,0,103,178,7,81,156
586,0,145,449,31,247,530
587,0,48,197,10,35,30
588,0,88,147,11,57,54
589,0,83,158,28,30,18
590,0,35,78,11,2,9
591,0,319,678,120,211,131
592,0,141,223,48,197,52
593,4,548,306,1599,579,156
594,0,138,94,39,59,15
595,0,76,2610,29,77,199
596,0,91,25,8,27,15
597,0,87,770,339,207,63
598,0,298,310,74,76,64
599,0,181,60,47,55,13
600,0,174,156,66,62,29
601,18,795,453,223,326,82
602,0,962,282,1042,3925,246
603,57,1123,585,853,2046,396
604,0,213,651,4949,210,63
605,2,2500,1687,10520,1724,808
606,0,1074,514,988,358,111
607,2,671,1749,675,1674,2073
608,7,1370,1020,5244,1499,172
609,2,1158,889,293,885,434
610,0,74,5,761,51,11
611,4,479,692,91,166,198
612,0,450,366,1347,189,181
613,0,105,364,45,74,83
614,0,573,779,96,116,139
615,0,274,354,54,80,9
616,0,120,1393,27,53,14
617,0,104,596,45,167,203
618,0,169,95,22,92,26
619,0,280,461,124,65,8
620,0,256,605,54,155,199
621,0,159,288,18,43,432
622,0,209,538,85,70,42
623,0,319,134,95,68,24
624,0,209,48,18,38,6
625,4,298,304,30,63,138
626,0,122,315,12,65,11
627,0,437,551,60,119,131
628,4,313,315,163,230,38
629,7,367,356,51,145,230
630,0,174,463,38,72,18
631,0,130,266,27,45,27
632,0,222,611,26,93,475
633,0,239,1027,45,125,75
634,0,93,425,67,86,129
635,0,157,215,43,140,129
636,0,147,255,37,228,244
637,28,458,304,51,196,20
638,0,309,338,25,55,23
639,0,131,473,55,46,356
640,0,74,121,11,44,14
641,0,70,442,6,38,14
642,0,202,68,52,213,34
643,0,145,146,28,23,15
644,0,271,80,46,42,23
645,0,384,311,29,65,22
646,0,138,170,21,46,52
647,2,280,69,40,402,29
648,4,525,300,49,40,46
649,0,161,598,51,126,329
650,0,142,184,24,91,56
651,2,249,765,51,126,252
652,0,187,269,26,115,38
653,0,1262,1130,1149,579,425
654,6,876,504,141,933,56
655,4,1365,1181,220,371,108
656,0,2477,516,5338,488,32
657,7,218,47,38,141,37
658,0,179,106,26,68,22
659,2,193,477,137,444,75
660,9,2341,2453,5419,1179,975
661,0,605,1684,223,117,100
662,0,167,333,28,149,46
663,0,175,340,46,55,16
664,12,365,358,451,581,55
665,0,527,680,68,345,395
666,2,333,122,29,32,43
667,0,94,127,39,53,85
668,0,251,396,32,38,21
669,2,227,500,57,189,591
670,0,161,543,46,111,21
671,0,157,59,14,131,10
672,0,110,148,23,57,15
673,0,207,462,55,100,249
674,0,279,351,33,74,135
675,0,387,542,158,165,77
676,0,574,1389,104,249,1155
677,2,607,1513,104,131,1245
678,0,137,287,27,77,6
679,0,225,358,56,155,321
680,4,393,441,136,214,543
681,9,345,436,35,111,114
682,4,993,536,54,1345,190
683,4,173,176,17,63,116
684,8,297,682,47,154,179
685,4,377,522,36,149,94
686,2,406,616,147,188,368
687,0,207,952,38,613,1418
688,10,283,801,155,179,228
689,4,362,153,60,84,125
690,0,685,525,68,200,97
691,0,254,209,37,32,13
692,0,280,854,98,110,180
693,0,284,425,27,81,89
694,4,342,255,18,135,38
695,2,818,297,98,167,63
696,155,979,341,46,1050,69
697,79,1738,332,319,165,29
698,65,523,773,117,284,337
699,142,307,368,93,105,92
700,254,1539,2109,5708,1783,1210
701,59,509,470,176,201,345
702,363,1454,1845,177,872,291
703,12,334,141,678,234,24
704,53,340,689,107,163,54
705,29,346,939,131,226,88
706,471,633,1969,1537,697,2783
707,20,594,1762,955,1469,952
708,16,402,709,34,348,60
709,4,328,627,75,315,353
710,2,413,571,34,135,179
711,22,434,192,86,156,42
712,224,396,874,187,422,125
713,188,501,154,397,556,94
714,106,84,118,1443,359,2
715,112,8188,1593,5964,4174,488
716,19,1176,895,219,477,86
717,2,237,1064,237,553,187
718,11,1207,780,1595,1796,463
719,0,185,301,38,127,55
720,11,148,234,486,398,362
721,0,338,830,163,282,1279
722,0,126,214,97,174,78
723,6,722,1224,111,541,240
724,4,1727,1852,83,358,521
725,4,209,171,38,80,71
726,6,308,343,73,246,230
727,0,70,344,16,34,2
728,68,1138,798,1352,1285,148
729,33,1239,2857,1066,769,1313
730,8,865,1779,1061,1708,2398
731,0,136,58,22,81,13
732,0,1229,1485,729,1944,675
733,4,968,1925,225,1181,1113
734,59,866,721,325,481,67
735,60,639,854,144,459,366
736,2,5114,2297,5619,796,3522
737,0,1750,1018,1616,933,450
738,6,241,115,11,67,18
739,45,2754,1930,1947,3047,357
740,0,305,754,263,69,165
741,2,197,331,36,92,38
742,8,7414,3647,4944,2780,1904
743,0,2992,1331,948,1386,362
744,11,290,2360,101,736,109
745,0,181,235,24,126,33
746,141,1045,772,224,500,197
747,9,337,170,163,77,12
748,0,205,79,40,57,27
749,2,380,587,251,160,153
750,0,1634,1008,6456,633,106
751,2,3408,2785,14926,7272,2395
752,31,4402,1723,11283,1819,1085
753,3,383,188,68,62,22
754,2,725,1172,157,160,34
755,2,854,530,78,229,136
756,8,823,740,824,954,361
757,0,58,86,13,18,42
758,0,209,414,78,55,26
759,2,230,760,182,144,110
760,0,126,179,57,162,111
761,0,1076,1070,288,335,281
762,0,146,268,35,95,20
763,0,510,671,95,114,44
764,0,242,1059,96,278,426
765,0,313,826,26,87,353
766,0,125,176,587,103,124
767,0,1860,2120,2947,529,2473
768,21,1577,845,3511,729,520
769,0,855,709,1454,353,96
770,2,472,903,743,194,201
771,10,249,561,66,138,256
772,0,86,155,43,81,36
773,0,505,707,319,510,459
774,0,1073,1076,214,367,244
775,9,295,325,129,175,47
776,2,487,1019,43,205,18
777,7,2750,2779,133,3467,1048
778,11,2503,3535,436,2616,182
779,2,328,244,49,47,30
780,2,549,608,106,126,91
781,2,248,261,59,102,32
782,0,251,381,80,191,70
783,0,96,26,55,46,3
784,2,175,466,73,118,480
785,0,154,229,33,49,124
786,0,140,110,25,63,32
787,0,176,276,75,128,57
788,0,268,180,30,81,27
789,18,148,113,49,61,34
790,0,197,336,132,54,31
791,2,139,235,35,31,31
792,0,75,52,26,24,6
793,0,224,292,152,56,73
794,0,179,84,43,327,22
795,0,272,503,813,238,61
796,25,593,2141,2342,312,1208
797,4,700,962,4004,511,562
798,0,102,340,77,56,11
799,2,177,137,37,75,176
800,0,169,821,61,344,37
801,0,757,694,604,255,238
802,3,54,521,9,37,10
803,2,54,380,12,41,9
804,0,157,562,15,75,268
805,0,195,326,47,66,8
806,4,1308,1769,6334,1313,1172
807,2,55,152,17,27,88
808,0,40,1442,12,27,11
809,7,270,125,1570,605,66
810,39,4004,2185,14419,4191,1628
811,31,200,1617,306,193,139
812,0,341,1058,71,1008,1008
813,0,169,963,21,46,103
814,0,31,117,25,37,53
815,0,32,247,2,0,5
816,0,47,161,20,24,97
817,0,68,210,29,158,39
818,0,84,240,25,25,24
819,2,103,291,27,46,238
820,6,612,767,91,146,134
821,0,445,456,18,123,62
822,0,191,94,24,127,16
823,0,336,704,102,148,29
824,0,317,529,110,217,318
825,0,96,263,32,52,3
826,2,173,225,204,176,290
827,0,285,652,45,2168,149
828,0,273,641,149,450,177
829,0,43,211,7,802,22
830,0,79,409,28,40,55
831,0,28,523,246,29,45
832,0,147,454,19,87,73
833,0,35,144,19,44,15
834,0,281,312,1876,38,22
835,0,201,396,54,122,264
836,0,73,34,7,31,206
837,0,157,674,75,183,54
838,0,284,409,98,109,198
839,2,1067,1411,276,1085,417
840,2,395,670,66,153,154
841,7,203,594,32,91,33
842,0,134,370,32,97,134
843,0,121,171,32,68,13
844,25,706,578,101,522,169
845,28,281,838,63,125,47
846,4,192,519,68,152,72
847,9,461,641,58,459,219
848,2,223,2704,132,206,390
849,2,157,503,23,129,26
850,0,201,167,23,144,11
851,0,117,73,16,113,14
852,0,199,401,29,111,42
853,2,215,721,76,218,27
854,0,111,283,28,256,77
855,0,47,194,36,46,47
856,0,127,779,49,177,822
857,8,129,463,123,92,55
858,4,263,638,95,115,437
859,0,58,160,34,101,73
860,0,396,861,13133,619,154
861,2,302,1123,451,605,39
862,14,429,710,1266,749,764
863,0,209,334,624,185,326
864,2,650,1448,328,292,746
865,0,84,449,23,82,14
866,0,181,545,30,376,14
867,0,73,237,46,60,73
868,2,162,414,19,84,99
869,0,207,371,49,134,89
870,0,132,135,93,124,220
871,7,975,2724,326,542,867
872,2,162,727,559,244,1189
873,4,1603,1387,8889,2007,1133
874,0,392,226,1479,152,16
875,29,3174,3727,2187,2320,865
876,0,36,9,14,6,0
877,10,14,166,68,18,4
878,0,161,257,204,100,13
879,0,60,108,160,55,208
880,0,19,392,10,47,202
881,0,35,37,4,22,7
882,0,196,467,24,133,60
883,0,370,161,18,177,43
884,0,231,400,60,57,165
885,5,531,839,64,322,153
886,0,147,281,28,93,151
887,0,91,834,24,50,42
888,0,39,104,6,14,14
889,0,31,160,15,10,7
890,0,32,672,10,38,55
891,0,50,177,37,67,58
892,0,180,206,336,366,34
893,100,22,196,74,222,47
894,0,93,118,687,237,6
895,2,334,217,131,89,39
896,0,268,304,1599,461,222
897,0,58,204,31,51,71
898,0,38,278,150,59,28
899,0,112,603,25,628,57
900,0,111,582,26,1272,180
901,0,144,91,11,46,13
902,0,33,545,9,38,27
903,0,179,518,14,91,20
904,0,84,708,42,47,41
905,0,111,274,28,82,34
906,3,68,439,12,174,73
907,0,117,256,4,44,17
908,0,187,299,35,104,141
909,0,129,349,30,80,53
910,6,258,751,27,124,54
911,0,166,275,15,76,21
912,7,376,486,51,114,126
913,25,1173,893,115,698,391
914,0,341,136,30,100,14
915,8,319,294,63,358,34
916,0,403,1104,47,86,365
917,9,322,352,32,155,44
918,2,588,725,54,162,28
919,0,119,63,15,80,3
920,3,263,465,15,53,23
921,2,239,142,23,117,82
922,0,280,493,54,153,54
923,5,124,342,24,81,56
924,0,87,777,24,61,93
925,0,146,780,56,126,164
926,0,494,1312,883,880,572
927,2,37,849,18,63,64
928,0,114,255,2,48,31
929,0,42,69,4,50,8
930,0,22,434,15,24,15
931,0,38,627,10,68,14
932,0,34,35,4,45,8
933,0,71,427,56,72,56
934,2,154,613,85,145,100
935,0,52,69,55,62,10
936,0,71,174,19,32,16
937,0,172,286,43,179,253
938,7,329,314,53,75,26
939,0,581,701,115,388,231
940,2,177,339,598,438,34
941,2,113,151,27,53,9
942,0,328,716,31,183,146
943,0,169,439,23,120,139
944,0,149,334,6,52,120
945,2,3205,1500,939,3303,147
946,2,836,1309,1029,2512,199
947,2,804,3827,613,724,344
