"ZONE","county","A_ESRI_NEW","A_LODES_NEW","A_LODES_SELF_NEW","A_NETS_NEW","A_NETS_NOSOLE_NEW","F_ESRI_NEW","F_LODES_NEW","F_LODES_SELF_NEW","F_NETS_NEW","F_NETS_NOSOLE_NEW","H_ESRI_NEW","H_LODES_NEW","H_LODES_SELF_NEW","H_NETS_NEW","H_NETS_NOSOLE_NEW","M_ESRI_NEW","M_LODES_NEW","M_LODES_SELF_NEW","M_NETS_NEW","M_NETS_NOSOLE_NEW","O_ESRI_NEW","O_LODES_NEW","O_LODES_SELF_NEW","O_NETS_NEW","O_NETS_NOSOLE_NEW","R_ESRI_NEW","R_LODES_NEW","R_LODES_SELF_NEW","R_NETS_NEW","R_NETS_NOSOLE_NEW","T_ESRI_NEW","T_LODES_NEW","T_LODES_SELF_NEW","T_NETS_NEW","T_NETS_NOSOLE_NEW"
937,"Alameda",0,0,2.03651673083171,0,0,68.3049760801249,89.4612273636077,212.432648208732,204.766599998588,166.53998593081,322.556773351932,343.988835637567,562.876395649574,300.445083010574,280.703258924929,19.126228015445,86.6963028453148,200.382000202596,45.9389911295761,39.4461380728509,41.951409080084,22.0839922010573,103.892339270408,184.016175568294,171.424734297592,289.512922883507,238.020725822342,295.129907285043,248.319707113044,241.228113982752,741.452309411092,780.251083869889,1376.74980734719,983.486556820076,899.342231208933
938,"Alameda",1,0,1.70248128270151,4.24045965585267,3.97008478543077,115.445029994577,70.2381233881813,173.039411060654,397.887706158394,318.556135879281,72.5507636110728,335.786477522312,518.771457854124,318.118323187666,308.184696861635,31.8770466924083,9.61820767013022,104.656843460073,54.2080095328998,48.6196585549092,45.6804232205359,9.3917763747255,77.7816783803128,84.3407471354681,71.8260059906112,21.2309476781238,3.98259679539417,51.7245627899214,28.6522738976589,24.7902409626543,287.784211196718,429.017181750744,927.676434827787,887.44751956794,775.946823034522
939,"Alameda",0,0,1.34962900506892,0.605779950836096,0,543.553682891135,243.132267763421,324.627201664277,641.472618952924,562.556580382561,671.58477126466,735.623603643806,880.683546127225,736.385007378857,688.017428343969,487.263428012527,61.866002872139,137.20715391302,112.091138356166,105.495485543671,197.637749443951,141.507318375748,195.722889694158,384.325450015031,371.579870991428,244.155898298424,189.493862066295,227.340940163379,229.218191181271,220.251756245121,2144.1955299107,1371.62305472141,1766.93136056713,2104.09818583508,1947.90112150675
940,"Alameda",0,0,0.920363825087383,1.81733985250829,1.13430993869451,49.0641377476954,49.0510028058078,104.625526477522,204.766599998588,171.381264591589,261.770998434546,598.716988992954,697.638932008085,349.537416835831,332.721695019409,8.19695486376214,7.83638799129349,59.2144109131784,553.105453200097,548.576524827089,17.7128171671466,24.4860934174664,61.4577726052305,425.53740600168,419.463874985169,17.3707753730104,16.2240069937938,42.0333823369344,37.2479560669566,32.4180074127018,354.115683586161,696.314480201315,965.890388166037,1572.01217195566,1505.69567677465
941,"Alameda",0,0,1.28366846538815,1.21155990167219,1.13430993869451,23.0890059989155,68.9724246469333,146.4844493178,148.480046444474,109.412897733613,121.571549834771,292.652844644547,430.623259519763,153.168081534802,148.203468872952,4.55386381320119,17.0007957100522,88.6597919038142,28.4821745003372,24.7685053015575,5.59352121067787,5.53352131627936,57.0994101442916,55.5882197029221,50.7570442333652,3.86017230511342,3.9108299612638,39.9082044084944,10.5058337624749,8.58123725630342,158.668113162679,388.070416279076,764.058783759551,397.435915846683,342.857463336486
942,"Alameda",0,0,1.04683389397004,0,0,185.674089907945,185.61571597198,248.826908584061,360.039851182352,317.587880147126,707.860153070196,1156.87659684822,1269.39171313474,727.54838729031,702.739627238633,61.0217750968959,10.4661056338829,68.9041432161314,34.9136332584779,28.4379134943808,24.2385919129374,51.9502086297355,94.0022817727269,184.016175568294,175.255454617091,70.4481445683199,23.4741250845547,52.830047335007,144.216445284883,139.206737713367,1049.24275455629,1428.38275216838,1735.00192793664,1450.73449258432,1363.2276132106
943,"Alameda",0,0,1.8016662537565,0.605779950836096,0,117.36911382782,152.933574823631,261.723969598668,221.264382936863,163.635218734342,275.496818577182,370.668051492268,564.313566046758,444.776544456829,430.869687650503,13.6615914396036,20.6150629815289,121.190561018188,23.8882753873796,21.0990971087342,59.6642262472306,20.1297443467219,92.503978232959,120.760615216693,114.921609584978,13.510603067897,5.92781121370055,56.4511796021273,135.620763115585,132.532442069575,479.702353159733,570.27424485785,1097.98492075246,946.916361064187,863.058055148132
944,"Alameda",0,0,0.747080129295048,0.605779950836096,0,117.36911382782,77.8825640392096,122.993661627419,178.564238861328,144.270104091225,215.69145938427,334.882885959258,415.18006405711,338.737103394274,327.814295387854,15.483136964884,42.4176752945933,84.1223783273982,5.51267893554914,5.504112289235,13.0515494915817,6.62705292903528,36.6378009777512,54.6298021218373,49.7993641534904,104.224652238062,124.70314374358,145.653197344989,120.339550370167,114.416496750712,465.819911906619,586.513321965677,805.334182463962,698.389153633992,641.804372672516
945,"Alameda",0,0,0.726952768531903,1.81733985250829,1.13430993869451,1495.01313842978,6269.64892946223,6313.54467236494,3168.54478196868,3103.25962155957,1598.07763089255,3144.77010333241,3222.90396559777,1505.17095508238,1472.21988946641,445.367880931076,789.284082177057,829.865203453976,864.571813058623,861.393573265278,4779.66387452424,779.877834762733,809.080052201328,3173.32061097199,3163.21730382652,17.3707753730104,50.5789256984008,70.9645561940297,146.12659687806,140.160208519623,8335.49330015065,11034.1598754328,11247.0854025806,8859.55209781224,8741.38490657609
946,"Alameda",0,0,0.677883300095909,1.21155990167219,1.13430993869451,449.27357506223,589.598028618748,630.530799421928,854.0028815107,809.461792082308,1092.18311706399,2421.88259924946,2494.74240898463,1302.91053972232,1284.75722354102,625.700887933843,929.038472326569,966.880359177548,953.693455850001,943.955257603803,467.059021091602,2116.72323728714,2143.95429875949,2413.29546917169,2405.69236064554,637.893473419993,456.8141073034,475.823703350225,192.925310910903,189.740690444931,3272.11007457166,6514.05644478531,6712.60945299392,5718.03921706729,5634.74163425629
947,"Alameda",11,14.1558213780383,15.1140894628651,1.21155990167219,1.13430993869451,401.171479231156,604.216106097693,662.079410708778,824.889146913745,778.47760865332,1650.03966428967,2134.27874069853,2237.27468458132,3793.85555801587,3756.12367799197,1064.69335952644,735.151695852451,788.645671045214,578.831288232659,562.336805550176,263.827750436973,441.996425227051,480.490745888476,709.2290100028,693.360377829366,323.289430553249,413.247610488805,440.119919032981,339.051907788964,327.993957352042,3714.02168403748,4343.04639974257,4623.72452071964,6247.06847085571,6119.42673731557
948,"Alameda",0,0,0.885680433696732,0.605779950836096,0,189.522257574431,288.601183488649,342.081412596284,427.00144075535,389.23880432666,550.013221429889,670.052588675423,765.2467140893,722.639153907785,699.7951874597,153.9205968862,167.74137991129,217.183251031785,334.435855423314,324.742625064865,1028.27564922962,204.097363451831,239.675785772381,3418.67551172971,3401.67964371534,236.435553688197,134.549087979837,159.385851577303,170.958567589365,161.136566257253,2158.16727880833,1465.04160350703,1724.45869550075,5074.31630935636,4976.59282682382
949,"Alameda",0,0,1.41071091157635,2.42311980334438,1.13430993869451,85.6217305793115,49.0448394169936,134.228095008229,244.555370614428,198.492425091953,466.677884849603,402.495879370283,554.120987400283,473.250098075479,459.33260551352,173.957597664285,21.3692818045195,100.120244820956,129.547954985405,121.09047036317,98.8188747219757,50.0788977438628,106.748173336618,240.562812852301,228.885539090081,167.917495272434,126.08893623275,165.648908523144,124.159853556522,116.323438363224,992.99358308761,649.077834568408,1062.27712000081,1214.49920988748,1125.25878836064
950,"Alameda",0,0,1.66934699034673,0.605779950836096,0,310.739539068737,411.250011962695,512.050544646083,568.688282460534,520.921583899858,503.933682379613,693.385642010201,872.809303990702,474.231944751984,440.684486913612,38.25245603089,15.3388249242302,108.527785199228,70.7460463395472,60.545235181585,97.8866211868627,62.9064205740359,129.965294138845,204.142944771076,193.451376134713,137.036116831526,95.2698627698548,142.082657750916,73.5408363373245,61.9756024066358,1087.84841549763,1278.15076224102,1767.10493271612,1391.9558346113,1277.5782845364
951,"Alameda",0,0,2.78416684296283,0.605779950836096,0,69.2670179967464,28.8298388224238,196.946774650002,243.584912794529,208.174982413512,203.926470690583,379.678640345259,678.924640977712,268.044142685904,261.07366039871,11.8400459143231,8.72688301152682,164.149101896015,26.6446148551542,18.3470409641167,19.5773242373725,9.94167443535759,121.783666175373,126.511120703202,116.836969744727,37.6366799748558,15.0563638896664,93.1315827425283,16.2362885420067,15.255532900095,342.247538813881,442.233400504234,1257.71993328459,681.626859531632,619.688186421161
