TAZ1454,emp_sec11,emp_sec21,emp_sec22,emp_sec23,emp_sec3133,emp_sec42,emp_sec4445,emp_sec4849,emp_sec51,emp_sec52,emp_sec53,emp_sec54,emp_sec55,emp_sec56,emp_sec61,emp_sec62,emp_sec71,emp_sec72,emp_sec81,emp_sec92,TOTEMP
33,0,0,0,16,34,21,275,0,2,49,93,122,0,15,77,191,26,410,189,0,1520
34,0,0,0,15,13,25,191,6,20,0,46,53,0,9,2,17,83,457,119,0,1056
35,0,0,0,14,16,1,50,3,4,28,58,54,0,4,6,46,14,55,52,111,516
36,1,0,0,70,76,65,385,13,20,174,54,89,0,68,63,163,72,974,165,133,2585
37,0,0,0,41,129,38,196,60,83,201,53,435,0,175,29,450,144,894,102,0,3030
38,0,0,0,19,25,40,157,0,35,28,90,375,0,16,93,39,50,42,82,0,1091
39,0,0,0,41,2,8,64,0,20,8,27,28,0,8,284,6,113,458,27,24,1118
40,0,0,0,63,11,64,4858,10,13,82,158,231,0,133,379,16,57,850,1383,86,8394
41,9,0,0,105,441,203,1431,163,530,102,707,1500,6,245,145,210,340,3686,223,537,10583
42,2,0,0,32,18,5,10,2,4,2,28,85,0,17,4,331,12,10,52,41,655
43,0,0,4,14,10,9,497,4,29,49,109,120,0,3,83,94,166,451,204,0,1846
44,0,0,0,39,3,24,122,12,19,59,237,130,0,97,191,179,50,396,143,0,1701
45,0,0,0,111,9,48,685,21,53,196,304,333,3,53,173,241,118,548,493,0,3389
46,0,0,0,54,4,13,254,6,126,46,164,89,0,53,42,637,28,48,87,91,1742
47,0,0,0,34,18,20,449,5,31,50,69,376,3,47,14,1305,10,214,123,0,2768
48,0,0,0,15,17,1,102,0,6,3,47,39,0,28,284,111,20,32,133,0,838
49,6,1,0,72,1,14,29,0,18,94,49,39,0,12,528,72,0,114,261,5,1315
50,0,0,0,18,48,1,455,0,24,63,38,156,11,40,54,108,14,945,246,20,2241
51,0,0,0,14,6,8,24,2,12,17,18,15,0,6,159,9,38,15,124,0,467
52,0,19,0,56,510,56,220,648,402,361,453,306,4,99,156,434,269,111,356,346,4806
53,0,0,0,9,216,0,54,5,9,9,1,2,0,3,58,1139,993,109,35,241,2883
54,0,0,0,25,9,10,268,14,19,31,38,38,0,16,45,99,16,79,34,0,741
55,0,0,0,5,0,0,11,5,3,2,9,11,0,15,0,8,5,17,86,0,177
56,0,0,0,11,0,2,0,0,0,0,0,327,0,0,0,1775,552,19,11,0,2697
57,1,0,0,12,0,6,3,0,0,9,19,37,0,11,0,0,9,2,2,0,111
58,0,0,0,21,11,28,100,3,4,18,29,39,0,18,240,108,4,223,102,0,948
59,0,0,3,114,6,17,42,9,58,23,27,60,0,34,417,480,28,135,61,4,1518
60,2,0,0,19,3,13,31,0,3,0,8,19,0,4,96,53,0,12,16,0,279
61,0,0,0,11,4,1,79,2,1,31,4,27,0,10,11,175,0,145,39,19,559
62,0,0,0,31,15,18,179,0,25,60,48,121,0,28,94,195,21,335,168,0,1338
63,0,0,0,29,28,0,72,15,6,53,29,69,0,17,82,50,3,132,32,0,617
64,0,0,0,27,17,61,181,12,16,31,52,24,0,35,88,105,5,137,150,2629,3570
65,0,0,0,28,11,26,417,19,188,218,67,112,3,59,93,207,34,570,143,15,2210
66,14,0,0,103,58,57,276,11,204,91,113,207,0,102,71,310,69,547,513,8,2754
67,2,0,0,59,21,6,1486,29,13,52,36,53,0,14,2,76,14,98,188,0,2149
68,0,0,0,3,3,3,65,0,18,18,2,41,0,8,0,468,13,84,46,8,780
69,0,0,0,28,2,11,537,14,109,32,18,60,0,6,284,3546,405,90,181,0,5323
70,0,0,0,76,36,17,620,16,36,194,115,208,0,231,156,5026,10,423,118,1130,8412
71,9,0,0,49,12,12,214,0,14,74,42,102,3,45,107,715,49,189,941,38,2615
72,0,0,0,79,19,20,108,21,45,30,130,127,0,25,173,905,31,133,237,5,2088
73,0,0,0,11,15,9,349,2,34,15,54,92,0,53,72,393,38,281,206,0,1624
74,2,0,0,112,41,36,316,10,39,61,98,68,0,42,46,3290,390,1522,181,0,6254
75,0,0,0,107,8,3,709,4,311,61,248,296,0,143,52,976,4,338,361,8,3629
76,2,0,5,12,0,4,438,5,21,390,70,253,0,42,220,173,2,236,74,813,2760
77,0,0,0,8,0,2,295,11,3,29,88,49,0,222,114,543,57,259,101,11,1792
78,0,0,0,5,0,0,18,3,1,6,158,26,0,15,8,129,15,86,54,476,1000
79,3,0,0,86,42,59,252,3,62,32,148,413,0,267,844,288,146,686,252,802,4385
80,0,0,0,8,1,14,35,0,3,0,14,27,0,15,1,74,17,109,46,0,364
81,0,0,0,63,21,49,118,6,52,13,41,80,0,40,158,1937,58,527,353,0,3516
82,0,1,0,55,1,6,659,11,11,73,74,70,0,39,27,119,0,314,105,0,1565
83,2,0,0,4,1,0,29,0,2,5,56,76,0,5,71,275,13,24,9,0,572
84,0,0,0,14,4,17,110,0,15,4,36,62,0,4,39,55,32,70,71,12,545
85,0,8,0,57,32,14,217,39,10,30,40,102,0,15,45,94,39,218,335,41,1336
86,0,0,0,25,6,4,67,0,47,3,71,76,0,0,269,818,2,90,103,67,1648
87,0,0,0,18,6,1,72,0,3,3,27,36,0,13,400,352,10,72,62,0,1075
88,0,0,0,33,39,19,758,11,36,23,179,72,0,24,228,327,13,372,93,11,2238
89,1,0,0,20,27,60,142,2,30,8,10,62,0,39,249,64,10,243,80,0,1047
90,1,0,0,15,3,0,115,16,78,4,9,216,0,21,19236,13354,67,201,79,14,33429
91,0,0,0,18,4,3,21,3,2,12,17,34,0,0,82,92,3,4,4,0,299
92,0,0,0,3,4,0,9,3,19,0,6,18,0,1,52,553,17,9,20,542,1256
93,0,0,0,18,1,18,49,6,30,0,9,71,0,29,126,20,1,27,16,0,421
94,0,0,0,11,8,28,278,24,14,27,34,90,0,13,61,126,30,336,99,0,1179
95,0,0,0,15,15,3,34,5,12,4,36,71,0,8,89,42,4,83,14,5,440
96,0,0,0,33,9,0,36,0,16,5,17,42,0,10,5,18,4,84,45,0,324
97,0,0,0,10,26,6,128,8,3,20,30,106,0,12,108,62,16,200,42,0,777
98,1,0,0,20,3,13,265,0,6,35,158,48,0,39,63,67,10,113,70,0,911
99,0,0,0,12,0,2,62,4,5,2,69,39,0,4,163,58,2,114,270,0,806
100,0,0,0,146,72,69,358,65,128,98,173,241,0,141,475,470,33,550,229,20,3268
101,0,0,0,96,101,101,492,4,71,117,166,133,0,114,132,431,68,708,245,5,2984
102,0,0,0,10,2,3,123,19,36,14,30,75,0,11,9,58,9,352,195,444,1390
103,0,0,0,19,17,0,186,11,14,46,77,83,0,2,148,50,5,273,101,0,1032
104,0,0,8,44,15,16,356,0,38,19,218,32,0,10,225,80,85,375,304,54,1879
105,0,0,0,38,0,18,167,14,47,24,60,122,0,15,189,192,15,441,229,0,1571
106,0,0,0,632,70,83,744,58,67,112,127,243,35,65,230,460,135,483,633,1338,5515
107,0,0,0,405,1421,1128,2332,371,193,101,439,1147,32,27,127,552,248,733,747,4372,14375
108,0,4,5,289,207,812,645,265,958,28,131,524,0,60,255,187,143,343,152,4,5012
109,0,0,0,143,83,56,1479,14,266,42,347,930,0,112,38,498,1408,636,166,128,6346
110,0,0,0,164,342,67,641,303,63,76,53,804,0,24,345,465,21,36,28,0,3432
111,10,0,0,872,572,265,426,44,80,11,126,584,4,75,86,65,94,356,168,25,3863
112,0,0,0,47,98,28,204,8,115,11,18,146,0,5,91,48,9,93,24,11,956
113,2,0,0,121,10,131,38,84,4,0,28,53,0,117,73,146,26,47,31,11,922
114,0,0,0,74,187,5,75,5,77,17,0,192,0,57,235,32,10,36,87,0,1089
115,0,0,0,25,4,6,18,4,10,0,13,23,0,28,17,474,5,4,88,305,1024
116,0,0,288,206,160,171,273,26,456,10,30,618,0,62,273,126,121,307,275,122,3524
117,0,0,0,39,14,14,72,6,41,13,4,43,0,0,349,43,6,25,21,0,690
118,0,1,0,168,4,10,48,3,11,5,30,27,0,3,21,11,10,91,64,0,507
119,0,0,0,13,17,5,83,0,0,6,0,3,0,12,11,4,8,121,77,0,360
120,0,0,0,55,9,18,79,1,15,6,19,15,0,12,126,84,17,63,46,3,568
121,0,0,0,92,20,17,124,0,17,10,5,39,0,35,3,25,13,6,31,0,437
122,0,0,0,59,0,53,24,10,8,4,19,47,0,6,141,86,12,78,35,14,596
123,0,0,0,58,28,18,415,4,10,38,34,195,0,56,8,1560,25,420,98,161,3128
124,0,0,0,23,12,2,64,31,23,16,19,162,0,1,68,34,12,61,31,0,559
125,0,0,0,12,3,4,13,3,0,0,3,28,0,2,90,3,3,79,36,4,283
126,0,0,0,26,12,3,9,3,0,0,16,19,0,8,4,14,1,21,9,13,158
127,0,0,0,18,13,5,33,0,56,55,10,33,0,15,121,50,17,130,20,0,576
128,0,0,0,32,12,6,47,0,117,8,15,49,0,14,45,69,16,115,76,0,621
129,0,0,0,44,2,14,16,3,46,10,19,52,0,8,19,16,62,0,54,0,365
130,0,0,0,47,13,2,203,1,3,30,21,55,0,31,153,10,16,33,35,44,697
131,0,0,0,52,4,15,38,17,2,4,12,44,0,14,44,17,2,6,6,0,277
132,0,0,0,30,11,9,297,0,17,45,24,42,0,12,133,62,36,72,68,0,858
133,0,0,0,50,8,24,90,1,11,15,59,89,0,30,130,60,9,41,47,8,672
134,0,0,0,126,24,0,150,6,34,92,23,67,43,33,56,171,18,69,111,63,1086
135,0,0,0,24,123,6,105,0,9,1,0,3,0,3,102,31,27,102,25,0,561
136,0,0,0,8,1,3,3,2,0,0,1,11,0,2,0,659,0,1,0,0,691
137,0,0,0,81,0,6,25,2,0,2,0,9,0,3,3,6,6,39,6,0,188
138,0,0,0,35,58,10,187,12,28,34,11,33,0,14,552,109,1,153,151,5,1393
139,24,0,0,98,75,107,83,31,0,0,30,13,0,19,142,2,11,6,53,0,694
140,0,0,0,32,0,12,5,5,2,2,0,4,0,8,65,5,0,26,9,0,175
141,0,0,0,23,4,11,38,5,21,14,0,12,0,9,5,16,0,40,89,2,289
142,29,19,295,1990,802,1714,2184,4390,885,24,338,602,0,279,210,282,92,733,389,1522,16779
143,0,0,0,76,42,25,151,4,0,26,8,64,0,8,88,88,0,43,40,60,723
144,0,0,0,9,3,61,23,0,3,0,27,95,0,47,80,85,3,0,56,0,492
145,0,0,266,228,26,167,16,0,0,1,45,49,0,0,0,115,0,0,40,0,953
146,0,0,0,13,15,58,30,36,2,0,9,112,0,0,0,9,3,9,3,0,299
147,0,0,0,487,144,199,268,160,72,15,89,137,0,26,4,67,4,101,375,8,2156
148,0,4,0,564,482,269,86,109,11,0,57,132,0,485,56,71,44,16,152,45,2583
149,0,0,8,75,24,400,40,2,26,73,72,117,0,442,38,138,208,28,56,14,1761
150,0,0,0,352,185,49,239,121,83,9,617,96,0,137,17,16,11,96,99,97,2224
151,0,0,0,3,0,1,4,0,0,5,4,3,0,4,9,15,4,11,22,0,85
152,0,0,0,17,12,0,14,0,18,0,3,9,0,65,121,10,2,6,13,0,290
153,0,0,0,11,0,25,2,0,0,0,0,6,0,3,0,6,0,1,10,0,64
154,0,0,0,32,9,6,50,5,2,25,4,8,0,10,21,85,0,24,32,0,313
155,0,0,0,10,0,0,5,0,5,0,14,1,0,2,38,59,0,16,11,3,164
156,4,0,0,11,0,0,2,0,0,0,3,1,0,0,0,1,0,0,2,0,24
157,0,0,0,2,0,0,9,3,0,3,6,11,0,6,0,34,0,0,3,0,77
158,0,0,0,46,6,12,28,6,10,3,23,71,0,4,146,21,15,3,5,25,424
159,0,0,0,16,4,2,21,1,4,0,5,1,0,10,61,0,2,8,12,0,147
160,0,0,0,20,0,2,17,13,2,0,0,5,0,4,131,33,3,6,2,0,238
161,0,0,0,18,2,0,10,0,0,0,35,14,0,0,64,8,0,26,24,0,201
162,0,0,0,38,10,3,62,96,2,34,9,58,0,24,5,47,0,59,30,1,478
163,0,0,0,12,0,6,11,8,0,2,0,0,0,2,65,0,5,3,19,0,133
164,0,0,0,36,12,6,118,8,2,6,5,44,0,10,44,134,4,142,154,6,731
165,0,0,0,161,54,45,243,90,18,56,33,109,0,55,323,208,18,188,129,3,1733
166,0,0,0,36,4,3,54,3,6,8,11,91,0,9,150,53,14,141,79,26,688
167,0,0,0,34,16,0,31,0,0,2,3,10,0,3,20,58,5,6,92,0,280
168,0,0,0,36,0,3,47,9,19,27,27,43,0,16,33,89,38,73,198,6,664
169,0,0,0,124,28,41,129,2,11,88,147,104,0,46,249,228,16,135,137,70,1555
170,0,0,0,74,47,39,252,9,90,172,262,210,0,104,238,214,34,338,285,25,2393
171,0,0,0,18,5,6,180,0,2,16,62,46,0,5,41,57,0,77,39,0,554
172,0,0,0,32,10,10,163,0,86,41,68,47,0,21,89,56,147,69,67,0,906
173,0,0,8,23,3,1,25,10,14,18,50,43,0,20,0,4,0,1,10,0,230
174,0,0,0,17,1,5,19,0,1,0,8,25,0,3,67,101,8,8,20,0,283
175,0,0,0,47,64,9,188,8,32,65,38,111,0,26,53,150,38,538,174,0,1541
176,0,0,0,9,4,0,157,6,32,32,20,45,0,35,133,69,4,64,38,43,691
177,0,0,0,212,123,52,284,78,60,152,71,116,0,90,61,209,23,327,142,55,2055
178,0,0,0,24,13,3,34,4,3,35,17,25,0,5,92,91,13,54,39,0,452
179,0,0,0,78,25,0,36,6,21,0,0,21,0,11,147,17,2,49,55,1,469
180,0,0,0,20,0,0,73,0,14,2,5,17,0,16,8,28,0,71,48,0,302
181,0,0,0,16,0,0,31,4,3,10,1,24,0,10,88,46,2,53,21,0,309
182,0,0,0,40,20,35,58,3,3,0,5,17,0,5,17,42,5,39,67,0,356
183,0,0,0,30,3,18,156,0,2,8,6,29,0,6,248,133,3,30,39,27,738
184,0,0,0,31,3,32,233,122,3,75,55,46,0,28,57,153,2,184,70,0,1094
185,0,0,0,49,21,29,149,15,16,165,307,123,2,14,304,279,4,323,305,107,2212
186,0,0,0,99,10,6,74,30,14,80,64,82,0,60,71,501,29,211,43,23,1397
187,11,0,0,24,5,9,310,4,6,72,129,47,0,35,278,528,3,101,44,6,1612
188,0,0,0,10,13,3,2233,14,319,90,61,13,0,170,30,120,301,461,150,23,4011
189,0,0,0,27,4,17,12,14,9,8,57,25,0,17,905,32,13,86,19,0,1245
190,0,0,0,6,0,0,4,5,0,0,28,20,0,11,122,114,531,24,36,90,991
191,0,0,0,13,0,6,125,5,0,37,27,26,0,6,71,46,83,298,34,73,850
192,0,0,0,27,37,8,834,35,46,97,127,62,0,5,12,70,14,385,77,0,1836
193,11,0,0,150,3,87,55,204,0,92,317,53,4,32,93,206,100,294,191,749,2641
194,2,0,0,137,0,19,118,19,6,11,34,21,0,34,216,2973,2,17,47,16,3672
195,0,0,0,6,0,8,123,0,4,0,6,9,0,5,223,30,39,0,13,0,466
196,0,0,0,17,5,0,12,0,2,0,4,15,0,9,51,46,4,33,43,0,241
197,0,0,0,0,0,3,11,0,9,14,3,8,0,1,0,35,1,143,8,12,248
198,0,0,0,0,15,12,60,57,3,11,40,0,0,0,85,499,4,15,29,0,830
199,0,0,0,12,19,4,2101,9,164,350,276,52,0,11,14,193,54,932,86,105,4382
200,0,0,0,17,10,54,2567,37,24,17,34,34,0,74,6,21,673,384,902,118,4972
201,2,0,0,174,23,46,149,54,2,57,53,37,0,41,62,73,18,146,181,58,1176
202,0,0,0,48,0,5,89,9,3,4,8,12,0,1,172,85,24,5,8,3,476
203,0,0,0,106,2,60,288,12,500,91,87,90,0,104,39,555,183,171,123,69,2480
204,0,0,0,61,13,21,144,46,49,29,40,39,0,52,63,146,25,154,144,0,1026
205,0,0,0,11,2,3,8,3,0,4,3,1,0,27,64,4,2,4,4,0,140
206,0,0,266,16,8,0,0,9,4,0,10,3,0,1,16,26,1,3,10,0,373
207,0,0,0,13,87,59,135,10,2,1,21,8,0,3,127,52,673,120,39,1,1351
208,0,0,4,410,1424,1320,2655,997,588,44,75,1015,0,905,55,170,64,348,276,295,10645
209,0,0,0,18,2,2,18,11,1,0,1,9,0,13,296,48,0,14,34,28,495
210,0,0,267,65,64,23,128,92,6,11,0,38,0,253,1,46,0,52,64,0,1110
211,0,32,0,162,50,50,308,93,34,245,34,209,43,99,32,175,39,428,222,90,2345
212,11,0,4,1704,3101,5124,2816,4061,331,243,452,4312,9,1069,312,1152,179,2078,1573,494,29025
213,0,0,0,42,3,10,229,15,112,78,33,34,43,75,152,429,59,185,84,19,1602
214,0,0,0,69,1,18,32,9,0,12,15,9,0,24,55,50,11,96,27,132,560
215,0,0,0,376,32,111,259,194,45,97,47,129,0,106,16,108,52,61,39,209,1881
216,0,0,0,9,8,38,343,17,4,3,6,0,0,1,145,1587,1,3,3,1,2169
217,0,0,0,61,0,9,83,1691,0,2,1096,10,0,14,67,199,2,159,14,0,3407
218,0,0,0,13,5,0,30,0,3,259,35,18,0,8,54,329,0,6,2,0,762
219,0,0,0,41,0,2,214,2,0,2,6,1,0,5,43,31,20,81,34,0,482
220,0,0,0,10,2,9,89,20,0,8,18,11,0,26,43,88,1,54,34,0,413
221,0,0,0,30,0,0,27,0,0,4,9,6,0,5,0,1,1,2,4,0,89
222,0,0,0,77,4,2,213,14,16,10,29,23,0,11,42,130,48,173,56,14,862
223,2,0,21,69,24,60,126,21,30,14,54,84,0,118,153,65,11,113,86,50,1101
224,6,0,0,212,18,20,74,20,11,27,39,88,0,58,74,23,75,35,71,116,967
225,0,0,0,90,29,15,201,14,13,34,35,90,0,34,33,111,85,360,96,15,1255
226,6,0,0,57,5,12,238,29,38,35,18,21,0,23,241,56,33,177,77,0,1066
227,0,0,0,26,55,0,5,4,0,10,8,17,0,8,184,15,1,0,16,0,349
228,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,43,50
229,0,0,0,10,3,2,8,15,12,0,10,11,0,0,169,69,4,21,166,5,505
230,0,0,5,26,98,31,429,20,21,54,24,17,0,1,71,188,62,318,64,0,1429
231,0,0,0,11,3,13,1,13,0,8,10,12,0,10,6,62,0,5,2,0,156
232,0,0,0,19,0,6,28,10,3,5,9,16,0,24,73,140,0,91,6,6,436
233,0,0,1,16,0,9,141,0,2,9,52,16,0,14,85,29,1,13,30,0,418
234,0,0,0,62,59,100,3102,268,156,425,125,573,0,94,19,179,27,1393,285,128,6995
235,0,0,6,47,0,2,27,5,11,27,8,15,2,13,105,175,6,25,35,133,642
236,0,0,0,56,2,6,212,12,2,11,55,20,0,13,212,42,57,152,72,0,924
237,0,0,0,40,49,37,291,90,14,99,287,77,0,33,49,179,379,577,229,35,2465
238,1,0,0,63,31,58,144,149,0,4,14,2,0,54,43,88,10,32,239,68,1000
239,0,0,57,49,32,13,262,1644,21,84,18,39,0,337,10,42,55,2079,90,101,4933
240,2,0,107,93,26,115,604,47,136,230,132,156,0,110,102,279,4,1520,219,13,3895
241,0,0,0,41,0,0,18,0,0,0,4,9,0,5,65,106,4,2,232,0,486
242,0,0,0,8,0,6,11,5,0,0,3,0,0,2,57,5,0,0,4,26,127
243,0,0,0,12,1,6,24,0,0,5,5,8,0,3,15,4,3,6,5,0,97
244,0,0,8,233,16,19,231,88,42,49,43,19,0,98,89,188,93,97,60,176,1549
245,0,0,0,19,0,4,10,3,4,0,9,8,0,0,181,10,0,6,0,11,265
246,0,0,0,75,39,130,291,21,24,93,179,165,0,212,292,3343,92,107,317,84,5464
247,0,0,0,27,0,5,9,4,2,9,18,12,0,4,0,30,5,1,201,0,327
248,3,0,129,1136,1560,807,1014,1250,192,544,866,1161,0,1352,116,824,275,2680,579,262,14750
249,12,0,0,309,56,157,550,419,30,179,97,343,38,2004,170,200,123,607,274,54,5622
250,0,0,0,150,15,25,187,27,12,18,41,52,0,104,78,161,10,20,135,5,1040
251,2,0,0,142,227,151,1532,12,188,447,782,408,3,98,65,183,44,785,679,128,5876
252,3,0,27,74,5,10,12,6,0,15,18,19,0,35,443,10,61,9,43,405,1195
253,0,0,0,15,3,0,10,0,4,6,6,13,0,31,56,0,2,6,42,0,194
254,0,1,0,18,12,0,166,3,10,31,4,46,0,26,143,6,2,0,5,0,473
255,3,0,0,107,4,14,75,16,3,14,24,18,0,76,208,38,1,12,78,94,785
256,0,0,0,33,12,15,32,8,105,50,181,112,0,105,64,132,62,18,62,0,991
257,0,0,0,171,140,92,1000,35,544,427,482,717,0,181,550,1267,87,1192,522,35,7442
258,0,0,0,38,35,52,117,0,17,41,75,113,0,6,13,476,12,45,173,3,1216
259,0,0,0,33,10,30,227,11,0,9,35,30,0,57,202,70,6,114,134,5,973
260,0,0,43,282,63,50,319,101,30,34,105,135,0,185,251,102,54,134,160,52,2100
261,0,0,0,119,24,16,39,70,5,17,8,190,0,32,75,37,87,102,135,14,970
262,0,0,0,44,10,0,70,42,3,3,33,2,0,143,55,29,29,67,27,30,587
263,0,0,0,49,28,1,9,0,14,0,12,19,0,12,2,23,0,0,10,0,179
264,1,0,0,34,35,15,128,20,29,35,34,175,0,35,134,249,33,325,85,1,1368
265,0,13,0,54,161,33,2014,25,413,369,199,1112,0,74,3,309,13,587,57,0,5436
266,0,0,0,427,3012,863,2268,34,4383,7189,446,1428,0,388,212,499,294,942,256,538,23179
267,0,0,0,16,1,1,61,5,11,9,37,42,0,2,82,226,21,4,16,0,534
268,0,0,0,219,3,20,24,56,0,10,19,111,0,20,111,34,107,16,11,375,1136
269,0,0,0,17,16,1,30,9,3,13,29,44,0,61,81,38,23,88,33,0,486
270,0,0,0,2,0,4,14,6,5,0,20,2,0,5,5,1,0,0,43,0,107
271,0,0,0,81,4,15,43,34,29,40,20,100,0,70,9,25,4,65,49,8,596
272,0,0,0,8,9,13,140,10,17,38,17,20,0,27,107,59,0,148,69,0,682
273,0,0,0,9,0,19,4,2,2,4,38,5,0,0,0,0,0,5,12,0,100
274,0,0,0,27,73,27,231,20,151,388,134,155,0,67,3,86,12,130,115,5,1624
275,12,0,0,273,486,59,884,74,35,312,113,445,0,67,71,114,39,233,155,28,3400
276,0,0,0,15,0,8,25,4,0,0,12,6,0,5,0,75,0,23,26,0,199
277,0,0,0,31,8,16,212,1,17,33,18,14,0,70,70,77,0,142,96,175,980
278,0,0,0,186,32,63,728,21,45,2802,261,173,0,303,121,204,130,565,228,0,5862
279,0,0,0,141,247,30,1496,345,127,141,97,918,0,172,78,392,15,332,188,2,4721
280,4,0,0,74,108,65,597,54,57,718,708,721,0,116,143,148,39,169,204,42,3967
281,0,0,0,47,25,24,171,28,52,191,34,948,0,159,206,602,17,145,199,419,3267
282,0,0,16,61,186,58,203,489,391,686,86,217,0,131,81,27,177,179,71,632,3691
283,0,0,0,27,2,0,57,6,2,0,8,13,0,11,175,10,1,0,23,0,335
284,0,0,0,379,49,90,2854,103,34,105,158,202,0,129,44,1790,59,534,251,2555,9336
285,3,0,0,11,5,3,18,4,12,3,6,3,0,0,128,25,5,0,20,0,246
286,0,0,0,89,28,43,464,15,35,148,46,87,0,47,139,167,20,332,117,12,1789
287,0,0,0,53,171,16,214,16,77,73,76,86,0,81,398,131,42,267,173,149,2023
288,0,0,0,23,18,6,30,1,12,12,57,11,2,9,535,107,0,81,35,0,939
289,0,0,0,57,19,0,94,3,5,3,4,35,3,5,49,6,2,6,28,0,319
290,0,0,0,14,0,11,16,0,1,8,10,16,0,4,0,3,3,55,19,0,160
291,0,0,0,26,13,271,174,5,38,170,34,65,0,120,404,89,6,75,50,102,1642
292,32,0,0,5,0,0,15,0,283,5,4,15,0,5,84,60,5,0,30,600,1143
293,9,0,8,119,38,83,69,53,17,4,35,89,0,31,82,302,18,140,78,17,1192
294,0,0,0,86,14,26,52,25,0,0,17,56,0,53,75,39,60,688,61,25,1277
295,1,0,107,206,38,548,476,54,18,41,79,87,0,53,85,31,20,193,93,24,2154
296,57,0,19,122,103,581,427,31,61,176,173,266,0,134,201,234,534,1123,167,224,4633
297,159,2,2,73,27,83,204,16,13,20,4,69,0,25,131,313,71,217,59,80,1568
298,6,0,0,64,20,20,131,0,36,91,60,188,2,74,189,252,69,92,194,38,1526
299,16,0,11,71,11,13,34,2,9,19,83,26,0,26,96,31,47,179,59,92,825
300,2,0,0,82,0,15,99,4,15,84,66,72,0,25,0,9,56,18,28,40,615
301,2,0,4,94,13,7,57,36,2,19,21,140,0,33,308,75,32,61,186,6,1096
302,0,0,0,42,15,41,18,0,18,0,12,48,0,19,53,40,7,33,43,6,395
303,1,0,0,60,0,24,18,4,12,0,38,22,0,65,103,264,1,6,4,0,622
