"TAZ","TOTHH","TOTPOP","hh_size_1","hh_size_2","hh_size_3","hh_size_4_plus","hh_wrks_0","hh_wrks_1","hh_wrks_2","hh_wrks_3_plus","hh_kids_no","hh_kids_yes","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","gq_tot_pop","gq_type_univ","gq_type_mil","gq_type_othnon"
915,1422,3631,380,428,320,294,187,534,578,123,981,441,189,240,189,804,225,529,1066,1122,689,5,2,0,4
916,1405,3756,298,535,257,315,178,572,568,87,919,486,180,262,223,740,226,836,893,1125,676,158,150,0,8
917,2194,5746,543,690,326,635,219,859,968,148,1433,761,365,333,381,1115,243,1253,1254,1990,1006,0,0,0,0
918,2198,6302,296,770,410,722,329,942,772,155,1323,875,195,207,344,1452,275,1445,1248,1979,1355,3,0,0,3
919,703,1892,134,259,125,185,88,235,282,98,457,246,55,87,116,445,130,360,461,527,414,0,0,0,0
920,797,2085,146,361,128,162,112,271,350,64,586,211,66,92,182,457,131,249,576,636,493,1,0,0,1
921,1226,2725,463,384,187,192,169,615,415,27,831,395,376,334,166,350,233,468,868,713,443,2,0,0,2
922,1855,3919,767,548,325,215,274,873,590,118,1347,508,506,369,416,564,349,468,1176,1247,679,0,0,0,0
923,2643,8020,703,660,421,859,341,1189,826,287,1659,984,1191,849,426,177,595,1610,3054,1848,913,42,0,0,42
924,1981,6291,489,487,372,633,251,770,696,264,1123,858,1071,588,230,92,373,1302,2507,1583,526,75,74,0,1
925,1838,6858,358,390,253,837,214,652,714,258,963,875,1140,442,206,50,461,1457,2762,1466,712,47,0,0,47
926,1452,4656,357,501,162,432,170,670,434,178,945,507,740,280,259,173,269,992,2186,846,363,44,0,0,44
927,1282,4398,254,142,388,498,107,541,455,179,615,667,780,339,111,52,351,1008,1922,713,404,46,0,0,46
928,1382,4386,291,393,251,447,164,651,387,180,777,605,716,447,151,68,409,952,1972,831,222,0,0,0,0
929,1187,4120,199,266,264,458,152,433,419,183,619,568,593,326,207,61,283,837,1598,976,426,47,0,0,47
930,747,2110,192,214,157,184,129,336,233,49,443,304,260,221,118,148,111,322,515,615,547,37,0,0,37
931,1353,3753,475,422,114,342,234,654,304,161,1022,331,588,520,158,87,197,581,1715,918,342,15,0,0,15
932,1337,4485,249,315,268,505,144,496,474,223,855,482,722,309,198,108,130,945,1936,1096,378,0,0,0,0
933,2034,7680,300,388,443,903,254,881,528,371,1130,904,1132,589,211,102,529,1631,3005,1837,678,34,0,0,34
934,3312,8165,1300,708,680,624,365,1779,881,287,2494,818,1637,1250,335,90,380,1196,3875,1959,755,7,0,0,7
935,1574,4125,457,466,296,355,156,614,569,235,1175,399,616,521,312,125,139,511,1951,1052,472,14,0,0,14
936,1364,3155,524,396,138,306,152,562,586,64,992,372,473,407,264,220,167,502,1510,628,348,0,0,0,0
937,1464,3342,382,667,212,203,175,522,700,67,1117,347,341,233,254,636,282,327,1102,965,666,2,0,0,2
938,1586,4327,275,566,369,376,182,526,720,158,998,588,100,230,250,1006,403,611,1182,1329,802,0,0,0,0
