"DISTRICT","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","HSENROLL","COLLFTE","COLLPTE","gqpop"
18,180845,457333,465535,214784,96275,88871,69207,53287,31957,26394,207226,32181,87939,174388,117784,53243,11588,39230,65517,306,22440,68145,18394.43451,6952.83433,19590.75871,8202
19,73989,161035,174639,89737,36961,38020,27208,20787,13176,12818,127523,7352,24916,79495,44580,18296,8462,33319,51581,66,11251,22844,5144.83227,31078.18398,6077.74794,13604
20,89624,253924,255574,116416,66717,28956,28465,27659,19768,13732,61490,16626,50681,89346,66233,32688,8209,10219,17602,255,11818,13387,9616.00105,1908.54138,5142.84717,1650
21,82688,217383,219644,113956,63830,26800,19723,23642,21107,18216,101115,13521,39445,79423,60137,27118,10276,21607,30067,223,11346,27596,8006.08459,6846.11332,13678.20703,2261
22,57888,134418,137419,68516,41967,21100,11254,13484,13317,19833,72330,5898,22021,37390,42407,29703,7330,23516,25658,98,4955,10773,11069.49313,3489.64441,2161.87909,3001
23,51374,145403,145934,73980,48037,6842,5686,8163,11283,26242,69307,9225,29585,44627,49137,13360,7866,18230,16491,543,4987,21190,6339.19296,0,0,531
24,87034,276289,277811,116252,81388,16670,21976,24600,22911,17547,48106,22210,66113,100354,63674,25460,8734,8841,16070,340,3751,10370,10949.31176,1408.87573,5314.06885,1522
25,51042,141623,143353,71167,36148,16986,13026,15150,12695,10171,42140,9577,29181,45946,40879,17770,4849,6354,13487,150,6096,11204,7501.66692,504.46234,65.50374,1730
26,85691,247170,257151,120713,73232,16430,21441,24774,23062,16414,79806,18409,54290,91171,66311,26970,11454,8630,24274,1766,12290,21392,12311.98785,2640.58887,7433.92969,9981
27,33102,94402,95476,44308,28117,9670,9216,9724,8004,6158,43586,6852,20174,31925,23650,12875,4518,6444,14404,903,8224,9093,5186.12896,1612.94861,4629.54102,1074
28,12995,30807,33184,18246,14611,2946,2906,3510,2942,3637,24233,1776,5788,9129,10039,6452,2012,2281,5799,4079,5715,4347,961.14837,1497.00256,170.32491,2377
29,60929,154839,159622,82826,51713,17733,15114,17668,15672,12475,64562,10019,31242,53649,42304,22408,7843,12192,18409,2222,11028,12868,6429.82526,5100.48145,1607.04431,4783
30,83697,217948,221278,107416,70258,26080,22887,25288,19948,15574,101521,14320,42164,72397,58083,34314,11355,17496,32211,1654,15841,22964,9252.92197,6225.50555,15613.00391,3330
31,29027,73598,74493,34010,34120,6084,8139,8372,6840,5676,28698,4520,14735,22535,21616,11087,3112,3443,7619,2714,5109,6701,3470.40119,0,0,895
32,22548,57170,57800,18837,17638,6583,4807,6013,5412,6316,24618,2837,10849,15560,17280,11274,2964,9532,6256,85,1263,4518,2315.68091,0,0,630
33,41874,101634,104061,45463,31304,14631,9641,10832,9466,11935,52888,4866,17609,29308,31410,20868,5943,12165,17554,425,3511,13290,4417.80115,756.91323,812.64041,2427
34,39467,87532,88375,47277,27822,14254,6634,8378,7814,16641,38432,3881,13050,21924,30941,18579,5262,9183,15468,179,1825,6515,3311.19671,1489.06803,5369.63721,843
