"zone_id","agrempn","fpsempn","herempn","mwtempn","othempn","retempn","totemp"
109,0,2445,1387,984,1695,415,6926
110,30,679,1330,1335,2476,809,6659
111,5,1029,1053,1015,1002,259,4363
112,2,411,445,221,328,84,1491
113,0,300,291,203,296,53,1143
114,2,528,622,320,251,185,1908
115,0,115,5749,51,969,15,6899
116,4,1799,1242,694,2429,390,6558
117,0,137,396,44,130,31,738
118,2,290,226,19,141,42,720
119,0,70,159,26,43,76,374
120,2,149,387,28,174,76,816
121,0,209,241,97,163,116,826
122,0,309,287,33,137,30,796
123,2,311,960,63,307,215,1858
124,0,200,400,55,148,37,840
125,0,110,220,10,96,25,461
126,0,127,63,19,139,313,661
127,0,285,290,37,137,69,818
128,0,273,379,37,185,62,936
129,4,257,186,53,187,31,718
130,0,398,244,45,160,195,1042
131,3,468,200,22,221,26,940
132,0,368,3253,88,227,315,4251
133,0,377,398,37,227,91,1130
134,0,367,540,101,339,212,1559
135,0,124,241,14,86,30,495
136,0,149,621,210,41,2,1023
137,0,139,110,34,146,114,543
138,6,341,759,92,377,143,1718
139,2,356,307,226,184,74,1149
140,2,111,101,79,33,10,336
141,0,71,96,10,68,16,261
142,9,1761,1751,4197,4032,780,12530
143,0,83,302,56,692,51,1184
144,0,4210,130,25,63,7,4435
145,0,4560,1055,911,712,159,7397
146,0,38,21,48,0,0,107
147,0,315,422,713,1217,101,2768
148,5,312,305,550,758,54,1984
149,0,854,268,216,266,22,1626
150,0,365,228,267,825,127,1812
151,0,72,39,13,61,2,187
152,0,138,254,24,92,13,521
153,0,80,98,575,89,6,848
154,0,136,195,106,59,52,548
155,3,74,62,10,24,7,180
156,0,59,70,17,11,9,166
157,0,17,15,7,18,7,64
158,0,19,215,3,11,5,253
159,0,118,98,10,39,12,277
160,0,71,79,12,56,13,231
161,0,104,86,10,68,21,289
162,0,107,148,53,128,79,515
163,0,88,82,8,32,6,216
164,0,188,376,275,122,139,1100
165,0,316,1022,58,752,401,2549
166,2,233,205,37,127,21,625
167,0,175,186,20,114,37,532
168,0,379,316,51,197,50,993
169,5,706,1311,95,469,130,2716
170,2,786,1201,134,380,261,2764
171,3,262,277,34,78,127,781
172,5,403,465,76,175,165,1289
173,0,223,74,27,74,29,427
174,0,295,312,12,137,23,779
175,0,435,1251,102,304,155,2247
176,0,183,488,41,113,355,1180
177,3,759,804,287,376,253,2482
178,2,289,316,87,171,38,903
179,0,222,349,54,169,120,914
180,2,158,306,53,129,61,709
181,0,303,212,29,83,37,664
182,3,196,123,45,167,44,578
183,0,226,452,62,150,119,1009
184,2,524,592,180,294,165,1757
185,0,861,1341,159,465,193,3019
186,7,624,722,126,187,31,1697
187,7,280,870,86,137,239,1619
188,0,224,1699,65,290,1380,3658
189,4,117,243,35,142,17,558
190,0,29,677,15,164,9,894
191,2,192,293,62,118,61,728
192,0,321,490,63,166,605,1645
193,0,491,1029,124,459,62,2165
194,12,249,2166,282,90,154,2953
195,2,171,425,68,197,55,918
196,0,161,165,22,94,20,462
197,0,87,61,48,48,108,352
198,0,351,555,92,58,19,1075
199,0,1398,1291,71,414,1253,4427
200,2,142,1421,163,179,2156,4063
201,0,236,617,169,244,164,1430
202,2,156,367,21,167,20,733
203,2,1043,599,78,366,246,2334
204,0,345,483,123,141,112,1204
205,0,141,175,24,90,13,443
206,0,151,68,37,42,18,316
207,0,101,202,148,145,27,623
208,0,1636,848,3290,1865,496,8135
209,0,298,455,71,113,20,957
210,0,98,146,165,90,73,572
211,0,352,882,115,317,218,1884
212,128,6053,4979,17164,3328,1915,33567
213,7,307,879,108,278,145,1724
214,0,232,322,36,343,23,956
215,0,173,235,186,326,166,1086
216,0,102,1784,13,28,353,2280
217,0,205,374,58,94,30,761
218,0,238,240,35,40,21,574
219,0,147,162,40,69,26,444
220,4,197,240,55,111,110,717
221,0,125,77,56,35,35,328
222,0,219,443,48,185,160,1055
223,0,330,648,167,388,59,1592
224,2,248,213,19,205,29,716
225,0,440,652,28,233,350,1703
226,4,290,619,173,267,247,1600
227,0,242,99,33,207,42,623
228,0,2,2,2,0,0,6
229,2,202,720,74,126,70,1194
230,0,300,827,139,125,369,1760
231,0,229,107,248,67,21,672
232,0,203,266,50,68,29,616
233,0,358,513,241,168,91,1371
234,0,2301,1447,638,825,1794,7005
235,0,162,329,46,427,47,1011
236,0,225,646,80,223,207,1381
237,2,261,1132,78,227,207,1907
238,0,110,365,394,322,53,1244
239,0,232,325,1158,822,21,2558
240,0,605,1756,188,790,473,3812
241,0,224,358,59,147,12,800
242,0,171,135,39,75,24,444
243,0,207,295,22,54,23,601
244,2,279,466,60,251,198,1256
245,5,292,130,61,68,16,572
246,0,927,3562,158,417,273,5337
247,3,248,286,49,116,19,721
248,16,3762,2769,4337,1943,551,13378
249,0,1774,1290,2608,840,361,6873
250,5,277,263,43,421,77,1086
251,37,1973,1649,508,1206,1474,6847
252,12,794,567,158,217,88,1836
253,2,214,82,4,41,16,359
254,9,777,346,92,402,23,1649
255,2,325,310,36,68,41,782
256,0,710,354,147,279,46,1536
257,8,2478,3664,393,924,721,8188
258,0,379,841,74,299,185,1778
259,0,229,516,63,147,138,1093
260,0,223,434,86,220,124,1087
261,5,355,617,209,415,106,1707
262,0,192,228,74,172,66,732
263,0,54,52,82,241,32,461
264,2,670,1545,151,509,126,3003
265,7,2296,659,952,1870,872,6656
266,10,4393,2197,1494,3393,617,12104
267,0,358,479,100,175,32,1144
268,0,196,464,32,173,22,887
269,8,281,291,54,95,115,844
270,0,128,66,13,41,85,333
271,0,213,169,36,85,27,530
272,0,299,334,122,100,111,966
273,75,283,34,50,348,9,799
274,0,1181,388,190,402,139,2300
275,0,731,566,300,401,353,2351
276,0,87,32,40,65,8,232
277,0,243,309,133,163,167,1015
278,2,6154,1946,175,688,840,9805
279,0,1221,405,130,668,444,2868
280,6,2559,990,327,891,351,5124
281,3,1161,1380,101,696,86,3427
282,7,901,814,583,587,70,2962
283,0,162,383,14,65,26,650
284,0,766,748,98,519,2356,4487
285,0,220,247,24,207,10,708
286,0,646,811,104,322,145,2028
287,4,520,1167,189,484,222,2586
288,2,335,1175,42,228,92,1874
289,0,415,125,103,121,34,798
290,0,231,174,43,60,42,550
291,0,1020,1415,597,1059,95,4186
292,2,148,703,21,677,9,1560
293,14,243,621,182,563,46,1669
294,14,316,904,52,305,55,1646
295,53,512,230,138,258,141,1332
296,248,1232,1977,295,944,296,4992
297,168,371,434,181,361,50,1565
298,756,1267,835,202,624,87,3771
299,39,441,437,70,351,150,1488
300,41,650,755,45,442,28,1961
301,2,469,663,125,314,111,1684
302,9,540,324,96,251,36,1256
303,3,263,1927,38,268,57,2556
304,5,429,368,55,160,45,1062
305,2,193,69,17,48,6,335
306,2,352,188,88,69,14,713
307,0,387,390,76,143,32,1028
308,15,235,214,20,89,14,587
309,6,1176,2000,777,746,899,5604
310,8,3584,1822,3818,2794,1210,13236
311,2,5753,2338,12077,8621,248,29039
312,4,500,298,225,267,32,1326
313,6,1473,770,1363,1908,940,6460
314,3,724,596,1446,1097,931,4797
315,0,3329,5401,493,10629,1486,21338
316,0,150,298,37,293,39,817
317,0,323,1253,41,228,79,1924
318,0,266,372,59,175,142,1014
319,2,237,226,32,131,19,647
320,0,268,406,31,183,16,904
321,0,404,328,65,194,222,1213
322,2,762,304,51,119,18,1256
323,0,170,298,85,168,515,1236
324,0,226,535,34,88,260,1143
325,0,187,181,22,106,264,760
326,0,164,301,27,274,183,949
327,11,368,425,24,131,164,1123
328,0,422,538,179,377,102,1618
329,2,484,444,1115,649,133,2827
330,0,572,218,32,70,60,952
331,0,1897,616,3606,5599,99,11817
332,0,1250,720,983,790,85,3828
333,15,268,761,71,107,589,1811
334,0,141,300,31,132,73,677
335,2,1016,961,14,113,38,2144
336,0,370,437,32,159,74,1072
337,0,149,147,29,3064,23,3412
338,0,152,70,13,52,30,317
339,4,394,451,39,355,18,1261
340,48,3465,874,71,2280,135,6873
341,38,1718,2286,278,721,864,5905
342,4,729,1007,107,216,16,2079
343,0,221,451,15,62,21,770
344,4,297,216,27,78,14,636
345,0,503,621,94,136,83,1437
346,4,3492,1123,100,563,90138,95420
347,37,2641,1345,183,241,57,4504
348,0,1982,100,876,255,2,3215
349,4,10992,7028,9905,954,54,28937
350,2,676,2606,10,58,6,3358
351,0,1858,2124,192,957,295,5426
352,0,0,7,0,2,0,9
353,0,22,114,8,66,8,218
354,0,609,2749,43,548,216,4165
355,0,924,34077,220,417,2297,37935
356,54,8735,4284,651,2243,1041,17008
357,8,691,540,48,149,59,1495
358,0,568,496,86,243,25,1418
359,4,658,331,36,126,33,1188
360,6,487,283,27,81,53,937
361,2,978,654,146,278,206,2264
362,2,980,1033,615,754,65,3449
363,0,164,425,16,61,24,690
364,0,182,460,108,58,71,879
365,0,442,328,51,163,144,1128
366,4,788,1357,108,747,186,3190
367,2,671,1004,87,142,85,1991
368,0,731,425,37,146,33,1372
369,28,741,833,108,205,111,2026
370,7,2824,1916,309,1182,605,6843
371,0,957,678,196,277,81,2189
372,0,859,955,186,305,1499,3804
373,0,181,193,14,88,55,531
374,7,1478,1152,1507,1489,721,6354
375,0,129,159,13,89,165,555
376,5,860,261,489,188,101,1904
377,4,670,442,236,524,512,2388
378,5,2668,2424,341,2185,214,7837
379,2,250,420,45,67,73,857
380,0,72,112,31,104,37,356
381,2,693,793,249,734,273,2744
382,0,412,273,11,65,28,789
383,0,243,1409,57,90,150,1949
384,2,520,556,62,79,43,1262
385,2,329,245,47,168,35,826
386,25,248,157,22,61,16,529
387,4,525,425,33,208,185,1380
388,2,1054,1578,114,230,76,3054
389,0,513,1901,72,146,245,2877
390,0,353,438,150,248,334,1523
391,0,447,500,120,178,528,1773
392,0,83,113,46,33,53,328
393,0,238,541,229,120,254,1382
394,2,336,859,99,2589,246,4131
395,0,675,398,2885,1100,148,5206
396,0,858,88,1592,631,233,3402
397,0,5477,94,1512,324,393,7800
398,0,294,483,306,285,84,1452
399,2,3525,99,2038,2348,103,8115
400,0,104,196,23,137,16,476
401,14,4353,1320,3539,3920,602,13748
402,0,280,130,82,1275,2,1769
403,6,2224,955,7972,2010,42,13209
404,0,1435,405,3703,1366,25,6934
405,0,297,638,2039,1519,683,5176
406,2,2069,1012,8027,1000,179,12289
407,13,2851,2456,7910,3091,968,17289
408,12,4462,887,3868,2681,243,12153
409,16,3395,905,8993,738,118,14165
410,0,511,225,8708,3279,11,12734
411,0,0,0,691,7,0,698
412,0,4645,660,21657,1514,285,28761
413,2,801,568,476,260,125,2232
414,0,1461,907,5135,1790,375,9668
415,14,6693,2382,14703,2795,911,27498
416,0,2093,903,1038,840,145,5019
417,2,2660,23,2758,446,4,5893
418,0,692,299,2174,473,105,3743
419,0,108,317,28,127,86,666
420,0,105,112,17,65,4,303
421,2,169,292,131,55,167,816
422,2,494,360,919,287,64,2126
423,2,127,266,39,51,48,533
424,2,381,607,167,151,43,1351
425,0,127,248,19,74,92,560
426,0,314,130,1413,94,248,2199
427,3,2837,841,6509,2470,1171,13831
428,6,3948,1974,2800,1319,440,10487
429,6,1673,931,8570,306,125,11611
430,0,2192,527,7986,1039,151,11895
431,0,2742,204,3637,1512,138,8233
432,24,3693,1030,5009,2251,879,12886
433,0,489,483,114,494,62,1642
434,0,1682,474,1826,385,126,4493
435,2,7769,3999,4975,2063,236,19044
436,3,161,1458,42,87,41,1792
437,0,191,369,46,111,234,951
438,33,178,902,103,113,216,1545
439,0,157,201,67,77,33,535
440,0,381,429,22,71,120,1023
441,0,325,340,31,610,33,1339
442,0,256,341,48,116,87,848
443,2,423,321,18,82,17,863
444,12,275,1106,114,163,235,1905
445,0,299,715,68,199,402,1683
446,0,270,111,93,175,90,739
447,0,289,280,72,147,228,1016
448,5,437,825,29,187,1110,2593
449,2,376,815,82,137,367,1779
450,0,1032,1359,279,508,530,3708
451,17,327,428,104,106,56,1038
452,0,261,997,108,165,38,1569
453,0,327,863,669,153,56,2068
454,0,389,349,13,60,22,833
455,2,1206,392,479,158,43,2280
456,0,353,526,97,225,231,1432
457,0,309,336,34,101,8,788
458,0,234,134,10,74,15,467
459,10,798,647,87,188,89,1819
460,0,828,1113,4986,312,429,7668
461,0,268,1172,24,145,40,1649
462,4,1756,604,143,429,1479,4415
463,0,345,221,37,117,653,1373
464,0,199,162,43,68,22,494
465,0,684,1299,489,805,1054,4331
466,0,481,990,225,159,2238,4093
467,0,1895,1436,411,1126,496,5364
468,6,738,1075,121,428,381,2749
469,0,298,313,79,163,14,867
470,0,323,386,53,136,110,1008
471,2,318,1072,112,120,649,2273
472,0,1035,1072,230,345,124,2806
473,0,428,285,206,178,36,1133
474,0,217,274,32,105,153,781
475,0,484,850,155,455,1306,3250
476,5,645,1341,102,391,398,2882
477,0,288,735,38,224,51,1336
478,0,201,275,104,86,313,979
479,0,593,701,80,237,80,1691
480,0,294,363,15,66,10,748
481,3,293,389,65,107,92,949
482,0,213,189,62,99,19,582
483,0,1049,868,223,387,532,3059
484,2,1089,1360,228,398,305,3382
485,21,1449,1948,2328,770,278,6794
486,7,582,754,187,252,628,2410
487,0,444,670,32,239,70,1455
488,34,618,709,134,205,31,1731
489,6,635,665,127,91,27,1551
490,2,845,935,478,307,332,2899
491,0,210,89,39,48,24,410
492,2,395,194,49,74,26,740
493,3,739,581,207,174,46,1750
494,11,828,716,71,163,238,2027
495,2,801,440,247,166,28,1684
496,3,731,691,96,306,91,1918
497,8,950,1819,228,470,39,3514
498,0,744,723,252,208,51,1978
499,0,570,741,116,249,341,2017
500,0,242,125,15,141,22,545
501,2,195,112,25,41,27,402
502,0,224,327,42,109,86,788
503,6,380,742,47,240,58,1473
504,11,2912,2476,2244,3079,1287,12009
505,0,278,209,139,398,24,1048
506,0,365,1679,137,151,31,2363
507,6,589,445,49,210,86,1385
508,0,984,460,458,612,6,2520
509,0,1046,1103,260,466,158,3033
510,11,518,335,85,116,18,1083
511,6,2036,3271,707,1083,729,7832
512,39,526,212,41,338,61,1217
513,5,331,285,50,80,33,784
514,8,721,571,97,170,271,1838
515,2,357,3984,34,136,23,4536
516,0,360,384,51,96,21,912
517,2,534,1296,68,278,158,2336
518,2,1002,3246,246,329,830,5655
519,4,745,3985,1346,309,116,6505
520,0,458,512,210,436,143,1759
521,2,521,1066,229,431,309,2558
522,13,491,1049,52,376,116,2097
523,4,445,539,108,309,528,1933
524,4,369,175,95,118,30,791
525,2,269,377,42,70,33,793
526,16,501,646,98,208,64,1533
527,2,1113,1048,122,474,756,3515
528,10,585,654,62,221,59,1591
529,8,769,493,344,167,181,1962
530,14,3944,2168,770,1861,919,9676
531,0,1009,672,77,270,340,2368
532,0,190,243,42,84,82,641
533,0,810,2404,365,419,148,4146
534,0,647,1354,19,350,104,2474
535,4,225,1050,173,219,291,1962
536,0,123,163,43,117,258,704
537,7,1196,1258,703,709,414,4287
538,4,751,304,156,795,62,2072
539,2,840,1794,1064,1032,429,5161
540,16,1492,1635,247,631,287,4308
541,2,545,2960,223,275,173,4178
542,21,568,801,132,824,70,2416
543,0,743,1014,3382,839,298,6276
544,0,193,527,47,478,86,1331
545,4,226,850,292,394,75,1841
546,0,1174,735,600,4203,56,6768
547,2,822,354,619,1228,280,3305
548,5,295,745,80,207,123,1455
549,0,901,1487,94,1740,169,4391
550,0,98,564,22,53,29,766
551,0,312,592,288,703,117,2012
552,0,72,63,48,63,21,267
553,0,49,148,21,77,32,327
554,2,303,599,6,242,65,1217
555,0,195,639,132,179,169,1314
556,0,29,543,0,146,24,742
557,2,1389,1948,278,4329,204,8150
558,25,9676,3738,826,3747,328,18340
559,12,235,453,30,106,63,899
560,0,2906,700,144,151,96,3997
561,0,165,223,506,174,3679,4747
562,0,145,136,29,87,65,462
563,98,1561,1897,4948,4335,1130,13969
564,0,297,1530,37,116,234,2214
565,6,362,391,338,539,617,2253
566,2,699,400,152,415,398,2066
567,2,307,504,373,288,145,1619
568,4,226,269,292,202,72,1065
569,0,34,174,18,52,67,345
570,0,89,238,25,57,103,512
571,0,100,189,11,44,18,362
572,0,73,268,6,27,6,380
573,0,130,374,40,103,44,691
574,0,286,590,46,166,73,1161
575,0,159,217,53,102,15,546
576,0,155,167,73,163,27,585
577,0,104,276,16,34,12,442
578,15,180,567,40,137,303,1242
579,0,80,265,262,557,150,1314
580,0,95,120,482,90,57,844
581,0,67,83,2,123,11,286
582,0,1185,926,33,422,285,2851
583,2,508,1385,171,240,1969,4275
584,0,94,473,66,53,15,701
585,0,103,178,7,81,156,525
586,0,145,449,31,247,530,1402
587,0,48,197,10,35,30,320
588,0,88,147,11,57,54,357
589,0,83,158,28,30,18,317
590,0,35,78,11,2,9,135
591,0,319,678,120,211,131,1459
592,0,141,223,48,197,52,661
593,4,548,306,1599,579,156,3192
594,0,138,94,39,59,15,345
595,0,76,2610,29,77,199,2991
596,0,91,25,8,27,15,166
597,0,87,770,339,207,63,1466
598,0,298,310,74,76,64,822
599,0,181,60,47,55,13,356
600,0,174,156,66,62,29,487
601,18,795,453,223,326,82,1897
602,0,962,282,1042,3925,246,6457
603,57,1123,585,853,2046,396,5060
604,0,213,651,4949,210,63,6086
605,2,2500,1687,10520,1724,808,17241
606,0,1074,514,988,358,111,3045
607,2,671,1749,675,1674,2073,6844
608,7,1370,1020,5244,1499,172,9312
609,2,1158,889,293,885,434,3661
610,0,74,5,761,51,11,902
611,4,479,692,91,166,198,1630
612,0,450,366,1347,189,181,2533
613,0,105,364,45,74,83,671
614,0,573,779,96,116,139,1703
615,0,274,354,54,80,9,771
616,0,120,1393,27,53,14,1607
617,0,104,596,45,167,203,1115
618,0,169,95,22,92,26,404
619,0,280,461,124,65,8,938
620,0,256,605,54,155,199,1269
621,0,159,288,18,43,432,940
622,0,209,538,85,70,42,944
623,0,319,134,95,68,24,640
624,0,209,48,18,38,6,319
625,4,298,304,30,63,138,837
626,0,122,315,12,65,11,525
627,0,437,551,60,119,131,1298
628,4,313,315,163,230,38,1063
629,7,367,356,51,145,230,1156
630,0,174,463,38,72,18,765
631,0,130,266,27,45,27,495
632,0,222,611,26,93,475,1427
633,0,239,1027,45,125,75,1511
634,0,93,425,67,86,129,800
635,0,157,215,43,140,129,684
636,0,147,255,37,228,244,911
637,28,458,304,51,196,20,1057
638,0,309,338,25,55,23,750
639,0,131,473,55,46,356,1061
640,0,74,121,11,44,14,264
641,0,70,442,6,38,14,570
642,0,202,68,52,213,34,569
643,0,145,146,28,23,15,357
644,0,271,80,46,42,23,462
645,0,384,311,29,65,22,811
646,0,138,170,21,46,52,427
647,2,280,69,40,402,29,822
648,4,525,300,49,40,46,964
649,0,161,598,51,126,329,1265
650,0,142,184,24,91,56,497
651,2,249,765,51,126,252,1445
652,0,187,269,26,115,38,635
653,0,1262,1130,1149,579,425,4545
654,6,876,504,141,933,56,2516
655,4,1365,1181,220,371,108,3249
656,0,2477,516,5338,488,32,8851
657,7,218,47,38,141,37,488
658,0,179,106,26,68,22,401
659,2,193,477,137,444,75,1328
660,9,2341,2453,5419,1179,975,12376
661,0,605,1684,223,117,100,2729
662,0,167,333,28,149,46,723
663,0,175,340,46,55,16,632
664,12,365,358,451,581,55,1822
665,0,527,680,68,345,395,2015
666,2,333,122,29,32,43,561
667,0,94,127,39,53,85,398
668,0,251,396,32,38,21,738
669,2,227,500,57,189,591,1566
670,0,161,543,46,111,21,882
671,0,157,59,14,131,10,371
672,0,110,148,23,57,15,353
673,0,207,462,55,100,249,1073
674,0,279,351,33,74,135,872
675,0,387,542,158,165,77,1329
676,0,574,1389,104,249,1155,3471
677,2,607,1513,104,131,1245,3602
678,0,137,287,27,77,6,534
679,0,225,358,56,155,321,1115
680,4,393,441,136,214,543,1731
681,9,345,436,35,111,114,1050
682,4,993,536,54,1345,190,3122
683,4,173,176,17,63,116,549
684,8,297,682,47,154,179,1367
685,4,377,522,36,149,94,1182
686,2,406,616,147,188,368,1727
687,0,207,952,38,613,1418,3228
688,10,283,801,155,179,228,1656
689,4,362,153,60,84,125,788
690,0,685,525,68,200,97,1575
691,0,254,209,37,32,13,545
692,0,280,854,98,110,180,1522
693,0,284,425,27,81,89,906
694,4,342,255,18,135,38,792
695,2,818,297,98,167,63,1445
696,155,979,341,46,1050,69,2640
697,79,1738,332,319,165,29,2662
698,65,523,773,117,284,337,2099
699,142,307,368,93,105,92,1107
700,254,1539,2109,5708,1783,1210,12603
701,59,509,470,176,201,345,1760
702,363,1454,1845,177,872,291,5002
703,12,334,141,678,234,24,1423
704,53,340,689,107,163,54,1406
705,29,346,939,131,226,88,1759
706,471,633,1969,1537,697,2783,8090
707,20,594,1762,955,1469,952,5752
708,16,402,709,34,348,60,1569
709,4,328,627,75,315,353,1702
710,2,413,571,34,135,179,1334
711,22,434,192,86,156,42,932
712,224,396,874,187,422,125,2228
713,188,501,154,397,556,94,1890
714,106,84,118,1443,359,2,2112
715,112,8188,1593,5964,4174,488,20519
716,19,1176,895,219,477,86,2872
717,2,237,1064,237,553,187,2280
718,11,1207,780,1595,1796,463,5852
719,0,185,301,38,127,55,706
720,11,148,234,486,398,362,1639
721,0,338,830,163,282,1279,2892
722,0,126,214,97,174,78,689
723,6,722,1224,111,541,240,2844
724,4,1727,1852,83,358,521,4545
725,4,209,171,38,80,71,573
726,6,308,343,73,246,230,1206
727,0,70,344,16,34,2,466
728,68,1138,798,1352,1285,148,4789
729,33,1239,2857,1066,769,1313,7277
730,8,865,1779,1061,1708,2398,7819
731,0,136,58,22,81,13,310
732,0,1229,1485,729,1944,675,6062
733,4,968,1925,225,1181,1113,5416
734,59,866,721,325,481,67,2519
735,60,639,854,144,459,366,2522
736,2,5114,2297,5619,796,3522,17350
737,0,1750,1018,1616,933,450,5767
738,6,241,115,11,67,18,458
739,45,2754,1930,1947,3047,357,10080
740,0,305,754,263,69,165,1556
741,2,197,331,36,92,38,696
742,8,7414,3647,4944,2780,1904,20697
743,0,2992,1331,948,1386,362,7019
744,11,290,2360,101,736,109,3607
745,0,181,235,24,126,33,599
746,141,1045,772,224,500,197,2879
747,9,337,170,163,77,12,768
748,0,205,79,40,57,27,408
749,2,380,587,251,160,153,1533
750,0,1634,1008,6456,633,106,9837
751,2,3408,2785,14926,7272,2395,30788
752,31,4402,1723,11283,1819,1085,20343
753,3,383,188,68,62,22,726
754,2,725,1172,157,160,34,2250
755,2,854,530,78,229,136,1829
756,8,823,740,824,954,361,3710
757,0,58,86,13,18,42,217
758,0,209,414,78,55,26,782
759,2,230,760,182,144,110,1428
760,0,126,179,57,162,111,635
761,0,1076,1070,288,335,281,3050
762,0,146,268,35,95,20,564
763,0,510,671,95,114,44,1434
764,0,242,1059,96,278,426,2101
765,0,313,826,26,87,353,1605
766,0,125,176,587,103,124,1115
767,0,1860,2120,2947,529,2473,9929
768,21,1577,845,3511,729,520,7203
769,0,855,709,1454,353,96,3467
770,2,472,903,743,194,201,2515
771,10,249,561,66,138,256,1280
772,0,86,155,43,81,36,401
773,0,505,707,319,510,459,2500
774,0,1073,1076,214,367,244,2974
775,9,295,325,129,175,47,980
776,2,487,1019,43,205,18,1774
777,7,2750,2779,133,3467,1048,10184
778,11,2503,3535,436,2616,182,9283
779,2,328,244,49,47,30,700
780,2,549,608,106,126,91,1482
781,2,248,261,59,102,32,704
782,0,251,381,80,191,70,973
783,0,96,26,55,46,3,226
784,2,175,466,73,118,480,1314
785,0,154,229,33,49,124,589
786,0,140,110,25,63,32,370
787,0,176,276,75,128,57,712
788,0,268,180,30,81,27,586
789,18,148,113,49,61,34,423
790,0,197,336,132,54,31,750
791,2,139,235,35,31,31,473
792,0,75,52,26,24,6,183
793,0,224,292,152,56,73,797
794,0,179,84,43,327,22,655
795,0,272,503,813,238,61,1887
796,25,593,2141,2342,312,1208,6621
797,4,700,962,4004,511,562,6743
798,0,102,340,77,56,11,586
