TAZ1454,TOTEMP,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN
249,4985,275,1549,1098,1,1408,654
250,692,106,52,368,0,22,144
251,4667,1001,1018,1467,0,113,1068
252,1587,2,419,808,22,92,244
253,155,10,59,56,0,3,27
254,625,0,146,419,5,10,45
255,459,29,152,247,0,10,21
256,1714,11,774,826,0,11,92
257,7439,565,2329,3533,0,252,760
258,1015,11,194,682,0,30,98
259,1563,117,110,1041,0,180,115
260,1541,162,484,530,0,190,175
261,526,19,54,350,0,35,68
262,738,71,144,340,0,20,163
263,306,2,7,166,0,76,55
264,1020,92,455,337,0,82,54
265,8722,741,4531,682,0,396,2372
266,18536,670,10920,2124,0,2500,2322
267,550,2,62,396,0,13,77
268,458,3,22,375,0,44,14
269,568,70,157,302,0,22,17
270,113,8,36,51,0,6,12
271,930,54,123,214,0,533,6
272,165,13,33,104,0,8,7
273,103,0,38,47,0,5,13
274,1832,70,1525,179,0,24,34
275,1829,223,770,384,0,120,332
276,337,24,50,178,0,63,22
277,674,24,78,462,0,42,68
278,6732,678,2278,918,2,91,2765
279,7492,930,2651,1139,0,327,2445
280,2817,340,1240,908,0,134,195
281,2606,193,623,1252,0,122,416
282,4320,19,3580,456,11,139,115
283,358,36,9,282,0,16,15
284,3923,1282,532,1986,0,37,86
285,582,16,15,477,0,3,71
286,1582,229,293,836,0,140,84
287,1123,33,272,598,0,13,207
288,1257,97,108,977,0,30,45
289,439,52,98,250,0,24,15
290,132,0,29,38,0,18,47
291,1676,117,244,894,0,372,49
292,294,22,51,192,0,0,29
293,642,40,106,214,25,161,96
294,1197,114,123,705,10,82,163
295,1251,286,99,487,89,169,121
296,4226,333,1015,2195,226,170,287
297,1202,50,119,406,482,54,91
298,1887,90,434,1134,112,82,35
299,1318,156,260,629,19,8,246
300,1201,2,291,789,0,74,45
301,816,70,164,376,0,8,198
302,350,6,184,81,1,22,56
303,622,5,101,452,0,3,61
304,1102,0,73,947,9,22,51
305,125,0,22,94,0,0,9
306,224,1,83,103,0,8,29
307,611,8,174,333,0,66,30
308,446,0,61,195,5,99,86
309,4580,468,1625,2117,0,144,226
310,12210,1306,4583,1879,102,2117,2223
311,15975,117,5915,2525,0,2540,4878
312,686,2,156,149,0,155,224
313,8965,513,3166,1970,13,870,2433
314,6505,254,1008,3503,0,1046,694
315,17835,1058,4153,5311,3,446,6864
316,319,40,112,91,0,11,65
317,1798,156,209,1202,0,153,78
318,504,9,114,290,0,2,89
319,328,12,70,184,0,1,61
320,614,3,120,397,0,12,82
321,849,134,243,382,0,25,65
322,693,39,293,316,6,21,18
323,1437,445,147,438,0,340,67
324,692,181,95,395,0,0,21
325,510,216,93,123,0,2,76
326,1488,575,200,392,0,103,218
327,860,175,145,427,0,84,29
328,608,39,289,184,0,38,58
329,3208,157,1125,804,2,429,691
330,597,31,122,233,0,18,193
331,40652,117,3583,801,15,2637,33499
332,6750,7,3406,1955,30,572,780
333,1513,535,105,781,0,18,74
334,862,74,214,411,0,29,134
335,2277,341,1665,235,6,24,6
336,620,173,228,164,0,46,9
337,1395,1,44,1173,0,9,168
338,123,2,53,50,0,0,18
339,785,0,49,674,0,0,62
340,5661,31,1983,886,1,249,2511
341,5348,782,1622,2578,0,29,337
342,1630,4,159,1413,5,29,20
343,624,2,131,479,0,0,12
344,271,3,65,148,0,31,24
345,906,38,487,354,0,7,20
346,7771,139,5601,849,9,765,408
347,2368,22,368,1591,136,173,78
348,10631,0,4094,192,0,360,5985
349,14494,9,6491,4291,0,2928,775
350,1523,138,881,118,0,377,9
351,6160,183,2776,2650,2,82,467
352,183,0,13,74,1,0,95
353,253,52,57,111,0,14,19
354,18045,49,686,17308,0,1,1
355,25946,1808,544,23487,3,37,67
356,25454,795,8867,4556,0,487,10749
357,790,6,225,410,0,32,117
358,1086,14,555,307,0,61,149
359,663,20,257,286,0,34,66
360,594,22,309,230,1,11,21
361,943,132,231,419,0,45,116
362,3401,52,656,785,0,1866,42
363,593,44,47,482,0,1,19
364,346,70,25,249,0,2,0
365,1123,68,252,315,0,302,186
366,5474,149,1500,1044,0,2065,716
367,4562,108,3349,877,0,101,127
368,650,3,236,364,2,18,27
369,1024,7,264,687,0,16,50
370,3573,311,1594,1176,1,89,402
371,2283,251,583,1312,1,20,116
372,3034,873,434,1325,0,112,290
373,3811,216,2501,479,0,18,597
374,4625,669,1413,860,0,767,916
375,454,2,128,314,0,0,10
376,3388,121,1586,557,17,671,436
377,3467,27,960,201,0,278,2001
378,8698,131,5050,2286,0,70,1161
379,563,16,65,430,8,6,38
380,322,45,30,164,0,10,73
381,1460,225,254,551,0,140,290
382,374,17,93,254,0,9,1
383,4419,98,237,3835,0,49,200
384,822,36,214,548,5,7,12
385,271,2,206,50,0,0,13
386,182,0,85,66,0,19,12
387,739,175,73,345,0,59,87
388,2029,23,272,1511,0,46,177
389,1736,344,207,1063,0,63,59
390,692,29,181,221,0,227,34
391,2699,468,184,1900,0,11,136
392,464,43,92,312,0,5,12
393,933,61,42,395,0,365,70
394,1132,29,152,717,2,24,208
395,12240,19,5984,793,0,899,4545
396,3383,3,1306,361,0,805,908
397,3004,68,1666,131,0,490,649
398,1894,292,769,241,0,235,357
399,9742,173,5889,189,0,745,2746
400,413,7,117,254,0,7,28
401,41683,271,6313,4337,4,4230,26528
402,7337,0,1519,188,0,4365,1265
403,36544,5,8402,566,1,7446,20124
404,5707,10,1012,433,0,1804,2448
405,4519,687,1399,830,0,1394,209
406,13622,167,3973,968,26,7094,1394
407,13034,689,2745,1594,0,5180,2826
408,17101,175,12347,532,0,2895,1152
409,17004,67,7924,1620,0,6767,626
410,13602,14,4347,328,0,8482,431
411,663,0,0,0,0,663,0
412,14526,184,4324,1135,1,8699,183
413,2344,183,138,486,0,1505,32
414,10034,306,1979,1084,0,4328,2337
415,19115,264,9346,4629,1,3529,1346
416,4681,29,3181,431,0,439,601
417,4925,13,1018,69,0,3446,379
418,3614,94,842,274,0,2092,312
419,297,9,63,198,0,16,11
420,254,23,12,209,0,2,8
421,633,29,326,167,0,75,36
422,1997,12,678,219,0,197,891
423,370,74,48,209,1,32,6
424,748,55,139,491,0,39,24
425,754,65,129,214,0,4,342
426,1526,224,81,151,0,1045,25
427,15564,377,10032,1141,0,3122,892
428,10594,600,5766,1377,0,2009,842
429,14327,19,3236,618,0,6890,3564
430,21024,245,9133,983,0,9400,1263
431,4155,118,1085,344,0,1640,968
432,11697,492,4079,739,0,3977,2410
433,2642,61,510,639,0,386,1046
434,5466,683,512,1176,0,2294,801
435,19040,251,10873,2569,0,2680,2667
436,2046,321,582,1044,0,69,30
437,446,155,38,232,0,8,13
438,564,55,53,428,0,10,18
439,1057,258,89,638,32,17,23
440,890,35,87,715,0,12,41
441,1072,138,282,615,0,1,36
442,458,47,32,356,0,7,16
443,277,18,29,163,0,2,65
444,1165,56,182,676,0,147,104
445,675,102,82,452,0,23,16
446,351,82,71,155,0,37,6
447,535,84,120,316,0,5,10
448,1892,429,600,827,0,13,23
449,1575,327,134,1073,0,13,28
450,5184,490,2759,1263,0,367,305
451,1497,304,109,1025,2,7,50
452,1362,162,32,1140,0,18,10
453,1387,314,236,801,0,9,27
454,1169,8,76,965,0,60,60
455,772,131,80,533,0,12,16
456,599,16,197,308,0,59,19
457,246,0,94,132,0,4,16
458,310,11,77,202,0,13,7
459,1049,147,128,702,0,13,59
460,45514,141,309,5873,4,39066,121
461,501,7,238,205,0,9,42
462,1378,357,185,784,0,8,44
463,343,24,164,97,0,15,43
464,343,6,89,223,0,17,8
465,2328,780,271,1171,0,71,35
466,5052,3529,167,1265,0,61,30
467,8301,726,3610,2428,0,103,1434
468,1107,131,187,707,0,6,76
469,1184,88,405,621,2,22,46
470,996,77,109,558,0,180,72
471,1728,493,132,993,2,67,41
472,1554,16,557,730,0,113,138
473,704,51,93,495,0,54,11
474,254,9,25,185,0,2,33
475,1917,799,167,786,0,113,52
476,2298,343,330,1553,0,13,59
477,1048,83,48,790,2,8,117
