ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,AGREMPN,MWTEMPN,OTHEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TERMINAL,TOPOLOGY,ZERO,hhlds,gqpop
45,2,2,1,2239,4238,4253,2834,211,2248,189,243,477,1348,93.0,40.19746902163873,25.712589724251696,0.13817330210772832,3875,343,328,2177,812,487,273,1027,2038,10,209,318,0.0,174.62898175922703,1,0,0,0,5.10133,1,0,2239,15
46,2,2,1,3790,6158,6286,4493,242,3995,472,619,686,2011,102.0,42.1902196521179,11.078501739227,0.17822095599873378,1606,125,439,3557,1138,883,37,722,640,3,86,118,0.0,24.30112043898629,1,0,0,0,4.48436,1,0,3790,128
47,2,2,1,1756,2768,2789,1973,127,1677,243,363,345,802,56.0,24.434972641931072,13.9711565423562,0.18275739223370147,3480,59,233,1507,453,463,116,688,2288,4,94,290,0.0,115.28903650123728,2,0,0,0,5.56798,1,0,1756,21
48,2,2,1,2128,3471,3484,2438,309,1807,395,187,514,1012,88.0,40.0,6.724374664729,0.21653543307086615,1167,123,194,1760,900,720,129,312,548,2,91,85,0.0,0.0,2,613,0,0,3.27094,1,0,2128,13
49,2,2,1,2288,3341,3360,2170,711,1698,402,463,297,1116,135.0,76.0,6.398382591275801,0.315713875323183,1110,70,288,1101,1035,886,9,192,850,3,20,36,0.0,0.0,2,469,0,0,2.43057,1,0,2288,19
50,2,2,1,2206,4055,4099,2830,540,1693,339,347,260,1253,121.0,59.98337140696496,18.83091521420831,0.17499434772778658,2523,257,507,1952,938,659,367,501,1404,2,98,151,0.0,76.29421533170114,2,0,0,0,3.39752,1,0,2206,44
51,2,2,1,2038,3880,3880,2500,430,1753,218,251,342,1234,107.0,46.0,15.503199889181602,0.18003476533399554,672,483,266,1850,1020,301,21,116,366,1,56,112,0.0,0.0,2,0,0,0,2.25211,3,0,2038,0
52,2,2,1,1370,3950,3950,2114,412,894,93,195,282,803,1491.0,57.0,280.0,0.05357600615226865,5938,442,742,1823,607,163,280,1796,1975,3,342,1542,0.0,0.0,3,472,0,0,1.71975,1,0,1370,0
53,2,2,1,46,56,288,40,3,36,9,12,18,8,1097.0,5.0,13.154940315411976,0.0,1278,0,0,48,8,0,11,59,1192,0,8,8,0.0,0.0,3,0,0,0,7.99437,2,0,46,232
54,2,2,1,2849,6110,6211,3228,1353,1372,626,681,605,951,257.0,105.0,6.071877330326799,0.2971206225680934,1243,228,760,2112,1529,1606,193,223,637,2,92,96,0.0,0.0,3,0,0,0,2.30144,1,0,2849,101
55,2,2,1,1499,3058,3058,1626,646,841,278,426,348,462,97.0,58.0,1.0682231500437998,0.2784450063211125,397,78,264,1062,932,735,31,65,264,1,13,23,0.0,0.0,3,0,0,0,2.14902,1,0,1499,0
56,2,2,1,41,71,71,49,22,14,4,13,9,15,250.0,2.0,157.0,0.49137931034482757,3009,2,3,30,82,106,24,146,2820,0,8,11,0.0,0.0,3,0,0,0,1.63626,1,0,41,0
57,2,2,1,991,2422,2422,1270,707,194,74,146,139,627,137.0,80.16270309936182,3.3042327434289023,0.2800485633346823,462,115,447,528,666,619,10,142,260,1,24,25,0.0,0.0,3,0,0,0,1.47141,1,0,991,0
58,2,2,1,2759,5092,5152,3072,586,1960,903,626,626,610,104.0,54.438332725994286,13.629790089792296,0.29119594857810677,1075,92,602,1682,1420,1169,63,216,641,2,52,101,0.0,51.42795255692448,3,4,0,0,2.94951,1,0,2759,60
59,2,2,1,3214,7818,7840,4334,1196,1857,625,703,586,1299,200.0,110.11585235788677,24.484875788170008,0.26306236224555946,1338,243,1050,2436,2134,1614,32,389,738,4,48,127,0.0,16.954270073711363,3,2068,0,0,2.44767,1,0,3214,22
60,2,2,1,1591,3158,3164,1774,619,937,400,413,354,415,87.0,55.0,2.46194487886,0.3129186602870813,679,95,308,896,922,816,17,67,552,1,17,25,0.0,0.0,2,0,0,0,2.3279,1,0,1591,6
61,2,2,1,2059,4750,4750,2688,687,1213,522,449,375,709,90.0,54.0,6.3970276212754005,0.2193056731583404,1072,273,565,1819,1154,772,55,296,633,1,28,59,0.0,61.60051460115129,2,0,0,0,2.59544,1,0,2059,0
62,2,2,1,3192,7284,7298,4110,736,2439,591,718,721,1145,158.0,80.35279450467188,17.4451335006193,0.1721898197242842,1741,308,1046,2992,1853,1106,100,337,1111,2,70,121,100.03019343489704,86.46677737592796,2,0,0,0,2.87229,2,0,3192,14
63,2,2,1,2276,5220,5239,3186,805,1482,356,276,649,997,129.0,71.0,7.327210688064,0.23224794036877205,783,351,503,1678,1396,1009,39,200,430,1,32,81,0.0,33.90854014742273,2,0,0,0,2.52473,1,0,2276,19
64,2,2,1,2870,6447,6462,3733,751,1919,696,456,562,1167,146.0,80.0,8.687044904917101,0.22079347655637446,1004,641,604,2241,1564,1126,139,180,555,2,57,71,0.0,36.734251826374624,2,0,0,0,4.09685,2,0,2870,15
65,2,2,1,2272,4580,4656,2957,425,1902,392,419,304,1149,136.0,56.0,19.566059939411293,0.20745920745920746,1930,168,632,1710,1211,851,186,493,1030,7,74,140,0.0,73.46850365274925,2,15,0,0,3.6323,2,0,2272,76
66,2,2,1,1788,4312,4312,2677,426,1339,385,243,458,685,105.0,49.256747553733454,19.6081202318339,0.18887601390498263,1871,119,541,1765,1072,653,272,320,1041,32,71,135,0.0,72.90336131695886,2,0,0,0,3.98394,2,0,1788,0
67,2,2,1,1941,4731,4845,3225,423,1524,268,266,334,1069,96.0,53.0,8.9476997839639,0.12221514958625079,927,206,536,2307,1027,502,81,72,694,1,28,51,0.0,39.55996350532652,2,0,0,0,3.90026,2,0,1941,114
68,2,2,1,1432,2920,2957,1690,314,1172,452,378,261,355,72.0,35.68593460754673,4.305517039303799,0.2854251012145749,986,26,194,1276,653,726,57,227,600,1,22,79,0.0,32.21311314005159,3,0,0,0,3.23857,1,0,1432,37
