facility_name,fac_index,tollclass,tollseg,tolltype,use,tollea_da,tollam_da,tollmd_da,tollpm_da,tollev_da,tollea_s2,tollam_s2,tollmd_s2,tollpm_s2,tollev_s2,tollea_s3,tollam_s3,tollmd_s3,tollpm_s3,tollev_s3,tollea_vsm,tollam_vsm,tollmd_vsm,tollpm_vsm,tollev_vsm,tollea_sml,tollam_sml,tollmd_sml,tollpm_sml,tollev_sml,tollea_med,tollam_med,tollmd_med,tollpm_med,tollev_med,tollea_lrg,tollam_lrg,tollmd_lrg,tollpm_lrg,tollev_lrg,toll_flat
I-880 - 2420 Fremont NB - NB,2420004,2420,0,expr_lane,4,0,0.13,0.15,0.65,0,0,0.07,0.08,0.33,0,0,0,0,0,0,0,0.13,0.15,0.65,0,0,0.13,0.15,0.65,0,0,0.13,0.15,0.65,0,0,0.13,0.15,0.65,0,0
I-680 - 2120 Walnut Creek SB - SB,2120004,2120,0,expr_lane,4,0,0.60,0.15,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.60,0.15,0.14,0,0,0.60,0.15,0.14,0,0,0.60,0.15,0.14,0,0,0.60,0.15,0.14,0,0
I-680 - 2130 San Ramon SB - SB,2130004,2130,0,expr_lane,4,0,0.40,0.14,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.40,0.14,0.21,0,0,0.40,0.14,0.21,0,0,0.40,0.14,0.21,0,0,0.40,0.14,0.21,0,0
I-680 - 2230 San Ramon NB - NB,2230004,2230,0,expr_lane,4,0,0.15,0.13,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.13,0.43,0,0,0.15,0.13,0.43,0,0,0.15,0.13,0.43,0,0,0.15,0.13,0.43,0,0
I-580 - I-680 Interchange to Greenville - EB,587004,587,0,expr_lane,4,0,0.28,0.19,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.19,0.17,0,0,0.28,0.19,0.17,0,0,0.28,0.19,0.17,0,0,0.28,0.19,0.17,0,0
I-580 - I-680 Interchange to Greenville - WB,588004,588,0,expr_lane,4,0,0.17,0.21,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.21,0.45,0,0,0.17,0.21,0.45,0,0,0.17,0.21,0.45,0,0,0.17,0.21,0.45,0,0
US101 SCL - SR237 to SM County Line - NB,115004,115,0,expr_lane,4,0,0.41,0.21,0.49,0,0,0.205,0.105,0.245,0,0,0,0,0,0,0,0.41,0.21,0.49,0,0,0.41,0.21,0.49,0,0,0.41,0.21,0.49,0,0,0.41,0.21,0.49,0,0
US101 SCL - SR237 to SM County Line - SB,116004,116,0,expr_lane,4,0,0.9,0.26,0.5,0,0,0.45,0.13,0.25,0,0,0,0,0,0,0,0.9,0.26,0.5,0,0,0.9,0.26,0.5,0,0,0.9,0.26,0.5,0,0,0.9,0.26,0.5,0,0
SR85 - SR87 to US101 Interchange - EB,855004,855,0,expr_lane,4,0,0.9,0.26,0.5,0,0,0.45,0.13,0.25,0,0,0,0,0,0,0,0.9,0.26,0.5,0,0,0.9,0.26,0.5,0,0,0.9,0.26,0.5,0,0,0.9,0.26,0.5,0,0
SR85 - SR87 to US101 Interchange - WB,856004,856,0,expr_lane,4,0,0.41,0.21,0.49,0,0,0.205,0.105,0.245,0,0,0,0,0,0,0,0.41,0.21,0.49,0,0,0.41,0.21,0.49,0,0,0.41,0.21,0.49,0,0,0.41,0.21,0.49,0,0
