"","a","b","tollclass","project","facility_name","s2toll_mandatory","THRESHOLD_SPEED","MAX_TOLL","MIN_TOLL","Grouping major","Grouping minor"
"4431",8986,8984,990081,"NextGenFwy","I-80 ALA - SFOBB Toll Plaza to University Ave (Berkeley)  (Per Mile Tolling) - EB",NA,45,5,0.001,"EastBay_Inner_PM","EastBay_InnerBBApproach80580880_PM"
"4432",8987,20021,990082,"NextGenFwy","I-80 ALA - SFOBB Toll Plaza to University Ave (Berkeley)  (Per Mile Tolling) - WB",NA,45,5,0.001,"EastBay_Inner_AM","EastBay_InnerBBApproach80580880_AM"
"4433",8988,8986,990081,"NextGenFwy","I-80 ALA - SFOBB Toll Plaza to University Ave (Berkeley)  (Per Mile Tolling) - EB",NA,45,5,0.001,"EastBay_Inner_PM","EastBay_InnerBBApproach80580880_PM"
"4434",8990,8988,990081,"NextGenFwy","I-80 ALA - SFOBB Toll Plaza to University Ave (Berkeley)  (Per Mile Tolling) - EB",NA,45,5,0.001,"EastBay_Inner_PM","EastBay_InnerBBApproach80580880_PM"
"4435",8991,8993,990082,"NextGenFwy","I-80 ALA - SFOBB Toll Plaza to University Ave (Berkeley)  (Per Mile Tolling) - WB",NA,45,5,0.001,"EastBay_Inner_AM","EastBay_InnerBBApproach80580880_AM"
"4436",8992,8990,990081,"NextGenFwy","I-80 ALA - SFOBB Toll Plaza to University Ave (Berkeley)  (Per Mile Tolling) - EB",NA,45,5,0.001,"EastBay_Inner_PM","EastBay_InnerBBApproach80580880_PM"
"4437",8993,9863,990082,"NextGenFwy","I-80 ALA - SFOBB Toll Plaza to University Ave (Berkeley)  (Per Mile Tolling) - WB",NA,45,5,0.001,"EastBay_Inner_AM","EastBay_InnerBBApproach80580880_AM"
"4438",8994,8992,990081,"NextGenFwy","I-80 ALA - SFOBB Toll Plaza to University Ave (Berkeley)  (Per Mile Tolling) - EB",NA,45,5,0.001,"EastBay_Inner_PM","EastBay_InnerBBApproach80580880_PM"
"4439",8995,8994,990081,"NextGenFwy","I-80 ALA - SFOBB Toll Plaza to University Ave (Berkeley)  (Per Mile Tolling) - EB",NA,45,5,0.001,"EastBay_Inner_PM","EastBay_InnerBBApproach80580880_PM"
"4440",8996,9039,990884,"NextGenFwy","I-880 ALA - Dumbarton Bridge to SM Bridge  (Per Mile Tolling) - SB",NA,45,5,0.001,"EastBay_Outer_AM","EastBay_880680_AM"
"4441",8997,8931,990086,"NextGenFwy","I-80 CC - Cutting Blvd (Richmond) to Carquinez Bridge Toll Plaza  (Per Mile Tolling) - WB",NA,45,5,0.001,"EastBay_Outer_AM","EastBay_Outer80_AM"
"4442",8998,20240,990883,"NextGenFwy","I-880 ALA - Dumbarton Bridge to SM Bridge  (Per Mile Tolling) - NB",NA,45,5,0.001,"EastBay_Outer_PM","EastBay_880680_PM"
"4443",9038,9044,990232,"NextGenFwy","SR237 - US101 Interchange to I-880 Interchange  (Per Mile Tolling) - WB",NA,45,5,0.001,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4444",9039,9125,990884,"NextGenFwy","I-880 ALA - Dumbarton Bridge to SM Bridge  (Per Mile Tolling) - SB",NA,45,5,0.001,"EastBay_Outer_AM","EastBay_880680_AM"
"4445",9041,8998,990883,"NextGenFwy","I-880 ALA - Dumbarton Bridge to SM Bridge  (Per Mile Tolling) - NB",NA,45,5,0.001,"EastBay_Outer_PM","EastBay_880680_PM"
"4446",9042,20197,990231,"NextGenFwy","SR237 - US101 Interchange to I-880 Interchange  (Per Mile Tolling) - EB",NA,45,5,0.001,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4447",9043,9042,990231,"NextGenFwy","SR237 - US101 Interchange to I-880 Interchange  (Per Mile Tolling) - EB",NA,45,5,0.001,"SouthBay_Inner_PM","SouthBay_Inner_PM"
"4448",9044,20198,990232,"NextGenFwy","SR237 - US101 Interchange to I-880 Interchange  (Per Mile Tolling) - WB",NA,45,5,0.001,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4449",9046,20196,990888,"NextGenFwy","I-880 SCL - SR237 to SR262 Mission Blvd  (Per Mile Tolling) - SB",NA,45,5,0.001,"SouthBay_Inner_AM","SouthBay_Inner_AM"
"4450",9047,9043,990231,"NextGenFwy","SR237 - US101 Interchange to I-880 Interchange  (Per Mile Tolling) - EB",NA,45,5,0.001,"SouthBay_Inner_PM","SouthBay_Inner_PM"
