Corridor,Category,Short Name,Model Run ID,Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID",Ab Vol,"Difference in Ab Vol from the 'Pathway 4','Pathway 4 - No New Pricing (more VZ, less trn)','2035_TM152_NGF_NP10_Path4_02' along Category, Short Name, Model Run ID"
EastBay_InnerBBApproach80580880,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,7902.00,7902.00,18541.80,5925.79,,0.00,88712.59,-13710.44,,0.00,115156.39,117.35
EastBay_InnerBBApproach80580880,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,,0.00,13862.02,1246.01,,0.00,105081.88,2658.85,,0.00,118943.90,3904.86
EastBay_InnerBBApproach80580880,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,8700.00,8700.00,19617.22,7001.21,,0.00,86623.38,-15799.65,,0.00,114940.60,-98.44
EastBay_InnerBBApproach80580880,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,8576.00,8576.00,19801.72,7185.71,,0.00,86000.85,-16422.18,,0.00,114378.57,-660.47
EastBay_InnerBBApproach80580880,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,,0.00,14646.01,2030.00,,0.00,104592.32,2169.29,,0.00,119238.33,4199.29
EastBay_InnerBBApproach80580880,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,,0.00,14673.98,2057.97,,0.00,104521.11,2098.08,,0.00,119195.09,4156.05
EastBay_InnerBBApproach80580880,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,8764.00,8764.00,18697.05,6081.04,,0.00,86731.79,-15691.24,,0.00,114192.84,-846.20
EastBay_InnerBBApproach80580880,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,,0.00,13416.01,800.00,,0.00,103219.69,796.66,,0.00,116635.70,1596.66
EastBay_InnerBBApproach80580880,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,,0.00,12616.01,0.00,,0.00,102423.03,0.00,,0.00,115039.04,0.00
EastBay_Outer80,No Project,NoProject v10,2035_TM152_NGF_NP10,3212.00,18.00,2440.00,-670.00,,0.00,16684.73,-435.39,,0.00,22336.73,-1087.39
EastBay_Outer80,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,3770.00,576.00,1926.00,-1184.00,,0.00,16282.17,-837.95,,0.00,21978.17,-1445.95
EastBay_Outer80,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,3150.00,-44.00,3898.38,788.38,,0.00,15838.79,-1281.33,,0.00,22887.17,-536.95
EastBay_Outer80,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,3352.00,158.00,3664.00,554.00,,0.00,18168.33,1048.21,,0.00,25184.33,1760.21
EastBay_Outer80,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,3349.08,155.08,4108.38,998.38,,0.00,15557.01,-1563.11,,0.00,23014.47,-409.65
EastBay_Outer80,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,3332.00,138.00,4204.38,1094.38,,0.00,15451.00,-1669.12,,0.00,22987.38,-436.74
EastBay_Outer80,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,3304.00,110.00,4000.00,890.00,,0.00,18032.11,911.99,,0.00,25336.11,1911.99
EastBay_Outer80,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,3337.04,143.04,3938.00,828.00,,0.00,18088.10,967.98,,0.00,25363.14,1939.02
EastBay_Outer80,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,3790.00,596.00,3526.00,416.00,,0.00,14867.91,-2252.21,,0.00,22183.91,-1240.21
EastBay_Outer80,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,3420.00,226.00,3216.00,106.00,,0.00,16945.88,-174.24,,0.00,23581.88,157.76
EastBay_Outer80,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,3194.00,0.00,3110.00,0.00,,0.00,17120.12,0.00,,0.00,23424.12,0.00
EastBay_Outer580,No Project,NoProject v10,2035_TM152_NGF_NP10,32.12,-8.63,6.00,-6.00,,0.00,7799.85,-223.28,,0.00,7837.97,-237.91
EastBay_Outer580,Blueprint,Blueprint,2035_TM152_FBP_Plus_24,57.39,16.64,10.00,-2.00,,0.00,8898.00,874.87,,0.00,8965.39,889.51
EastBay_Outer580,Pathway 1a,"Pathway 1a (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1a_02,193.87,153.12,96.00,84.00,,0.00,8748.00,724.87,,0.00,9037.87,961.99
EastBay_Outer580,Pathway 1b,"Pathway 1b (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path1b_02,46.05,5.30,2.00,-10.00,,0.00,9399.57,1376.44,,0.00,9447.62,1371.74
EastBay_Outer580,Pathway 2a,"Pathway 2a with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02_10pc,198.01,157.26,66.00,54.00,,0.00,8648.05,624.92,,0.00,8912.06,836.18
EastBay_Outer580,Pathway 2a,"Pathway 2a with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2a_02,205.62,164.87,92.00,80.00,,0.00,8882.32,859.19,,0.00,9179.94,1104.06
EastBay_Outer580,Pathway 2b,"Pathway 2b with 10pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02_10pc,34.58,-6.17,6.00,-6.00,,0.00,9489.30,1466.17,,0.00,9529.88,1454.00
EastBay_Outer580,Pathway 2b,"Pathway 2b with 20pct art toll (more VZ, less trn, lower toll)",2035_TM152_NGF_NP10_Path2b_02,40.92,0.17,4.00,-8.00,,0.00,9335.30,1312.17,,0.00,9380.22,1304.34
EastBay_Outer580,Pathway 3a,"Pathway 3a (more VZ, less trn)",2035_TM152_NGF_NP10_Path3a_02,39.20,-1.55,80.00,68.00,,0.00,8089.13,66.00,,0.00,8208.33,132.45
EastBay_Outer580,Pathway 3b,"Pathway 3b (more VZ, less trn)",2035_TM152_NGF_NP10_Path3b_02,43.06,2.31,6.00,-6.00,,0.00,8425.13,402.00,,0.00,8474.19,398.31
EastBay_Outer580,Pathway 4,"Pathway 4 - No New Pricing (more VZ, less trn)",2035_TM152_NGF_NP10_Path4_02,40.75,0.00,12.00,0.00,,0.00,8023.13,0.00,,0.00,8075.88,0.00
Periphery_80Solano,No Project,NoProject v10,2035_TM152_NGF_NP10,,0.00,74.00,-66.00,,0.00,,0.00,829.84,-42.50,903.84,-108.50
