A,B,I580_I238_I880_PortOfOakland,I101_I880_PortOfOakland,I80_I880_PortOfOakland,I680,SR85
10087,10200,,PM,,,
10088,10089,,AM,,,
10089,10090,,AM,,,
10090,10091,,AM,,,
10091,10096,,AM,,,
10096,10123,,AM,,,
10108,20139,,PM,,,
10111,20136,,PM,,,
10113,10114,,PM,,,
10114,12275,,PM,,,
10117,10118,,PM,,,
10118,10120,,PM,,,
10120,10121,,PM,,,
10121,10122,,PM,,,
10122,10055,,PM,,,
10123,10125,,AM,,,
10125,10126,,AM,,,
10126,10128,,AM,,,
10128,20133,,AM,,,
10130,9481,,AM,,,
10132,20135,,AM,,,
10134,20137,,AM,,,
10136,10137,,AM,,,
10137,20140,,AM,,,
10144,12671,,PM,,,
10200,9576,,PM,,,
10225,10226,,AM,,,
10226,10227,,AM,,,
10227,10088,,AM,,,
10386,10387,,,PM,,
10387,20433,,,PM,,
10506,2778,,,PM,,
10548,9317,,,AM,,
10677,4187,,PM,,,
10677,20363,,AM,,,
11063,11810,,,PM,,
11064,11066,,,AM,,
11065,11063,,,PM,,
11066,11808,,,AM,,
11634,2179,,,AM,,
11636,11685,,,PM,,
11637,11642,,,PM,,
11642,11636,,,PM,,
11643,11667,,,AM,,
11645,11669,,,PM,,
11646,11686,,,AM,,
11667,11634,,,AM,,
11669,11671,,,PM,,
11671,11672,,,PM,,
11672,11674,,,PM,,
11674,11757,,,PM,,
11684,11643,,,AM,,
11685,11645,,,PM,,
11686,11684,,,AM,,
11687,11646,,,AM,,
11688,11687,,,AM,,
11690,11688,,,AM,,
11692,11690,,,AM,,
11694,11692,,,AM,,
11695,11694,,,AM,,
11722,11727,,,PM,,
11723,11850,,,AM,,
11727,12206,,,PM,,
11728,11723,,,AM,,
11731,11732,,,PM,,
11732,11992,,,PM,,
11742,11743,,,AM,,
11743,11989,,,AM,,
11751,11752,,,AM,,
11752,11961,,,AM,,
11757,11758,,,PM,,
11758,11760,,,PM,,
11760,11762,,,PM,,
11761,11695,,,AM,,
11762,11765,,,PM,,
11764,11766,,,AM,,
11765,11769,,,PM,,
11766,11761,,,AM,,
11768,11764,,,AM,,
11769,8671,,,PM,,
11785,11786,,,PM,,
11786,11959,,,PM,,
11807,11065,,,PM,,
11808,8672,,,AM,,
11810,11815,,,PM,,
11811,11064,,,AM,,
11813,11811,,,AM,,
11815,11820,,,PM,,
11819,11813,,,AM,,
11820,20360,,,PM,,
11829,20359,,,AM,,
11830,11858,,,PM,,
11837,11857,,,AM,,
11838,11869,,,PM,,
11840,11841,,,AM,,
11841,11837,,,AM,,
11844,11840,,,AM,,
11845,11847,,,AM,,
11846,11849,,,PM,,
11847,11865,,,AM,,
11848,11845,,,AM,,
11849,11851,,,PM,,
11850,11848,,,AM,,
11851,11722,,,PM,,
11857,11829,,,AM,,
11858,11859,,,PM,,
11859,11838,,,PM,,
11865,11866,,,PM,,
11866,11844,,,AM,,
11869,11871,,,PM,,
11871,11879,,,PM,,
11872,11846,,,PM,,
11878,11872,,,PM,,
11879,11878,,,PM,,
11903,11933,,,PM,,
11904,11924,,,AM,,
11906,11904,,,AM,,
11908,11906,,,AM,,
11909,11912,,,PM,,
11911,11908,,,AM,,
11912,20387,,,PM,,
11913,11916,,,PM,,
11914,20390,,,AM,,
11915,11914,,,AM,,
11916,11919,,,PM,,
11918,11915,,,AM,,
11923,11903,,,PM,,
11924,11958,,,AM,,
11933,11909,,,PM,,
11941,11785,,,PM,,
11942,11947,,,AM,,
11943,1602,,,AM,,
11944,11946,,,PM,,
11945,11943,,,AM,,
11946,11948,,,PM,,
11947,11945,,,AM,,
11948,11960,,,PM,,
11958,11751,,,AM,,
11959,11923,,,PM,,
11960,11941,,,PM,,
11961,11942,,,AM,,
11986,12204,,,AM,,
11987,11990,,,PM,,
11989,11986,,,AM,,
11990,11731,,,PM,,
11991,11742,,,AM,,
11992,11994,,,PM,,
11993,11991,,,AM,,
11994,1603,,,PM,,
12204,12205,,,AM,,
12205,11728,,,AM,,
12206,12207,,,PM,,
12207,11987,,,PM,,
12216,4422,,AM,,,
12239,4593,,AM,,,
12240,5720,,AM,,,
12241,12240,,AM,,,
12242,12243,,PM,,,
12243,5012,,PM,,,
12275,20134,,PM,,,
12671,4407,,PM,,,
12673,12216,,AM,,,
15972,2260,,,AM,,
20002,9291,,,AM,,
20003,9292,,,PM,,
20004,9293,,,AM,,
20005,9295,,,PM,,
20006,9297,,,PM,,
20007,9294,,,AM,,
20008,9296,,,AM,,
20009,8943,,,AM,,
20010,9223,,,AM,,
20011,8947,,,AM,,
20012,8949,,,AM,,
20013,8953,,,AM,,
20014,8957,,,AM,,
20015,8965,,,AM,,
20016,8969,,,AM,,
20017,8973,,,AM,,
20018,8977,,,AM,,
20019,8983,,,AM,,
20020,8987,,,AM,,
20021,8991,,,AM,,
20022,8972,,,PM,,
20023,8944,,,PM,,
20132,10058,,PM,,,
20133,10130,,AM,,,
20134,10117,,PM,,,
20135,10134,,AM,,,
20136,10113,,PM,,,
20137,10136,,AM,,,
20138,10111,,PM,,,
20139,20138,,PM,,,
20140,20141,,AM,,,
20141,9161,,AM,,,
20142,9152,,PM,,,
20143,9167,,AM,,,
20145,9156,,PM,,,
20146,9158,,PM,,,
20193,9176,,AM,,,
20194,9185,,PM,,,
20195,9184,,AM,,,
20196,9452,,PM,,,
20197,9049,,AM,,,
20208,9163,,AM,,,
20229,8907,,PM,,,
20230,8927,,AM,,,
20231,8909,,PM,,,
20232,8925,,AM,,,
20233,8911,,PM,,,
20234,8923,,AM,,,
20235,8913,,PM,,,
20236,8921,,AM,,,
20237,8914,,PM,,,
20238,20236,,AM,,,
20239,8916,,PM,,,
20240,8918,,AM,,,
20241,9177,,PM,,,
20242,9189,,PM,,,
20359,11819,,,AM,,
20360,11830,,,PM,,
20361,9287,,,AM,,
20362,9288,,,PM,,
20363,4188,,AM,,,
20363,10677,,PM,,,
20364,4150,,PM,,,
20364,4187,,AM,,,
20386,11911,,,AM,,
20387,20391,,,PM,,
20390,20386,,,AM,,
20391,11913,,,PM,,
20433,20434,,,PM,,
20434,8994,,,PM,,
20512,2220,,,PM,,
38859,38860,AM,,,,
1717,10657,,,,PM,
1718,1724,,,,AM,
1723,1717,,,,PM,
1724,1740,,,,AM,
1737,1780,,,,PM,
1739,1737,,,,PM,
1740,3973,,,,AM,
1741,1723,,,,PM,
1742,1739,,,,PM,
1749,1757,,,,AM,
1750,1990,,,,AM,
1757,1758,,,,AM,
1758,1759,,,,AM,
1759,10656,,,,AM,
1764,1996,,,,AM,
1766,1764,,,,AM,
1771,1766,,,,AM,
1773,1771,,,,AM,
1780,1991,,,,PM,
1782,8501,,,,PM,
1783,1793,,,,PM,
1793,1795,,,,PM,
1795,1797,,,,PM,
1797,1968,,,,PM,
1878,1773,,,,AM,
1880,1878,,,,AM,
1882,1880,,,,AM,
1884,1882,,,,AM,
1885,1884,,,,AM,
1944,1945,,,,PM,
1945,1948,,,,PM,
1948,1949,,,,PM,
1968,1944,,,,PM,
1990,1749,,,,AM,
1991,1782,,,,PM,
1996,8504,,,,AM,
2014,1783,,,,PM,
2454,2554,,,,AM,
2528,4050,,,,PM,
2554,2564,,,,AM,
2555,2528,,,,PM,
2564,2580,,,,AM,
2569,2555,,,,PM,
2580,2582,,,,AM,
2581,2569,,,,PM,
2582,3805,,,,AM,
2615,2581,,,,PM,
3582,3584,,,,AM,
3583,3819,,,,PM,
3584,3874,,,,AM,
3585,3583,,,,PM,
3804,2615,,,,PM,
3805,3821,,,,AM,
3813,3817,,,,AM,
3814,3822,,,,PM,
3817,10308,,,,AM,
3818,3582,,,,AM,
3819,10309,,,,PM,
