A,B,Parallel_Corridor,Shape_Leng
4504,4202,Periphery_101SouthBay_AM,1760.33292306000
4606,5588,SouthBay_Outer280680_AM,1061.70664498000
4606,5897,SouthBay_Outer280680_PM,2312.60394361000
4659,4662,SouthBay_Outer280680_PM,340.63466466200
4659,4700,SouthBay_Outer280680_AM,805.08943602600
4662,4659,SouthBay_Outer280680_AM,340.63466466200
4662,4663,SouthBay_Outer280680_PM,537.90933176500
4663,4662,SouthBay_Outer280680_AM,537.90933176500
4673,5567,SouthBay_Outer280680_PM,226.26610164700
4681,4349,SouthBay_Outer10187_PM,783.23559674000
4681,4413,SouthBay_Outer10187_AM,879.62037266100
4687,4704,SouthBay_Outer280680_PM,265.31750829600
4687,5372,SouthBay_Outer280680_AM,679.80005119800
4700,4659,SouthBay_Outer280680_PM,805.08943602600
4700,4702,SouthBay_Outer280680_AM,813.00553503700
4702,4700,SouthBay_Outer280680_PM,813.00553503700
4702,4703,SouthBay_Outer280680_AM,802.58316131500
4703,4702,SouthBay_Outer280680_PM,802.58316131500
4703,4704,SouthBay_Outer280680_AM,688.52897776800
4704,4687,SouthBay_Outer280680_AM,265.31750829600
4704,4703,SouthBay_Outer280680_PM,688.52897776800
4845,5371,SouthBay_Outer280680_PM,515.85594155100
4845,12694,SouthBay_Outer280680_AM,376.00132978500
4945,4973,SouthBay_Outer280680_AM,177.55280904600
4945,5024,SouthBay_Outer280680_PM,1075.90938280000
4960,4961,SouthBay_Outer280680_PM,333.78136556700
4960,4968,SouthBay_Outer280680_AM,329.12085190100
4961,4960,SouthBay_Outer280680_AM,333.78136556700
4961,4962,SouthBay_Outer280680_PM,324.81533215000
4962,4961,SouthBay_Outer280680_AM,324.81533215000
4962,4973,SouthBay_Outer280680_PM,109.04127658800
4968,4960,SouthBay_Outer280680_PM,329.12085190100
4968,5166,SouthBay_Outer280680_AM,155.14520668200
4973,4945,SouthBay_Outer280680_PM,177.55280904600
4973,4962,SouthBay_Outer280680_AM,109.04127658800
5014,5017,SouthBay_Outer280680_AM,204.00000000000
5014,5240,SouthBay_Outer280680_PM,532.37580711400
5017,5014,SouthBay_Outer280680_PM,204.00000000000
5017,5024,SouthBay_Outer280680_AM,508.32469938000
5024,4945,SouthBay_Outer280680_AM,1075.90938280000
5024,5017,SouthBay_Outer280680_PM,508.32469938000
5097,4253,SouthBay_Inner_AM,838.64772103700
5125,5127,SouthBay_Outer280680_PM,645.19841909300
5125,5147,SouthBay_Outer280680_AM,371.04851434800
5127,5125,SouthBay_Outer280680_AM,645.19841909300
5127,12694,SouthBay_Outer280680_PM,874.06921922700
5147,5125,SouthBay_Outer280680_PM,371.04851434800
5166,4968,SouthBay_Outer280680_PM,155.14520668200
5166,5190,SouthBay_Outer280680_AM,187.48866632400
5167,5190,SouthBay_Outer280680_PM,72.06941098690
5190,5166,SouthBay_Outer280680_PM,187.48866632400
5190,5167,SouthBay_Outer280680_AM,72.06941098690
5235,5241,SouthBay_Outer280680_AM,570.26748110000
5240,5014,SouthBay_Outer280680_AM,532.37580711400
5240,5241,SouthBay_Outer280680_PM,668.96487202200
5241,5235,SouthBay_Outer280680_PM,570.26748110000
5241,5240,SouthBay_Outer280680_AM,668.96487202200
5303,5700,SouthBay_Inner_AM,308.44934754300
5303,5702,SouthBay_Inner_PM,580.69785603200
5370,5371,SouthBay_Outer280680_AM,484.64808019100
5370,5376,SouthBay_Outer280680_PM,1107.19916907000
5371,4845,SouthBay_Outer280680_AM,515.85594155100
5371,5370,SouthBay_Outer280680_PM,484.64808019100
5372,4687,SouthBay_Outer280680_PM,679.80005119800
5372,5376,SouthBay_Outer280680_AM,700.23139032800
5376,5370,SouthBay_Outer280680_AM,1107.19916907000
5376,5372,SouthBay_Outer280680_PM,700.23139032800
5437,5679,SouthBay_Inner_PM,1061.41404449000
5437,12567,SouthBay_Inner_AM,233.45235059900
5494,4338,SouthBay_Outer10187_PM,591.35437767900
5494,4343,SouthBay_Outer10187_AM,652.50670494600
5497,4316,SouthBay_Outer10187_PM,1973.60001013000
5497,4338,SouthBay_Outer10187_AM,347.61472926200
5563,5566,SouthBay_Outer280680_AM,1083.23145129000
5563,5579,SouthBay_Outer280680_PM,1106.39323931000
5566,5563,SouthBay_Outer280680_PM,1083.23145129000
5566,5567,SouthBay_Outer280680_AM,1177.31297910000
5567,4673,SouthBay_Outer280680_AM,226.26610164700
5567,5566,SouthBay_Outer280680_PM,1177.31297910000
5579,5563,SouthBay_Outer280680_AM,1106.39323931000
5579,5590,SouthBay_Outer280680_PM,1830.90715221000
5588,4606,SouthBay_Outer280680_PM,1061.70664498000
5588,5590,SouthBay_Outer280680_AM,430.79577528100
5590,5579,SouthBay_Outer280680_AM,1830.90715221000
5590,5588,SouthBay_Outer280680_PM,430.79577528100
5651,4193,SouthBay_Inner_AM,323.09905601800
5651,4195,SouthBay_Inner_PM,653.44089250700
5652,4193,SouthBay_Inner_PM,1005.52274962000
5675,5676,SouthBay_Inner_PM,867.41450375200
5675,5704,SouthBay_Inner_AM,321.09967299900
5676,5675,SouthBay_Inner_AM,867.41450375200
5676,5741,SouthBay_Inner_PM,636.34701438700
5679,5437,SouthBay_Inner_AM,1061.41404449000
5679,5793,SouthBay_Inner_PM,1887.27878594000
5683,5709,SouthBay_Inner_AM,217.55459085000
5683,5800,SouthBay_Inner_PM,538.56290254700
5687,5702,SouthBay_Inner_AM,805.45453006400
5687,5704,SouthBay_Inner_PM,1090.46091172000
5700,5303,SouthBay_Inner_PM,308.44934754300
5702,5303,SouthBay_Inner_AM,580.69785603200
5702,5687,SouthBay_Inner_PM,805.45453006400
5704,5675,SouthBay_Inner_PM,321.09967299900
5704,5687,SouthBay_Inner_AM,1090.46091172000
5709,5683,SouthBay_Inner_PM,217.55459085000
5709,5741,SouthBay_Inner_AM,586.23715337700
5741,5676,SouthBay_Inner_AM,636.34701438700
5741,5709,SouthBay_Inner_PM,586.23715337700
5793,4251,SouthBay_Inner_PM,777.13169777300
5793,5679,SouthBay_Inner_AM,1887.27878594000
5800,5683,SouthBay_Inner_AM,538.56290254700
5882,5896,SouthBay_Outer280680_PM,922.36272691400
5882,5897,SouthBay_Outer280680_AM,1205.37006766000
5885,5983,SanMateo_101_PM_SanMateo_28092_PM,1060.65828616000
5896,5882,SouthBay_Outer280680_AM,922.36272691400
5897,4606,SouthBay_Outer280680_AM,2312.60394361000
5897,5882,SouthBay_Outer280680_PM,1205.37006766000
5976,5983,SanMateo_101_AM_SanMateo_28092_AM,181.06904760300
5976,6018,SanMateo_101_PM_SanMateo_28092_PM,468.52321180500
5983,5885,SanMateo_101_AM_SanMateo_28092_AM,1060.65828616000
5983,5976,SanMateo_101_PM_SanMateo_28092_PM,181.06904760300
5992,6018,SanMateo_101_AM_SanMateo_28092_AM,1288.81689933000
5992,6097,SanMateo_101_PM_SanMateo_28092_PM,793.30259044100
6005,6011,SanMateo_101_PM_SanMateo_28092_PM,1528.24186998000
6005,6097,SanMateo_101_AM_SanMateo_28092_AM,113.76636045300
6011,6005,SanMateo_101_AM_SanMateo_28092_AM,1528.24186998000
6018,5976,SanMateo_101_AM_SanMateo_28092_AM,468.52321180500
6018,5992,SanMateo_101_PM_SanMateo_28092_PM,1288.81689933000
6097,5992,SanMateo_101_AM_SanMateo_28092_AM,793.30259044100
6097,6005,SanMateo_101_PM_SanMateo_28092_PM,113.76636045300
6125,6126,SanMateo_101_PM_SanMateo_28092_PM,369.96891761300
6126,6125,SanMateo_101_AM_SanMateo_28092_AM,369.96891761300
6126,6127,SanMateo_101_PM_SanMateo_28092_PM,176.38877515300
6127,6126,SanMateo_101_AM_SanMateo_28092_AM,176.38877515300
6127,6129,SanMateo_101_PM_SanMateo_28092_PM,508.37879578100
6129,6127,SanMateo_101_AM_SanMateo_28092_AM,508.37879578100
6129,13024,SanMateo_101_PM_SanMateo_28092_PM,180.47991578000
6134,6136,SanMateo_101_PM_SanMateo_28092_PM,265.87591090600
6134,13024,SanMateo_101_AM_SanMateo_28092_AM,387.49709676300
6135,6136,SanMateo_101_AM_SanMateo_28092_AM,238.59798825600
6135,6313,SanMateo_101_PM_SanMateo_28092_PM,960.27548130700
6136,6134,SanMateo_101_AM_SanMateo_28092_AM,265.87591090600
6136,6135,SanMateo_101_PM_SanMateo_28092_PM,238.59798825600
6164,6165,SanMateo_101_AM_SanMateo_28092_AM,187.38463117300
6164,6172,SanMateo_101_PM_SanMateo_28092_PM,543.05156292900
6165,6164,SanMateo_101_PM_SanMateo_28092_PM,187.38463117300
6165,6169,SanMateo_101_AM_SanMateo_28092_AM,1115.52185097000
6169,6165,SanMateo_101_PM_SanMateo_28092_PM,1115.52185097000
6169,6176,SanMateo_101_AM_SanMateo_28092_AM,189.52572384800
6172,6164,SanMateo_101_AM_SanMateo_28092_AM,543.05156292900
6172,6186,SanMateo_101_PM_SanMateo_28092_PM,1234.17867426000
6176,6169,SanMateo_101_PM_SanMateo_28092_PM,189.52572384800
6176,6313,SanMateo_101_AM_SanMateo_28092_AM,594.51492832400
6186,6172,SanMateo_101_AM_SanMateo_28092_AM,1234.17867426000
6186,13008,SanMateo_101_PM_SanMateo_28092_PM,858.43229203000
6236,6415,SanMateo_101_AM_SanMateo_28092_AM,815.55441265400
6236,6543,SanMateo_101_PM_SanMateo_28092_PM,1086.33558351000
6302,6309,SanMateo_101_PM_SanMateo_28092_PM,393.58099547600
6302,6354,SanMateo_101_AM_SanMateo_28092_AM,352.61877431600
6309,6302,SanMateo_101_AM_SanMateo_28092_AM,393.58099547600
6309,13034,SanMateo_101_PM_SanMateo_28092_PM,578.88340795000
6310,6329,SanMateo_101_AM_SanMateo_28092_AM,1015.23219239000
6310,6414,SanMateo_101_PM_SanMateo_28092_PM,125.10940651800
6313,6135,SanMateo_101_AM_SanMateo_28092_AM,960.27548130700
6313,6176,SanMateo_101_PM_SanMateo_28092_PM,594.51492832400
6329,6310,SanMateo_101_PM_SanMateo_28092_PM,1015.23219239000
6329,13034,SanMateo_101_AM_SanMateo_28092_AM,699.27533919100
6354,6302,SanMateo_101_PM_SanMateo_28092_PM,352.61877431600
6354,6689,SanMateo_101_AM_SanMateo_28092_AM,394.60613274500
6364,6689,SanMateo_101_PM_SanMateo_28092_PM,294.17001886700
6364,13043,SanMateo_101_AM_SanMateo_28092_AM,390.69297408600
6366,6367,SanMateo_101_AM_SanMateo_28092_AM,1010.03465287000
6366,13043,SanMateo_101_PM_SanMateo_28092_PM,707.11597351500
6367,6366,SanMateo_101_PM_SanMateo_28092_PM,1010.03465287000
6367,13008,SanMateo_101_AM_SanMateo_28092_AM,735.18501072900
6407,6600,SFOSanMateo_101_AM,81.65184683790
6407,6607,SFOSanMateo_101_PM,271.89391187400
6412,6414,SanMateo_101_AM_SanMateo_28092_AM,839.79673226700
6412,6415,SanMateo_101_PM_SanMateo_28092_PM,462.54621390700
6414,6310,SanMateo_101_AM_SanMateo_28092_AM,125.10940651800
6414,6412,SanMateo_101_PM_SanMateo_28092_PM,839.79673226700
6415,6236,SanMateo_101_PM_SanMateo_28092_PM,815.55441265400
6415,6412,SanMateo_101_AM_SanMateo_28092_AM,462.54621390700
6425,6535,SanMateo_101_PM_SanMateo_28092_PM,317.55471969400
6425,6544,SanMateo_101_AM_SanMateo_28092_AM,1250.59705741000
6476,6590,SFOSanMateo_280380_AM,796.95482933500
6476,6614,SFOSanMateo_280380_PM,807.36732656200
6482,6486,SanMateo_101_PM_SanMateo_28092_PM,319.33054974400
6482,6511,SanMateo_101_AM_SanMateo_28092_AM,972.32162377900
6484,6489,SFOSanMateo_280380_AM,451.32360895500
6484,6590,SFOSanMateo_280380_PM,676.18932260100
6486,6482,SanMateo_101_AM_SanMateo_28092_AM,319.33054974400
6486,6489,SanMateo_101_PM_SanMateo_28092_PM,225.41739063300
6489,6484,SFOSanMateo_280380_PM,451.32360895500
6489,6486,SanMateo_101_AM_SanMateo_28092_AM,225.41739063300
6511,6482,SanMateo_101_PM_SanMateo_28092_PM,972.32162377900
6511,6512,SanMateo_101_AM_SanMateo_28092_AM,131.06017059500
6512,6511,SanMateo_101_PM_SanMateo_28092_PM,131.06017059500
6512,6619,SanMateo_101_AM_SanMateo_28092_AM,642.33436321500
6529,6531,SanMateo_101_AM_SanMateo_28092_AM,554.45448987700
6529,6532,SanMateo_101_PM_SanMateo_28092_PM,614.29634542300
6531,6529,SanMateo_101_PM_SanMateo_28092_PM,554.45448987700
6531,6535,SanMateo_101_AM_SanMateo_28092_AM,255.28228090500
6532,6529,SanMateo_101_AM_SanMateo_28092_AM,614.29634542300
6532,6619,SanMateo_101_PM_SanMateo_28092_PM,1351.77136043000
6535,6425,SanMateo_101_AM_SanMateo_28092_AM,317.55471969400
6535,6531,SanMateo_101_PM_SanMateo_28092_PM,255.28228090500
6543,6236,SanMateo_101_AM_SanMateo_28092_AM,1086.33558351000
6543,6547,SanMateo_101_PM_SanMateo_28092_PM,505.63326631100
6544,6425,SanMateo_101_PM_SanMateo_28092_PM,1250.59705741000
6544,6547,SanMateo_101_AM_SanMateo_28092_AM,105.11898020800
6547,6543,SanMateo_101_AM_SanMateo_28092_AM,505.63326631100
6547,6544,SanMateo_101_PM_SanMateo_28092_PM,105.11898020800
6580,6582,SFOSanMateo_101_AM,330.37830743700
6580,6586,SFOSanMateo_101_PM,378.26721193600
6582,6580,SFOSanMateo_101_PM,330.37830743700
6582,6591,SFOSanMateo_101_AM,962.15776131100
6586,6580,SFOSanMateo_101_AM,378.26721193600
6586,6601,SFOSanMateo_101_PM,546.99877911500
6590,6476,SFOSanMateo_280380_PM,796.95482933500
6590,6484,SFOSanMateo_280380_AM,676.18932260100
6591,6582,SFOSanMateo_101_PM,962.15776131100
