taz1454,ORIGIN_SF,ORIGIN_SJ,ORIGIN_OAK
1345,,,
1342,,,
1340,,,
1351,,,
1353,,,
1359,,,
1366,,,
1355,,,
1354,,,
1367,,,
430,,Sunnyvale,
433,,Sunnyvale,
435,,Sunnyvale,
602,,East San Jose,
608,,East San Jose,
769,,,
1135,,,
1202,,,
348,,,
349,,,
350,,,
351,,,
396,,Sunnyvale,
398,,Sunnyvale,
1368,,,
400,,Sunnyvale,
1236,,,
1241,,,
1240,,,
1243,,,
1212,,,
1211,,,
1218,,,
1360,,,
1364,,,
1357,,,
1369,,,
1373,,,
1372,,,
1376,,,
1378,,,
1384,,,
1390,,,
1370,,,
1371,,,
1374,,,
1377,,,
1382,,,
1375,,,
1379,,,
1380,,,
403,,Sunnyvale,
404,,Sunnyvale,
405,,Sunnyvale,
407,,Sunnyvale,
409,,Sunnyvale,
410,,Sunnyvale,
412,,Sunnyvale,
415,,Sunnyvale,
416,,Sunnyvale,
419,,Sunnyvale,
1217,,,
1215,,,
1213,,,
1248,,,
1391,,,
1393,,,
1395,,,
1398,,,
1400,,,
1401,,,
1402,,,
1403,,,
1389,,,
1,,,
3,,,
5,,,
12,,,
13,,,
15,,,
18,,,
20,,,
23,,,
215,Daly City,,
347,,,
1381,,,
1386,,,
1385,,,
1387,,,
1388,,,
426,,Sunnyvale,
427,,Sunnyvale,
431,,Sunnyvale,
432,,Sunnyvale,
434,,Sunnyvale,
538,,Downtown San Jose,
539,,Downtown San Jose,
603,,East San Jose,
604,,East San Jose,
607,,East San Jose,
750,,,
752,,,
1247,,,
1249,,,
1268,,,
1332,,,
1326,,,
1327,,,
1331,,,
1330,,,
1383,,,
1392,,,
751,,,
874,Oakland/Alameda,,Oakland/Alameda
875,Oakland/Alameda,,Oakland/Alameda
1136,,,
1145,,,
1146,,,
1201,,,
1270,,,
1250,,,
1262,,,
1264,,,
1259,,,
1258,,,
1257,,,
1255,,,
1253,,,
1256,,,
1280,,,
1329,,,
1328,,,
1337,,,
1344,,,
1347,,,
1346,,,
1394,,,
1396,,,
1286,,,
1279,,,
1278,,,
1277,,,
1284,,,
1274,,,
1341,,,
1349,,,
1348,,,
1350,,,
1358,,,
1397,,,
1399,,,
2,,,
4,,,
10,,,
11,,,
14,,,
16,,,
17,,,
19,,,
1273,,,
1282,,,
1283,,,
1287,,,
1289,,,
1352,,,
1361,,,
1363,,,
1356,,,
1362,,,
1365,,,
21,,,
22,,,
108,Mission/Bayview,,
109,,,
110,,,
216,Daly City,,
395,,Sunnyvale,
397,,Sunnyvale,
399,,Sunnyvale,
406,,Sunnyvale,
408,,Sunnyvale,
411,,Sunnyvale,
417,,Sunnyvale,
418,,Sunnyvale,
428,,Sunnyvale,
429,,Sunnyvale,
1323,,,
1320,,,
1319,,,
1333,,,
939,Oakland/Alameda,,Oakland/Alameda
974,Oakland/Alameda,,Oakland/Alameda
914,Oakland/Alameda,,Oakland/Alameda
920,Oakland/Alameda,,Oakland/Alameda
921,Oakland/Alameda,,Oakland/Alameda
938,Oakland/Alameda,,Oakland/Alameda
944,Oakland/Alameda,,Oakland/Alameda
935,Oakland/Alameda,,Oakland/Alameda
931,Oakland/Alameda,,Oakland/Alameda
933,Oakland/Alameda,,Oakland/Alameda
928,Oakland/Alameda,,Oakland/Alameda
927,Oakland/Alameda,,Oakland/Alameda
930,Oakland/Alameda,,Oakland/Alameda
910,Oakland/Alameda,,Oakland/Alameda
908,Oakland/Alameda,,Oakland/Alameda
905,Oakland/Alameda,,Oakland/Alameda
897,Oakland/Alameda,,Oakland/Alameda
898,Oakland/Alameda,,Oakland/Alameda
902,Oakland/Alameda,,Oakland/Alameda
901,Oakland/Alameda,,Oakland/Alameda
889,Oakland/Alameda,,Oakland/Alameda
890,Oakland/Alameda,,Oakland/Alameda
895,Oakland/Alameda,,Oakland/Alameda
876,Oakland/Alameda,,Oakland/Alameda
878,Oakland/Alameda,,Oakland/Alameda
891,Oakland/Alameda,,Oakland/Alameda
884,Oakland/Alameda,,Oakland/Alameda
1005,,,Berkeley
998,,,Berkeley
1001,,,Berkeley
996,,,Berkeley
992,,,Berkeley
977,Oakland/Alameda,,Oakland/Alameda
975,Oakland/Alameda,,Oakland/Alameda
978,Oakland/Alameda,,Oakland/Alameda
990,Oakland/Alameda,,Oakland/Alameda
988,Oakland/Alameda,,Oakland/Alameda
965,Oakland/Alameda,,Oakland/Alameda
985,Oakland/Alameda,,Oakland/Alameda
984,Oakland/Alameda,,Oakland/Alameda
982,Oakland/Alameda,,Oakland/Alameda
980,Oakland/Alameda,,Oakland/Alameda
971,Oakland/Alameda,,
969,Oakland/Alameda,,
946,Oakland/Alameda,,Oakland/Alameda
945,Oakland/Alameda,,Oakland/Alameda
941,Oakland/Alameda,,Oakland/Alameda
942,Oakland/Alameda,,Oakland/Alameda
940,Oakland/Alameda,,Oakland/Alameda
973,Oakland/Alameda,,Oakland/Alameda
916,Oakland/Alameda,,Oakland/Alameda
915,Oakland/Alameda,,Oakland/Alameda
919,Oakland/Alameda,,Oakland/Alameda
913,Oakland/Alameda,,Oakland/Alameda
912,Oakland/Alameda,,Oakland/Alameda
922,Oakland/Alameda,,Oakland/Alameda
937,Oakland/Alameda,,Oakland/Alameda
999,,,Berkeley
1000,,,Berkeley
997,,,Berkeley
993,,,Berkeley
976,,,Oakland/Alameda
979,Oakland/Alameda,,Oakland/Alameda
989,Oakland/Alameda,,Oakland/Alameda
987,Oakland/Alameda,,Oakland/Alameda
966,Oakland/Alameda,,Oakland/Alameda
986,Oakland/Alameda,,Oakland/Alameda
983,Oakland/Alameda,,Oakland/Alameda
981,Oakland/Alameda,,Oakland/Alameda
970,Oakland/Alameda,,
968,Oakland/Alameda,,
967,Oakland/Alameda,,Oakland/Alameda
972,Oakland/Alameda,,Oakland/Alameda
904,Oakland/Alameda,,Oakland/Alameda
903,Oakland/Alameda,,Oakland/Alameda
907,Oakland/Alameda,,Oakland/Alameda
911,Oakland/Alameda,,Oakland/Alameda
885,Oakland/Alameda,,Oakland/Alameda
886,Oakland/Alameda,,Oakland/Alameda
900,Oakland/Alameda,,Oakland/Alameda
899,Oakland/Alameda,,Oakland/Alameda
894,Oakland/Alameda,,Oakland/Alameda
877,Oakland/Alameda,,Oakland/Alameda
892,Oakland/Alameda,,Oakland/Alameda
893,Oakland/Alameda,,Oakland/Alameda
888,Oakland/Alameda,,Oakland/Alameda
887,Oakland/Alameda,,Oakland/Alameda
847,,,Hayward
840,,,Hayward
870,,,Hayward
871,,,Hayward
865,,,Hayward
863,,,Hayward
860,,,Hayward
857,,,Hayward
854,,,Hayward
843,,,Hayward
883,Oakland/Alameda,,Oakland/Alameda
881,Oakland/Alameda,,Oakland/Alameda
879,Oakland/Alameda,,Oakland/Alameda
1035,,,Berkeley
1039,,,Berkeley
1037,,,Berkeley
1030,,,Berkeley
1031,,,Berkeley
1032,,,Berkeley
1029,,,Berkeley
1028,,,Berkeley
1014,,,Berkeley
1023,,,Berkeley
1021,,,Berkeley
1019,,,Berkeley
1008,,,Berkeley
1017,,,Berkeley
1015,,,Berkeley
1012,,,Berkeley
1010,,,Berkeley
1006,,,Berkeley
1002,,,Berkeley
995,,,Berkeley
991,,,Berkeley
918,Oakland/Alameda,,Oakland/Alameda
949,Oakland/Alameda,,Oakland/Alameda
960,Oakland/Alameda,,Oakland/Alameda
961,Oakland/Alameda,,Oakland/Alameda
962,Oakland/Alameda,,Oakland/Alameda
963,Oakland/Alameda,,Oakland/Alameda
955,Oakland/Alameda,,Oakland/Alameda
950,Oakland/Alameda,,Oakland/Alameda
952,Oakland/Alameda,,Oakland/Alameda
953,Oakland/Alameda,,Oakland/Alameda
844,,,Hayward
845,,,Hayward
851,,,Hayward
853,,,Hayward
882,Oakland/Alameda,,Oakland/Alameda
880,Oakland/Alameda,,Oakland/Alameda
1036,,,Berkeley
1038,,,Berkeley
1034,,,Berkeley
1033,,,Berkeley
1027,,,Berkeley
1026,,,Berkeley
1025,,,Berkeley
1024,,,Berkeley
1022,,,Berkeley
1020,,,Berkeley
1007,,,Berkeley
1018,,,Berkeley
1016,,,Berkeley
1013,,,Berkeley
1011,,,Berkeley
1009,,,Berkeley
1004,,,Berkeley
1003,,,Berkeley
994,,,Berkeley
917,Oakland/Alameda,,Oakland/Alameda
948,Oakland/Alameda,,Oakland/Alameda
964,Oakland/Alameda,,Oakland/Alameda
959,Oakland/Alameda,,Oakland/Alameda
956,Oakland/Alameda,,Oakland/Alameda
951,Oakland/Alameda,,Oakland/Alameda
954,Oakland/Alameda,,Oakland/Alameda
957,Oakland/Alameda,,Oakland/Alameda
958,Oakland/Alameda,,Oakland/Alameda
850,,,Hayward
852,,,Hayward
943,Oakland/Alameda,,Oakland/Alameda
934,Oakland/Alameda,,Oakland/Alameda
936,Oakland/Alameda,,Oakland/Alameda
932,Oakland/Alameda,,Oakland/Alameda
947,Oakland/Alameda,,Oakland/Alameda
926,Oakland/Alameda,,Oakland/Alameda
929,Oakland/Alameda,,Oakland/Alameda
924,Oakland/Alameda,,Oakland/Alameda
923,Oakland/Alameda,,Oakland/Alameda
909,Oakland/Alameda,,Oakland/Alameda
906,Oakland/Alameda,,Oakland/Alameda
925,Oakland/Alameda,,Oakland/Alameda
896,Oakland/Alameda,,Oakland/Alameda
802,,,
796,,,
792,,,
800,,,
795,,,
782,,,
784,,,
790,,,
789,,,
785,,,
762,,,
763,,,
777,,,
761,,,
760,,,
775,,,
765,,,
758,,,
748,,,
749,,,
770,,,
772,,,
731,,,
733,,,
737,,,
741,,,
738,,,
746,,,
839,,,Hayward
838,,,Hayward
837,,,Hayward
835,,,Hayward
833,,,Hayward
832,,,Hayward
828,,,Hayward
823,,,Hayward
822,,,Hayward
826,,,Hayward
829,,,Hayward
830,,,Hayward
813,,,Hayward
810,,,Hayward
814,,,Hayward
817,,,Hayward
819,,,Hayward
804,,,Hayward
807,,,Hayward
806,,,Hayward
809,,,Hayward
803,,,
849,,,Hayward
846,,,Hayward
848,,,Hayward
842,,,Hayward
868,,,Hayward
869,,,Hayward
873,,,Hayward
872,,,Hayward
867,,,Hayward
866,,,Hayward
864,,,Hayward
862,,,Hayward
861,,,Hayward
859,,,Hayward
858,,,Hayward
856,,,Hayward
855,,,Hayward
820,,,Hayward
821,,,Hayward
841,,,Hayward
836,,,Hayward
834,,,Hayward
831,,,Hayward
824,,,Hayward
825,,,Hayward
827,,,Hayward
812,,,Hayward
811,,,Hayward
815,,,Hayward
816,,,Hayward
818,,,Hayward
805,,,Hayward
808,,,Hayward
774,,,
776,,,
778,,,
780,,,
779,,,
756,,,
764,,,
766,,,
759,,,
757,,,
755,,,
753,,,
754,,,
1182,,,
1177,,,
1188,,,
1194,,,
1197,,,
1190,,,
1187,,,
1206,,,
1204,,,
1198,,,
1207,,,
1093,,,
1095,,,
1123,,,
1128,,,
1130,,,
1111,,,
1099,,,
1104,,,
1105,,,
1114,,,
1118,,,
1119,,,
1134,,,
1147,,,
1162,,,
1172,,,
1169,,,
743,,,
729,,,
742,,,
745,,,
725,,,
720,,,
728,,,
722,,,
716,,,
717,,,
723,,,
724,,,
726,,,
747,,,
771,,,
768,,,
773,,,
767,,,
730,,,
732,,,
734,,,
735,,,
736,,,
740,,,
739,,,
744,,,
715,,,
719,,,
721,,,
718,,,
727,,,
797,,,
793,,,
791,,,
798,,,
801,,,
794,,,
781,,,
783,,,
787,,,
799,,,
788,,,
786,,,
1094,,,
1096,,,
1124,,,
1126,,,
1125,,,
1127,,,
1121,,,
1129,,,
1122,,,
1113,,,
1112,,,
1110,,,
1109,,,
1108,,,
1107,,,
1106,,,
1116,,,
1115,,,
1120,,,
1117,,,
1138,,,
1137,,,
1140,,,
1141,,,
1133,,,
1149,,,
1144,,,
1143,,,
1142,,,
1173,,,
1174,,,
1171,,,
1163,,,
1150,,,
1148,,,
1159,,,
1181,,,
1180,,,
1185,,,
1179,,,
1178,,,
1189,,,
1183,,,
1191,,,
1192,,,
1193,,,
1184,,,
1205,,,
1203,,,
1199,,,
1196,,,
1200,,,
1209,,,
1208,,,
1210,,,
1097,,,
1092,,,
1091,,,
1072,,,
1054,,,
1065,,,
1056,,,
1061,,,
1058,,,
1049,,,
1052,,,
1047,,,
1041,,,
1042,,,
1044,,,
1412,,,
1132,,,
1152,,,
1151,,,
1160,,,
1158,,,
1157,,,
1156,,,
1155,,,
1154,,,
1176,,,
1098,,,
1195,,,
1139,,,
1102,,,
1100,,,
1088,,,
1087,,,
1089,,,
1083,,,
1082,,,
1086,,,
1085,,,
1411,,,
1406,,,
1423,,,
1167,,,
1168,,,
1175,,,
1161,,,
1170,,,
1164,,,
1165,,,
1166,,,
1131,,,
1153,,,
1186,,,
1103,,,
1101,,,
1090,,,
1084,,,
1078,,,
1074,,,
1068,,,
1070,,,
1413,,,
1414,,,
1409,,,
1410,,,
1408,,,
1407,,,
1424,,,
1425,,,
1422,,,
1421,,,
1419,,,
1420,,,
1417,,,
1437,,,
1441,,,
1439,,,
1444,,,
1449,,,
1453,,,
1454,,,
1416,,,
1415,,,
1299,,,
1300,,,
1305,,,
1306,,,
1302,,,
1308,,,
1310,,,
1314,,,
1312,,,
1317,,,
41,,,
39,,,
37,,,
35,,,
33,,,
28,,,
25,,,
24,,,
29,,,
6,,,
30,,,
8,,,
51,Richmond,,
44,Richmond,,
46,Richmond,,
71,Richmond,,
48,Richmond,,
75,Richmond,,
72,Richmond,,
74,Richmond,,
1079,,,
1077,,,
1076,,,
1081,,,
1080,,,
1069,,,
1071,,,
1073,,,
1067,,,
1066,,,
1075,,,
1055,,,
1064,,,
1057,,,
1063,,,
1062,,,
1060,,,
1059,,,
1050,,,
1053,,,
1045,,,
1051,,,
1048,,,
1040,,,
1046,,,
1043,,,
1404,,,
1405,,,
1418,,,
1434,,,
1433,,,
1432,,,
1435,,,
1436,,,
1296,,,
1297,,,
1298,,,
1304,,,
1307,,,
1303,,,
1293,,,
1294,,,
1292,,,
1291,,,
1309,,,
1311,,,
1315,,,
1313,,,
1316,,,
40,,,
38,,,
36,,,
34,,,
32,,,
27,,,
26,,,
31,,,
7,,,
9,,,
43,Richmond,,
50,Richmond,,
1440,,,
1438,,,
1447,,,
1445,,,
1446,,,
1442,,,
1443,,,
1452,,,
1450,,,
1451,,,
1448,,,
1301,,,
1295,,,
1431,,,
1427,,,
1426,,,
1430,,,
1429,,,
1428,,,
185,Sunset,,
69,Richmond,,
77,Richmond,,
78,Richmond,,
80,Richmond,,
87,Richmond,,
84,Richmond,,
82,Richmond,,
89,Richmond,,
107,Mission/Bayview,,
42,,,
93,Mission/Bayview,,
103,Mission/Bayview,,
101,Mission/Bayview,,
99,Mission/Bayview,,
95,Mission/Bayview,,
97,Mission/Bayview,,
129,Mission/Bayview,,
130,Mission/Bayview,,
111,Mission/Bayview,,
112,Mission/Bayview,,
116,Mission/Bayview,,
117,Mission/Bayview,,
120,Mission/Bayview,,
139,Mission/Bayview,,
143,Mission/Bayview,,
144,Mission/Bayview,,
145,Mission/Bayview,,
148,Mission/Bayview,,
121,Mission/Bayview,,
123,Mission/Bayview,,
125,Mission/Bayview,,
134,Mission/Bayview,,
137,Mission/Bayview,,
138,Mission/Bayview,,
152,Mission/Bayview,,
160,Mission/Bayview,,
165,Mission/Bayview,,
164,Mission/Bayview,,
163,Mission/Bayview,,
153,Mission/Bayview,,
156,Mission/Bayview,,
91,Mission/Bayview,,
175,Sunset,,
173,Sunset,,
172,Sunset,,
171,Sunset,,
170,Sunset,,
169,Sunset,,
133,Mission/Bayview,,
168,Sunset,,
167,Mission/Bayview,,
184,Sunset,,
186,Sunset,,
179,Sunset,,
180,Sunset,,
182,Sunset,,
45,Richmond,,
49,Richmond,,
47,Richmond,,
73,Richmond,,
70,Richmond,,
68,Richmond,,
86,Richmond,,
76,Richmond,,
79,Richmond,,
85,Richmond,,
88,Richmond,,
81,Richmond,,
83,Richmond,,
106,,,
105,Mission/Bayview,,
104,Mission/Bayview,,
94,Mission/Bayview,,
102,Mission/Bayview,,
100,Mission/Bayview,,
98,Mission/Bayview,,
96,Mission/Bayview,,
128,Mission/Bayview,,
127,Mission/Bayview,,
114,Mission/Bayview,,
113,Mission/Bayview,,
115,Mission/Bayview,,
118,Mission/Bayview,,
119,Mission/Bayview,,
141,Mission/Bayview,,
140,Mission/Bayview,,
147,Mission/Bayview,,
150,Mission/Bayview,,
122,Mission/Bayview,,
124,Mission/Bayview,,
126,Mission/Bayview,,
151,Mission/Bayview,,
135,Mission/Bayview,,
136,Mission/Bayview,,
161,Mission/Bayview,,
162,Mission/Bayview,,
159,Mission/Bayview,,
155,Mission/Bayview,,
154,Mission/Bayview,,
90,Mission/Bayview,,
176,Sunset,,
174,Sunset,,
92,Mission/Bayview,,
131,Mission/Bayview,,
132,Mission/Bayview,,
166,Mission/Bayview,,
177,Sunset,,
178,Sunset,,
198,Daly City,,
199,Daly City,,
214,Daly City,,
210,Daly City,,
213,Daly City,,
231,Daly City,,
221,Daly City,,
226,Daly City,,
228,Daly City,,
233,Daly City,,
235,Daly City,,
238,Daly City,,
142,Mission/Bayview,,
208,Daly City,,
206,Daly City,,
205,Daly City,,
202,Daly City,,
204,Daly City,,
191,Daly City,,
195,Daly City,,
193,Daly City,,
194,Daly City,,
197,Daly City,,
200,Daly City,,
218,Daly City,,
219,Daly City,,
217,Daly City,,
209,Daly City,,
211,Daly City,,
212,Daly City,,
230,Daly City,,
220,Daly City,,
222,Daly City,,
223,Daly City,,
224,Daly City,,
225,Daly City,,
227,Daly City,,
229,Daly City,,
232,Daly City,,
236,Daly City,,
237,Daly City,,
234,Daly City,,
239,Daly City,,
240,Daly City,,
241,Daly City,,
242,Daly City,,
243,Daly City,,
245,Daly City,,
246,Daly City,,
247,Daly City,,
250,,,
251,,,
244,Daly City,,
248,Daly City,,
249,,,
253,,,
258,,,
260,,,
256,,,
280,,,
187,Sunset,,
188,Sunset,,
189,Sunset,,
181,Sunset,,
183,Sunset,,
66,Richmond,,
62,Richmond,,
57,Richmond,,
64,Richmond,,
60,Richmond,,
54,Richmond,,
52,Richmond,,
53,Richmond,,
190,Sunset,,
157,Mission/Bayview,,
146,Mission/Bayview,,
65,Richmond,,
58,Richmond,,
67,Richmond,,
63,Richmond,,
61,Richmond,,
59,Richmond,,
55,Richmond,,
56,Richmond,,
158,Mission/Bayview,,
149,Mission/Bayview,,
207,Daly City,,
203,Daly City,,
192,Daly City,,
196,Daly City,,
201,Daly City,,
547,,Downtown San Jose,
542,,Downtown San Jose,
558,,,
556,,,
550,,Downtown San Jose,
554,,Downtown San Jose,
552,,Downtown San Jose,
555,,Downtown San Jose,
282,,,
291,,,
290,,,
285,,,
283,,,
278,,,
262,,,
264,,,
265,,,
270,,,
271,,,
266,,,
272,,,
267,,,
274,,,
276,,,
275,,,
289,,,
288,,,
287,,,
309,,,
308,,,
307,,,
306,,,
304,,,
302,,,
319,,,
317,,,
314,,,
315,,,
313,,,
311,,,
330,,,
329,,,
328,,,
252,,,
254,,,
259,,,
261,,,
257,,,
255,,,
292,,,
284,,,
281,,,
279,,,
263,,,
273,,,
268,,,
269,,,
277,,,
286,,,
310,,,
318,,,
305,,,
303,,,
316,,,
326,,,
312,,,
327,,,
324,,,
325,,,
321,,,
338,,,
332,,,
334,,,
337,,,
341,,,
294,,,
297,,,
336,,,
340,,,
343,,,
344,,,
345,,,
346,,,
298,,,
300,,,
533,,Downtown San Jose,
531,,Downtown San Jose,
529,,Downtown San Jose,
521,,Cupertino,
522,,Downtown San Jose,
685,,South San Jose,
686,,South San Jose,
681,,South San Jose,
579,,Downtown San Jose,
564,,Downtown San Jose,
561,,Downtown San Jose,
562,,Downtown San Jose,
568,,Downtown San Jose,
572,,Downtown San Jose,
574,,Downtown San Jose,
569,,Downtown San Jose,
582,,East San Jose,
647,,East San Jose,
654,,East San Jose,
645,,East San Jose,
585,,East San Jose,
581,,East San Jose,
586,,East San Jose,
587,,East San Jose,
641,,East San Jose,
640,,East San Jose,
591,,East San Jose,
594,,East San Jose,
597,,East San Jose,
632,,East San Jose,
589,,East San Jose,
627,,East San Jose,
601,,East San Jose,
626,,East San Jose,
624,,East San Jose,
560,,Downtown San Jose,
559,,Downtown San Jose,
537,,Downtown San Jose,
536,,Downtown San Jose,
534,,Downtown San Jose,
532,,Downtown San Jose,
528,,Downtown San Jose,
527,,Downtown San Jose,
526,,Downtown San Jose,
530,,Downtown San Jose,
519,,Cupertino,
299,,,
295,,,
293,,,
296,,,
546,,Downtown San Jose,
541,,Downtown San Jose,
540,,Downtown San Jose,
557,,,
549,,Downtown San Jose,
548,,Downtown San Jose,
551,,Downtown San Jose,
553,,Downtown San Jose,
535,,Downtown San Jose,
323,,,
320,,,
301,,,
322,,,
342,,,
339,,,
331,,,
333,,,
335,,,
648,,East San Jose,
652,,East San Jose,
655,,East San Jose,
588,,East San Jose,
638,,East San Jose,
639,,East San Jose,
593,,East San Jose,
592,,East San Jose,
590,,East San Jose,
595,,East San Jose,
596,,East San Jose,
630,,East San Jose,
631,,East San Jose,
633,,East San Jose,
634,,East San Jose,
635,,East San Jose,
636,,East San Jose,
629,,East San Jose,
637,,East San Jose,
628,,East San Jose,
605,,East San Jose,
623,,East San Jose,
599,,East San Jose,
600,,East San Jose,
621,,East San Jose,
616,,East San Jose,
619,,East San Jose,
614,,East San Jose,
612,,East San Jose,
402,,Sunnyvale,
421,,Sunnyvale,
414,,Sunnyvale,
443,,Sunnyvale,
437,,Sunnyvale,
444,,Sunnyvale,
439,,Sunnyvale,
436,,Sunnyvale,
466,,Cupertino,
461,,Cupertino,
462,,Cupertino,
477,,Cupertino,
520,,Cupertino,
523,,Downtown San Jose,
524,,Downtown San Jose,
683,,South San Jose,
684,,South San Jose,
687,,South San Jose,
525,,Downtown San Jose,
682,,South San Jose,
563,,Downtown San Jose,
578,,Downtown San Jose,
580,,Downtown San Jose,
577,,Downtown San Jose,
