"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Margin of Error","Contra Costa County, California!!Estimate","Contra Costa County, California!!Margin of Error","Marin County, California!!Estimate","Marin County, California!!Margin of Error","Napa County, California!!Estimate","Napa County, California!!Margin of Error","San Francisco County, California!!Estimate","San Francisco County, California!!Margin of Error","San Joaquin County, California!!Estimate","San Joaquin County, California!!Margin of Error","San Mateo County, California!!Estimate","San Mateo County, California!!Margin of Error","Santa Clara County, California!!Estimate","Santa Clara County, California!!Margin of Error","Solano County, California!!Estimate","Solano County, California!!Margin of Error","Sonoma County, California!!Estimate","Sonoma County, California!!Margin of Error"
"        No vehicle available","5,567","±1,130","1,146","±562","289","±273","31","±53","8,570","±1,333","1,567","±570","1,106","±472","3,565","±1,012","664","±435","637","±422"
"        1 vehicle available","23,339","±2,328","12,889","±1,699","2,790","±789","1,441","±686","17,722","±2,315","8,478","±1,436","9,430","±1,754","19,223","±1,930","4,352","±1,083","6,182","±1,187"
"        2 vehicles available","42,981","±3,637","27,175","±2,199","6,443","±1,313","2,873","±663","14,823","±1,978","15,502","±2,028","19,870","±2,061","51,702","±3,280","8,914","±1,238","12,024","±1,640"
"        3 vehicles available","24,194","±1,984","18,327","±2,132","4,872","±955","2,821","±746","5,149","±1,023","9,209","±1,793","13,335","±1,511","33,266","±2,667","6,517","±1,065","9,470","±1,263"
"        4 or more vehicles available","7,132","±1,226","7,949","±1,289","1,301","±522","842","±311","1,048","±418","3,081","±735","4,161","±961","9,177","±1,515","3,204","±655","3,736","±1,026"
"    4-or-more-person household:","155,113","±4,764","116,066","±4,400","20,744","±1,845","12,754","±1,390","56,315","±3,104","78,092","±3,713","75,044","±3,511","195,513","±5,029","40,355","±2,468","41,305","±2,303"
"        No vehicle available","4,706","±1,082","2,586","±652","75","±95","229","±191","6,389","±1,398","2,348","±767","1,169","±467","3,227","±779","418","±264","851","±559"
"        1 vehicle available","19,110","±2,142","12,761","±1,785","2,438","±853","749","±403","11,598","±1,512","10,979","±1,592","7,893","±1,464","17,004","±2,294","5,093","±1,411","4,535","±1,056"
"        2 vehicles available","64,984","±3,443","47,091","±3,222","10,390","±1,248","5,215","±864","21,191","±2,179","32,090","±2,879","30,661","±2,618","82,020","±4,011","15,082","±2,066","15,145","±1,821"
"        3 vehicles available","37,315","±2,867","30,211","±2,499","5,603","±1,012","3,480","±871","10,637","±1,518","18,831","±2,382","17,085","±1,814","50,025","±3,262","11,291","±1,665","10,964","±1,730"
"        4 or more vehicles available","28,998","±2,701","23,417","±2,129","2,238","±589","3,081","±725","6,500","±1,360","13,844","±1,564","18,236","±2,096","43,237","±2,691","8,471","±1,468","9,810","±1,510"
