CDSCode,StatusType,District,School,Street,StreetAbr,City,Zip,State,County,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Latitude,Longitude
01100176002760,Closed,Alameda County Office of Education,Snedigar Cottage,2100 Fairmont Drive,2100 Fairmont Dr.,San Leandro,94578,CA,Alameda,2100 Fairmont Drive,2100 Fairmont Dr.,San Leandro,94578,CA,,
01100176066526,Merged,Alameda County Office of Education,Koster/Whiteford Special Center,35725 Cedar Avenue,35725 Cedar Ave.,Newark,94560,CA,Alameda,35725 Cedar Avenue,35725 Cedar Ave.,Newark,94560,CA,,
01100176066534,Closed,Alameda County Office of Education,Whiteford School (TMR),685 A Street,685 A St.,Hayward,94541,CA,Alameda,685 A Street,685 A St.,Hayward,94541,CA,,
01100176072276,Closed,Alameda County Office of Education,Alameda County Special Education,685 A Street,685 A St.,Hayward,94541,CA,Alameda,685 A Street,685 A St.,Hayward,94541,CA,,
01100176089379,Closed,Alameda County Office of Education,Buena Vista School (Girls),2200 Fairmont Drive,2200 Fairmont Dr.,San Leandro,94578,CA,Alameda,2200 Fairmont Drive,2200 Fairmont Dr.,San Leandro,94578,CA,,
01100176095897,Merged,Alameda County Office of Education,Whiteford (June) School,35725 Cedar Boulevard,35725 Cedar Blvd.,Newark,94560,CA,Alameda,35725 Cedar Boulevard,35725 Cedar Blvd.,Newark,94560,CA,,
01100176096531,Merged,Alameda County Office of Education,School for School-Age Mothers,8151 Village Parkway,8151 Village Pkwy.,Dublin,94568,CA,Alameda,8151 Village Parkway,8151 Village Pkwy.,Dublin,94568,CA,,
01100176097539,Closed,Alameda County Office of Education,Sequoia Deaf/Blind Program,685 A Street,685 A St.,Hayward,94541,CA,Alameda,685 A Street,685 A St.,Hayward,94541,CA,,
01100176097562,Merged,Alameda County Office of Education,Burke (William P.) Special Center,612 West A Street,612 West A St.,Hayward,94541,CA,Alameda,612 West A Street,612 West A St.,Hayward,94541,CA,,
01100176098586,Closed,Alameda County Office of Education,East County Dch,7997 Vomac Road,7997 Vomac Rd.,Dublin,94566,CA,Alameda,7997 Vomac Road,7997 Vomac Rd.,Dublin,94566,CA,,
01100176098628,Merged,Alameda County Office of Education,La Fleche (Rock) Special Center,6925 Chabot Road,6925 Chabot Rd.,Oakland,94618,CA,Alameda,6925 Chabot Road,6925 Chabot Rd.,Oakland,94618,CA,,
01100176098636,Merged,Alameda County Office of Education,Motta (Ronald) Special Center,40950 Chapel Way,40950 Chapel Way,Fremont,94538,CA,Alameda,40950 Chapel Way,40950 Chapel Way,Fremont,94538,CA,,
01100176106751,Active,Alameda County Office of Education,Alameda County Special Education,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,Alameda,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,37.658212,-122.09713
01100176114896,Closed,Alameda County Office of Education,New Village Community Public Charter East Bay,,,,,,Alameda,,,,,,,
01316090000000,Active,California School for the Blind (State Special Schl),,500 Walnut Avenue,500 Walnut Ave.,Fremont,94536-4365,CA,Alameda,500 Walnut Avenue,500 Walnut Ave.,Fremont,94536-4365,CA,37.562576,-121.96563
01316090131755,Active,California School for the Blind (State Special Schl),California School for the Blind,500 Walnut Avenue,500 Walnut Ave.,Fremont,94536-4365,CA,Alameda,500 Walnut Avenue,500 Walnut Ave.,Fremont,94536-4365,CA,37.562576,-121.96563
01316170000000,Active,California School for the Deaf-Fremont (State Special Schl),,39350 Gallaudet Drive,39350 Gallaudet Dr.,Fremont,94538-2308,CA,Alameda,39350 Gallaudet Drive,39350 Gallaudet Dr.,Fremont,94538-2308,CA,37.558956,-121.96551
01316170131763,Active,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,39350 Gallaudet Drive,39350 Gallaudet Dr.,Fremont,94538-2308,CA,Alameda,39350 Gallaudet Drive,39350 Gallaudet Dr.,Fremont,94538-2308,CA,37.558956,-121.96551
01404027200009,Closed,Mission Valley ROC/P,"David W. Gordon,Govt. Affairs",PO Box 944272,PO Box 944272,Sacramento,94244,CA,Alameda,PO Box 944272,PO Box 944272,Sacramento,94244,CA,,
01611190000000,Active,Alameda Unified,,2060 Challenger Dr,2060 Challenger Dr,Alameda,94501-1037,CA,Alameda,2060 Challenger Dr,2060 Challenger Dr,Alameda,94501-1037,CA,37.782147,-122.27009
01611190100818,Closed,Alameda Unified,College Preparatory & Architecture Academy,4610 Foothill Boulevard,4610 Foothill Blvd.,Oakland,94601,CA,Alameda,4610 Foothill Boulevard,4610 Foothill Blvd.,Oakland,94601,CA,,
01611190106401,Active,Alameda Unified,Alameda Science and Technology Institute,555 Atlantic Avenue,555 Atlantic Ave.,Alameda,94501-2109,CA,Alameda,555 Atlantic Avenue,555 Atlantic Ave.,Alameda,94501-2109,CA,37.779884,-122.28052
01611190111765,Active,Alameda Unified,Ruby Bridges Elementary,351 Jack London Avenue,351 Jack London Ave.,Alameda,94501-3901,CA,Alameda,351 Jack London Avenue,351 Jack London Ave.,Alameda,94501-3901,CA,37.781834,-122.28614
01611190119222,Active,Alameda Unified,Nea Community Learning Center,1900 Third Street,1900 Third St.,Alameda,94501-1851,CA,Alameda,1900 Third Street,1900 Third St.,Alameda,94501-1851,CA,37.779051,-122.28703
01611190122085,Active,Alameda Unified,The Academy of Alameda,401 Pacific Avenue,401 Pacific Ave.,Alameda,94501-1837,CA,Alameda,401 Pacific Avenue,401 Pacific Ave.,Alameda,94501-1837,CA,37.776497,-122.28582
01611190126656,Active,Alameda Unified,Maya Lin,825 Taylor Street,825 Taylor St.,Alameda,94501-3411,CA,Alameda,825 Taylor Street,825 Taylor St.,Alameda,94501-3411,CA,37.772724,-122.27189
01611190128199,Closed,Alameda Unified,Encinal Junior Jets,210 Central Avenue,210 Central Ave.,Alameda,94501-3246,CA,Alameda,210 Central Avenue,210 Central Ave.,Alameda,94501-3246,CA,37.772622,-122.28886
01611190130120,Active,Alameda Unified,Alameda Adult,1300 Third Street,1300 Third St.,Alameda,94501,CA,Alameda,1300 Third Street,1300 Third St.,Alameda,94501,CA,37.770867,-122.28850
01611190130229,Active,Alameda Unified,Alameda High,2201 Encinal Avenue,2201 Encinal Ave.,Alameda,94501-4406,CA,Alameda,2201 Encinal Avenue,2201 Encinal Ave.,Alameda,94501-4406,CA,37.764294,-122.24807
01611190130476,Closed,Alameda Unified,Alameda City Unified Alternative Educ.,2437 Eagle Avenue,2437 Eagle Ave.,Alameda,94501,CA,Alameda,2437 Eagle Avenue,2437 Eagle Ave.,Alameda,94501,CA,,
01611190130609,Active,Alameda Unified,Alameda Community Learning Center,1900 Third Street,1900 Third St.,Alameda,94501-1851,CA,Alameda,1900 Third Street,1900 Third St.,Alameda,94501-1851,CA,37.779051,-122.28703
01611190130625,Active,Alameda Unified,Alternatives in Action,6221 E 17th Street,6221 E 17th St.,Oakland,94621,CA,Alameda,6221 E 17th Street,6221 E 17th St.,Oakland,94621,CA,37.764353,-122.19551
01611190131805,Active,Alameda Unified,The Academy of Alameda Elementary,401 Pacific Avenue,401 Pacific Ave.,Alameda,94501-1837,CA,Alameda,401 Pacific Avenue,401 Pacific Ave.,Alameda,94501-1837,CA,37.776930,-122.28528
01611190132142,Active,Alameda Unified,Encinal Junior/Senior High,210 Central Avenue,210 Central Ave.,Alameda,94501-3246,CA,Alameda,210 Central Avenue,210 Central Ave.,Alameda,94501-3246,CA,37.772765,-122.28900
01611190132878,Closed,Alameda Unified,Encinal High,210 Central Avenue,210 Central Ave.,Alameda,94501-3278,CA,Alameda,210 Central Avenue,210 Central Ave.,Alameda,94501-3278,CA,37.773616,-122.29027
01611190134304,Active,Alameda Unified,Island High (Continuation),500 Pacific Avenue,500 Pacific Ave.,Alameda,94501-2125,CA,Alameda,500 Pacific Avenue,500 Pacific Ave.,Alameda,94501-2125,CA,37.775722,-122.28124
01611196000004,Closed,Alameda Unified,Chipman Middle,401 Pacific Avenue,401 Pacific Ave.,Alameda,94501-1837,CA,Alameda,401 Pacific Avenue,401 Pacific Ave.,Alameda,94501-1837,CA,,
01611196090005,Active,Alameda Unified,Donald D. Lum Elementary,1801 Sandcreek Way,1801 Sandcreek Way,Alameda,94501-6024,CA,Alameda,1801 Sandcreek Way,1801 Sandcreek Way,Alameda,94501-6024,CA,37.762203,-122.25895
01611196090013,Active,Alameda Unified,Edison Elementary,2700 Buena Vista Avenue,2700 Buena Vista Ave.,Alameda,94501-1610,CA,Alameda,2700 Buena Vista Avenue,2700 Buena Vista Ave.,Alameda,94501-1610,CA,37.765083,-122.23421
01611196090021,Active,Alameda Unified,Frank Otis Elementary,3010 Fillmore Street,3010 Fillmore St.,Alameda,94501-5544,CA,Alameda,3010 Fillmore Street,3010 Fillmore St.,Alameda,94501-5544,CA,37.754029,-122.23799
01611196090039,Active,Alameda Unified,Franklin Elementary,1433 San Antonio Avenue,1433 San Antonio Ave.,Alameda,94501-4039,CA,Alameda,1433 San Antonio Avenue,1433 San Antonio Ave.,Alameda,94501-4039,CA,37.769036,-122.26160
01611196090047,Active,Alameda Unified,Henry Haight Elementary,2025 Santa Clara Avenue,2025 Santa Clara Ave.,Alameda,94501-2720,CA,Alameda,2025 Santa Clara Avenue,2025 Santa Clara Ave.,Alameda,94501-2720,CA,37.769332,-122.25106
01611196090054,Active,Alameda Unified,Lincoln Middle,1250 Fernside Boulevard,1250 Fernside Blvd.,Alameda,94501-4808,CA,Alameda,1250 Fernside Boulevard,1250 Fernside Blvd.,Alameda,94501-4808,CA,37.752242,-122.23276
01611196090062,Closed,Alameda Unified,Longfellow Elementary,500 Pacific Avenue,500 Pacific Ave.,Alameda,94501-2125,CA,Alameda,500 Pacific Avenue,500 Pacific Ave.,Alameda,94501-2125,CA,,
01611196090070,Closed,Alameda Unified,Mastick Elementary,1525 Bay Street,1525 Bay St.,Alameda,94501,CA,Alameda,1525 Bay Street,1525 Bay St.,Alameda,94501,CA,,
01611196090088,Closed,Alameda Unified,George P. Miller Elementary,250 Singleton Avenue,250 Singleton Ave.,Alameda,94501-7238,CA,Alameda,250 Singleton Avenue,250 Singleton Ave.,Alameda,94501-7238,CA,,
01611196090096,Closed,Alameda Unified,Porter Elementary,2248 Alameda Avenue,2248 Alameda Ave.,Alameda,94501,CA,Alameda,2248 Alameda Avenue,2248 Alameda Ave.,Alameda,94501,CA,,
01611196090104,Closed,Alameda Unified,Washington Elementary,825 Taylor Avenue,825 Taylor Ave.,Alameda,94501-3411,CA,Alameda,825 Taylor Avenue,825 Taylor Ave.,Alameda,94501-3411,CA,37.772348,-122.27219
01611196090112,Active,Alameda Unified,Will C. Wood Middle,420 Grand Street,420 Grand St.,Alameda,94501-5941,CA,Alameda,420 Grand Street,420 Grand St.,Alameda,94501-5941,CA,37.763031,-122.26192
01611196090120,Active,Alameda Unified,William G. Paden Elementary,444 Central Avenue,444 Central Ave.,Alameda,94501-3615,CA,Alameda,444 Central Avenue,444 Central Ave.,Alameda,94501-3615,CA,37.771566,-122.28446
01611196090138,Closed,Alameda Unified,Woodstock Elementary,1900 Third Street,1900 Third St.,Alameda,94501-1898,CA,Alameda,1900 Third Street,1900 Third St.,Alameda,94501-1898,CA,,
01611196100374,Active,Alameda Unified,Amelia Earhart Elementary,400 Packet Landing Road,400 Packet Landing Rd.,Alameda,94502-6534,CA,Alameda,400 Packet Landing Road,400 Packet Landing Rd.,Alameda,94502-6534,CA,37.745289,-122.23928
01611196103451,Closed,Alameda Unified,Grand Alternative,400 Grant Street,400 Grant St.,Alameda,94501,CA,Alameda,400 Grant Street,400 Grant St.,Alameda,94501,CA,,
01611196110779,Active,Alameda Unified,Bay Farm,200 Aughinbaugh Way,200 Aughinbaugh Way,Alameda,94502-7451,CA,Alameda,200 Aughinbaugh Way,200 Aughinbaugh Way,Alameda,94502-7451,CA,37.738998,-122.25195
01611270000000,Active,Albany City Unified,,1051 Monroe Street,1051 Monroe St.,Albany,94706-2213,CA,Alameda,1051 Monroe Street,1051 Monroe St.,Albany,94706-2213,CA,37.884367,-122.29870
01611270126631,Closed,Albany City Unified,Albany Children's Center,720 Jackson Street,720 Jackson St.,Albany,94706,CA,Alameda,1000 Jackson Street,1000 Jackson St.,Albany,94706,CA,37.893133,-122.30282
01611270130211,Closed,Albany City Unified,Albany Adult,603 Key Route Boulevard,603 Key Route Blvd.,Albany,94706-1422,CA,Alameda,603 Key Route Boulevard,603 Key Route Blvd.,Albany,94706-1422,CA,37.896209,-122.29209
01611270130294,Active,Albany City Unified,MacGregor High (Continuation),603 Key Route Blvd,603 Key Route Blvd,Albany,94706-1422,CA,Alameda,603 Key Route Blvd,603 Key Route Blvd,Albany,94706-1422,CA,37.896420,-122.29211
01611270130351,Closed,Albany City Unified,Albany Adult,603 Key Route Boulevard,603 Key Route Blvd.,Albany,94706,CA,Alameda,603 Key Route Boulevard,603 Key Route Blvd.,Albany,94706,CA,,
01611270130450,Active,Albany City Unified,Albany High,603 Key Route Boulevard,603 Key Route Blvd.,Albany,94706-1422,CA,Alameda,603 Key Route Boulevard,603 Key Route Blvd.,Albany,94706-1422,CA,37.896661,-122.29257
01611276085583,Closed,Albany City Unified,Albany Primary,607 Key Route Boulevard,607 Key Route Blvd.,Albany,94706,CA,Alameda,607 Key Route Boulevard,607 Key Route Blvd.,Albany,94706,CA,,
01611276090146,Active,Albany City Unified,Cornell Elementary,920 Talbot Avenue,920 Talbot Ave.,Albany,94706-2020,CA,Alameda,920 Talbot Avenue,920 Talbot Ave.,Albany,94706-2020,CA,37.889826,-122.29518
01611276090153,Closed,Albany City Unified,MacGregor Primary,601 San Gabriel Avenue,601 San Gabriel Ave.,Albany,94706,CA,Alameda,601 San Gabriel Avenue,601 San Gabriel Ave.,Albany,94706,CA,,
01611276090161,Active,Albany City Unified,Albany Middle,1259 Brighton Avenue,1259 Brighton Ave.,Albany,94706-1336,CA,Alameda,1259 Brighton Avenue,1259 Brighton Ave.,Albany,94706-1336,CA,37.897851,-122.29530
01611276090179,Closed,Albany City Unified,Vista-MacGregor Primary,,,,,,Alameda,,,,,,,
01611276095376,Active,Albany City Unified,Marin Elementary,1001 Santa Fe Avenue,1001 Santa Fe Ave.,Albany,94706-2341,CA,Alameda,1001 Santa Fe Avenue,1001 Santa Fe Ave.,Albany,94706-2341,CA,37.888559,-122.28817
01611276116222,Active,Albany City Unified,Ocean View Elementary,1000 Jackson Street,1000 Jackson St.,Albany,94706-1904,CA,Alameda,1000 Jackson Street,1000 Jackson St.,Albany,94706-1904,CA,37.887539,-122.30092
01611350000000,Merged,Amador Valley Joint Union High,,4665 Bernal Avenue,4665 Bernal Ave.,Pleasanton,94566,CA,Alameda,4665 Bernal Avenue,4665 Bernal Ave.,Pleasanton,94566,CA,,
01611350130013,Merged,Amador Valley Joint Union High,Amador Valley Adult Education,4750 First Street,4750 First St.,Pleasanton,94566-7399,CA,Alameda,4750 First Street,4750 First St.,Pleasanton,94566-7399,CA,,
01611350130021,Closed,Amador Valley Joint Union High,Amador Valley Adult Education,8151 Village Parkway,8151 Village Pkwy.,Dublin,94566,CA,Alameda,8151 Village Parkway,8151 Village Pkwy.,Dublin,94566,CA,,
01611350130096,Merged,Amador Valley Joint Union High,Foothill High,4375 Foothill Road,4375 Foothill Rd.,Pleasanton,94566-9799,CA,Alameda,4375 Foothill Road,4375 Foothill Rd.,Pleasanton,94566-9799,CA,,
01611350130252,Merged,Amador Valley Joint Union High,Village High,4750 First Street,4750 First St.,Pleasanton,94566-8399,CA,Alameda,4750 First Street,4750 First St.,Pleasanton,94566-8399,CA,,
01611350130310,Merged,Amador Valley Joint Union High,Pleasanton Unified Alternative,Ten Neal Street,Ten Neal St.,Pleasanton,94566,CA,Alameda,Ten Neal Street,Ten Neal St.,Pleasanton,94566,CA,,
01611350130583,Merged,Amador Valley Joint Union High,Amador Valley High,1155 Santa Rita Road,1155 Santa Rita Rd.,Pleasanton,94566-6176,CA,Alameda,1155 Santa Rita Road,1155 Santa Rita Rd.,Pleasanton,94566-6176,CA,,
01611350132704,Merged,Amador Valley Joint Union High,Dublin High,8151 Village Parkway,8151 Village Pkwy.,Dublin,94568,CA,Alameda,8151 Village Parkway,8151 Village Pkwy.,Dublin,94568,CA,,
01611350138453,Merged,Amador Valley Joint Union High,Valley High,7001 Brighton Drive,7001 Brighton Dr.,Dublin,94568-3075,CA,Alameda,7001 Brighton Drive,7001 Brighton Dr.,Dublin,94568-3075,CA,,
01611430000000,Active,Berkeley Unified,,2020 Bonar Street,2020 Bonar St.,Berkeley,94702-1793,CA,Alameda,2020 Bonar Street,2020 Bonar St.,Berkeley,94702-1793,CA,37.869454,-122.28747
01611430122689,Active,Berkeley Unified,REALM Charter Middle,2023 Eighth Street,2023 Eighth St.,Berkeley,94710-2026,CA,Alameda,2023 Eighth Street,2023 Eighth St.,Berkeley,94710-2026,CA,37.867479,-122.29492
01611430122697,Active,Berkeley Unified,REALM Charter High,2023 Eighth Street,2023 Eighth St.,Berkeley,94710-2026,CA,Alameda,2023 Eighth Street,2023 Eighth St.,Berkeley,94710-2026,CA,37.867479,-122.29492
01611430122804,Active,Berkeley Unified,Berkeley Special Education Preschool,2134 Martin Luther King Junior Way,2134 Martin Luther King Jr. Way,Berkeley,94704-1180,CA,Alameda,2134 Martin Luther King Junior Way,2134 Martin Luther King Jr. Way,Berkeley,94704-1180,CA,37.869954,-122.27283
01611430131078,Active,Berkeley Unified,Berkeley Adult,1701 San Pablo Avenue,1701 San Pablo Ave.,Berkeley,94702-1709,CA,Alameda,1701 San Pablo Avenue,1701 San Pablo Ave.,Berkeley,94702-1709,CA,37.873179,-122.29158
01611430131177,Active,Berkeley Unified,Berkeley High,1980 Allston Way,1980 Allston Way,Berkeley,94704-1463,CA,Alameda,1980 Allston Way,1980 Allston Way,Berkeley,94704-1463,CA,37.868913,-122.27120
01611430131219,Closed,Berkeley Unified,"West Campus, Berkeley High",1222 University Avenue,1222 University Ave.,Berkeley,94702,CA,Alameda,1222 University Avenue,1222 University Ave.,Berkeley,94702,CA,,
01611430134924,Active,Berkeley Unified,Berkeley Technology Academy,2701 Martin Luther King Junior Way,2701 Martin Luther King Jr. Way,Berkeley,94704-2165,CA,Alameda,2701 Martin Luther King Junior Way,2701 Martin Luther King Jr. Way,Berkeley,94704-2165,CA,37.859740,-122.27171
01611436056857,Active,Berkeley Unified,Martin Luther King Middle,1781 Rose Street,1781 Rose St.,Berkeley,94703-1048,CA,Alameda,1781 Rose Street,1781 Rose St.,Berkeley,94703-1048,CA,37.881113,-122.27700
01611436056865,Active,Berkeley Unified,Willard Middle,2425 Stuart Street,2425 Stuart St.,Berkeley,94705-1209,CA,Alameda,2425 Stuart Street,2425 Stuart St.,Berkeley,94705-1209,CA,37.859666,-122.25862
01611436068142,Closed,Berkeley Unified,King Educational Center,1810 Hopkins Street,1810 Hopkins St.,Berkeley,94707,CA,Alameda,1810 Hopkins Street,1810 Hopkins St.,Berkeley,94707,CA,,
01611436069603,Closed,Berkeley Unified,Home Teaching,1809 Fairview,1809 Fairview,Berkeley,94703,CA,Alameda,1809 Fairview,1809 Fairview,Berkeley,94703,CA,,
01611436069611,Closed,Berkeley Unified,Pregnant Minors Program,Bungalow B,Bungalow B,Berkeley,94704,CA,Alameda,2314 Bancroft Way,2314 Bancroft Way,Berkeley,94704,CA,,
01611436090187,Active,Berkeley Unified,Rosa Parks Environmental Science Magnet,920 Allston Way,920 Allston Way,Berkeley,94710-2389,CA,Alameda,920 Allston Way,920 Allston Way,Berkeley,94710-2389,CA,37.865652,-122.29471
01611436090195,Active,Berkeley Unified,Cragmont Elementary,830 Regal Road,830 Regal Rd.,Berkeley,94708-1308,CA,Alameda,830 Regal Road,830 Regal Rd.,Berkeley,94708-1308,CA,37.892673,-122.26355
01611436090203,Closed,Berkeley Unified,Tilden Primary,499 Spruce Street,499 Spruce St.,Berkeley,94707,CA,Alameda,499 Spruce Street,499 Spruce St.,Berkeley,94707,CA,,
01611436090211,Active,Berkeley Unified,Emerson Elementary,2800 Forest Avenue,2800 Forest Ave.,Berkeley,94705-1309,CA,Alameda,2800 Forest Avenue,2800 Forest Ave.,Berkeley,94705-1309,CA,37.861490,-122.25111
01611436090229,Closed,Berkeley Unified,Franklin Elementary,1150 Virginia Street,1150 Virginia St.,Berkeley,94702-1323,CA,Alameda,1150 Virginia Street,1150 Virginia St.,Berkeley,94720-1309,CA,,
01611436090237,Closed,Berkeley Unified,Hillside Primary,1581 Leroy Avenue,1581 Leroy Ave.,Berkeley,94708,CA,Alameda,1581 Leroy Avenue,1581 Leroy Ave.,Berkeley,94708,CA,,
01611436090245,Closed,Berkeley Unified,Grizzly Peak Primary,40 Whitaker Avenue,40 Whitaker Ave.,Berkeley,94708,CA,Alameda,40 Whitaker Avenue,40 Whitaker Ave.,Berkeley,94708,CA,,
01611436090252,Active,Berkeley Unified,Jefferson Elementary,1400 Ada Street,1400 Ada St.,Berkeley,94702-1217,CA,Alameda,1400 Ada Street,1400 Ada St.,Berkeley,94702-1217,CA,37.878921,-122.28521
01611436090260,Closed,Berkeley Unified,Muir Model School,2955 Claremont Avenue,2955 Claremont Ave.,Berkeley,94705,CA,Alameda,2955 Claremont Avenue,2955 Claremont Ave.,Berkeley,94705,CA,,
01611436090278,Active,Berkeley Unified,Leconte Elementary,2241 Russell Street,2241 Russell St.,Berkeley,94705-1029,CA,Alameda,2241 Russell Street,2241 Russell St.,Berkeley,94705-1029,CA,37.857352,-122.26231
01611436090286,Active,Berkeley Unified,Malcolm X Elementary,1731 Prince Street,1731 Prince St.,Berkeley,94703-2464,CA,Alameda,1731 Prince Street,1731 Prince St.,Berkeley,94703-2464,CA,37.852200,-122.27373
01611436090294,Active,Berkeley Unified,Longfellow Arts and Technology Middle,1500 Derby Street,1500 Derby St.,Berkeley,94703-1817,CA,Alameda,1500 Derby Street,1500 Derby St.,Berkeley,94703-1817,CA,37.858687,-122.28000
01611436090302,Active,Berkeley Unified,Oxford Elementary,1130 Oxford Street,1130 Oxford St.,Berkeley,94707-2624,CA,Alameda,1130 Oxford Street,1130 Oxford St.,Berkeley,94707-2624,CA,37.887796,-122.26827
01611436090310,Active,Berkeley Unified,Thousand Oaks Elementary,840 Colusa Avenue,840 Colusa Ave.,Berkeley,94707-1858,CA,Alameda,840 Colusa Avenue,840 Colusa Ave.,Berkeley,94707-1858,CA,37.893082,-122.28040
01611436090328,Active,Berkeley Unified,Washington Elementary,2300 Martin Luther King Junior Way,2300 Martin Luther King Jr. Way,Berkeley,94704-1412,CA,Alameda,2300 Martin Luther King Junior Way,2300 Martin Luther King Jr. Way,Berkeley,94704-1412,CA,37.866959,-122.27257
01611436090336,Closed,Berkeley Unified,Whittier Primary,1645 Milvia Street,1645 Milvia St.,Berkeley,94709,CA,Alameda,1645 Milvia Street,1645 Milvia St.,Berkeley,94709,CA,,
