"DISTRICT","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","HSENROLL","COLLFTE","COLLPTE","gqpop"
20,90265,262584,263662,130117,69753,26343,29170,26840,19396,14859,74876,15053,46482,94385,71108,36634,13467,10035,25367,690,15018,10299,10359,1909,5143,1078
21,89414,240199,241313,123722,67176,25600,22361,24845,22728,19480,119116,15132,40409,83106,68405,34261,16367,25600,41391,901,13385,21472,9353,6846,13678,1114
22,60928,147190,149204,69718,42198,21435,12426,13315,11894,23293,82201,6779,26676,39047,41919,34783,12270,23838,35159,103,3868,6963,11116,3490,2162,2014
23,52226,152109,152388,71985,45637,8605,5854,8439,11393,26540,71744,8376,37165,39114,46602,21131,6793,21245,19006,118,19784,4798,10369,0,0,279
24,96764,311421,312422,140673,87636,14735,29017,28796,22368,16583,67973,19980,70894,103944,81536,36068,11848,9104,28100,1051,6877,10993,17541,1409,5314,1001
25,53207,147992,148956,69503,42363,14917,18455,15968,11121,7663,49861,9371,25361,49596,42141,22487,7101,6832,21121,486,6977,7344,6278,504,66,964
26,94124,276480,277554,131037,79463,19208,26512,29240,22845,15527,107658,17116,56890,93635,71793,38120,15999,14512,43865,980,13564,18738,14119,2641,7434,1074
27,34478,101576,102431,52877,29275,7742,9416,10239,8013,6810,54060,6204,20511,34468,26910,14338,7384,8924,19358,529,8778,9087,7029,1613,4630,855
28,14587,35344,36918,18300,16136,2323,4297,3781,2741,3768,31918,1265,5726,9454,10758,9715,1882,2206,13257,1677,10689,2207,803,1497,170,1574
29,65297,168306,171009,88006,56300,13601,18920,20180,14131,12066,81206,8999,29863,54615,48675,28857,11296,13682,27665,1210,14841,12512,7332,8264,1144,2703
30,92638,242963,244721,121250,75947,21492,29414,29713,19183,14328,127187,13709,44067,80247,65977,40721,20466,21804,44096,713,17107,23001,11609,6225,15613,1758
31,32123,81246,81861,40754,37105,3463,9688,9306,6810,6319,32489,3338,13868,22349,25529,16777,4155,3998,11429,1501,7750,3656,3671,0,0,615
32,24586,61970,62444,31936,20296,5388,6232,5949,5163,7242,27664,3116,10548,16810,20009,11961,3651,9260,8595,24,1928,4206,2517,0,0,474
33,42423,105292,107064,55465,33004,12346,10643,9544,8939,13297,61076,5553,18895,29407,32114,21095,9642,12665,21777,159,5275,11558,4782,757,813,1772
34,37839,86046,86684,43345,29411,12162,7351,7057,7260,16171,47573,3786,15799,18929,28701,19469,8277,10698,20957,82,3289,4270,4105,1489,5370,638
