airport,direction,year,access_mode,submode,share_submode
SFO,from,2050,LI,S3,0.3928
SFO,from,2050,VN,S3,1.0000
SFO,from,2050,HT,S3,1.0000
SFO,from,2050,CH,S3,1.0000
SJC,from,2050,ES,DA,0.2813
SJC,from,2050,ES,S2,0.4856
SJC,from,2050,ES,S3,0.2331
SJC,from,2050,PK,DA,0.6199
SJC,from,2050,PK,S2,0.2778
SJC,from,2050,PK,S3,0.1023
SJC,from,2050,RN,DA,0.4582
SJC,from,2050,RN,S2,0.4009
SJC,from,2050,RN,S3,0.1409
SJC,from,2050,TX,DA,0.0408
SJC,from,2050,TX,S2,0.6466
SJC,from,2050,TX,S3,0.3126
SJC,from,2050,LI,DA,0.2957
SJC,from,2050,LI,S2,0.3784
SJC,from,2050,LI,S3,0.3259
SJC,from,2050,VN,S3,1.0000
SJC,from,2050,HT,S3,1.0000
SJC,from,2050,CH,S3,1.0000
OAK,to,2050,ES,DA,0.2711
OAK,to,2050,ES,S2,0.4716
OAK,to,2050,ES,S3,0.2573
OAK,to,2050,PK,DA,0.5199
OAK,to,2050,PK,S2,0.3289
OAK,to,2050,PK,S3,0.1512
OAK,to,2050,RN,DA,0.4979
OAK,to,2050,RN,S2,0.3322
OAK,to,2050,RN,S3,0.1699
OAK,to,2050,TX,DA,0.0394
OAK,to,2050,TX,S2,0.5758
OAK,to,2050,TX,S3,0.3847
OAK,to,2050,LI,DA,0.2971
OAK,to,2050,LI,S2,0.3977
OAK,to,2050,LI,S3,0.3052
OAK,to,2050,VN,S3,1.0000
OAK,to,2050,HT,S3,1.0000
OAK,to,2050,CH,S3,1.0000
SFO,to,2050,ES,DA,0.2592
SFO,to,2050,ES,S2,0.3994
SFO,to,2050,ES,S3,0.3414
SFO,to,2050,PK,DA,0.4369
SFO,to,2050,PK,S2,0.3740
SFO,to,2050,PK,S3,0.1891
SFO,to,2050,RN,DA,0.4292
SFO,to,2050,RN,S2,0.3901
SFO,to,2050,RN,S3,0.1807
SFO,to,2050,TX,DA,0.0402
SFO,to,2050,TX,S2,0.5595
SFO,to,2050,TX,S3,0.4003
SFO,to,2050,LI,DA,0.2931
SFO,to,2050,LI,S2,0.3731
SFO,to,2050,LI,S3,0.3338
SFO,to,2050,VN,S3,1.0000
SFO,to,2050,HT,S3,1.0000
SFO,to,2050,CH,S3,1.0000
SJC,to,2050,ES,DA,0.2711
SJC,to,2050,ES,S2,0.4717
SJC,to,2050,ES,S3,0.2572
SJC,to,2050,PK,DA,0.5226
SJC,to,2050,PK,S2,0.3286
SJC,to,2050,PK,S3,0.1488
SJC,to,2050,RN,DA,0.4977
SJC,to,2050,RN,S2,0.3321
SJC,to,2050,RN,S3,0.1702
SJC,to,2050,TX,DA,0.0397
SJC,to,2050,TX,S2,0.5766
SJC,to,2050,TX,S3,0.3836
SJC,to,2050,LI,DA,0.2995
SJC,to,2050,LI,S2,0.3978
SJC,to,2050,LI,S3,0.3028
SJC,to,2050,VN,S3,1.0000
SJC,to,2050,HT,S3,1.0000
SJC,to,2050,CH,S3,1.0000
