file_name,airport,direction,year,district,share
2023_fromSJC,SJC,from,2023,33,0.0004
2023_fromSJC,SJC,from,2023,34,0.0008
2023_toOAK,OAK,to,2023,1,0.0800
2023_toOAK,OAK,to,2023,2,0.0378
2023_toOAK,OAK,to,2023,3,0.0242
2023_toOAK,OAK,to,2023,4,0.0128
2023_toOAK,OAK,to,2023,5,0.0106
2023_toOAK,OAK,to,2023,6,0.0106
2023_toOAK,OAK,to,2023,7,0.0035
2023_toOAK,OAK,to,2023,8,0.0089
2023_toOAK,OAK,to,2023,9,0.0071
2023_toOAK,OAK,to,2023,10,0.0032
2023_toOAK,OAK,to,2023,11,0.0054
2023_toOAK,OAK,to,2023,12,0.0015
2023_toOAK,OAK,to,2023,13,0.0015
2023_toOAK,OAK,to,2023,14,0.0026
2023_toOAK,OAK,to,2023,15,0.0664
2023_toOAK,OAK,to,2023,16,0.0347
2023_toOAK,OAK,to,2023,17,0.0577
2023_toOAK,OAK,to,2023,18,0.1854
2023_toOAK,OAK,to,2023,19,0.0918
2023_toOAK,OAK,to,2023,20,0.0331
2023_toOAK,OAK,to,2023,21,0.0453
2023_toOAK,OAK,to,2023,22,0.0536
2023_toOAK,OAK,to,2023,23,0.0422
2023_toOAK,OAK,to,2023,24,0.0307
2023_toOAK,OAK,to,2023,25,0.0142
2023_toOAK,OAK,to,2023,26,0.0063
2023_toOAK,OAK,to,2023,27,0.0122
2023_toOAK,OAK,to,2023,28,0.0064
2023_toOAK,OAK,to,2023,29,0.0240
2023_toOAK,OAK,to,2023,30,0.0332
2023_toOAK,OAK,to,2023,31,0.0083
2023_toOAK,OAK,to,2023,32,0.0088
2023_toOAK,OAK,to,2023,33,0.0219
2023_toOAK,OAK,to,2023,34,0.0141
2023_toSFO,SFO,to,2023,1,0.2330
2023_toSFO,SFO,to,2023,2,0.0741
2023_toSFO,SFO,to,2023,3,0.0598
2023_toSFO,SFO,to,2023,4,0.0239
2023_toSFO,SFO,to,2023,5,0.0682
2023_toSFO,SFO,to,2023,6,0.0621
2023_toSFO,SFO,to,2023,7,0.0329
2023_toSFO,SFO,to,2023,8,0.0409
2023_toSFO,SFO,to,2023,9,0.0410
2023_toSFO,SFO,to,2023,10,0.0222
2023_toSFO,SFO,to,2023,11,0.0170
2023_toSFO,SFO,to,2023,12,0.0129
2023_toSFO,SFO,to,2023,13,0.0145
2023_toSFO,SFO,to,2023,14,0.0055
2023_toSFO,SFO,to,2023,15,0.0184
2023_toSFO,SFO,to,2023,16,0.0193
2023_toSFO,SFO,to,2023,17,0.0159
2023_toSFO,SFO,to,2023,18,0.0277
2023_toSFO,SFO,to,2023,19,0.0265
2023_toSFO,SFO,to,2023,20,0.0121
2023_toSFO,SFO,to,2023,21,0.0155
2023_toSFO,SFO,to,2023,22,0.0201
2023_toSFO,SFO,to,2023,23,0.0077
2023_toSFO,SFO,to,2023,24,0.0084
2023_toSFO,SFO,to,2023,25,0.0114
2023_toSFO,SFO,to,2023,26,0.0078
2023_toSFO,SFO,to,2023,27,0.0107
2023_toSFO,SFO,to,2023,28,0.0085
2023_toSFO,SFO,to,2023,29,0.0169
2023_toSFO,SFO,to,2023,30,0.0169
2023_toSFO,SFO,to,2023,31,0.0067
2023_toSFO,SFO,to,2023,32,0.0062
2023_toSFO,SFO,to,2023,33,0.0162
2023_toSFO,SFO,to,2023,34,0.0192
2023_toSJC,SJC,to,2023,1,0.0128
2023_toSJC,SJC,to,2023,2,0.0042
2023_toSJC,SJC,to,2023,3,0.0107
2023_toSJC,SJC,to,2023,4,0.0045
2023_toSJC,SJC,to,2023,5,0.0105
2023_toSJC,SJC,to,2023,6,0.0285
2023_toSJC,SJC,to,2023,7,0.0560
2023_toSJC,SJC,to,2023,8,0.1180
2023_toSJC,SJC,to,2023,9,0.1647
2023_toSJC,SJC,to,2023,10,0.0913
2023_toSJC,SJC,to,2023,11,0.1932
2023_toSJC,SJC,to,2023,12,0.0582
2023_toSJC,SJC,to,2023,13,0.0950
2023_toSJC,SJC,to,2023,14,0.0546
2023_toSJC,SJC,to,2023,15,0.0168
2023_toSJC,SJC,to,2023,16,0.0526
2023_toSJC,SJC,to,2023,17,0.0061
2023_toSJC,SJC,to,2023,18,0.0020
2023_toSJC,SJC,to,2023,19,0.0020
2023_toSJC,SJC,to,2023,20,0.0004
2023_toSJC,SJC,to,2023,21,0.0004
2023_toSJC,SJC,to,2023,22,0.0018
2023_toSJC,SJC,to,2023,23,0.0059
2023_toSJC,SJC,to,2023,24,0.0037
2023_toSJC,SJC,to,2023,25,0.0007
2023_toSJC,SJC,to,2023,26,0.0000
2023_toSJC,SJC,to,2023,27,0.0002
2023_toSJC,SJC,to,2023,28,0.0024
2023_toSJC,SJC,to,2023,29,0.0014
2023_toSJC,SJC,to,2023,30,0.0001
2023_toSJC,SJC,to,2023,31,0.0002
2023_toSJC,SJC,to,2023,32,0.0000
2023_toSJC,SJC,to,2023,33,0.0004
2023_toSJC,SJC,to,2023,34,0.0008
2050_fromOAK,OAK,from,2050,1,0.0945
2050_fromOAK,OAK,from,2050,2,0.0328
2050_fromOAK,OAK,from,2050,3,0.0254
2050_fromOAK,OAK,from,2050,4,0.0114
2050_fromOAK,OAK,from,2050,5,0.0121
2050_fromOAK,OAK,from,2050,6,0.0104
2050_fromOAK,OAK,from,2050,7,0.0037
2050_fromOAK,OAK,from,2050,8,0.0084
2050_fromOAK,OAK,from,2050,9,0.0081
2050_fromOAK,OAK,from,2050,10,0.0029
2050_fromOAK,OAK,from,2050,11,0.0082
2050_fromOAK,OAK,from,2050,12,0.0017
2050_fromOAK,OAK,from,2050,13,0.0014
2050_fromOAK,OAK,from,2050,14,0.0029
2050_fromOAK,OAK,from,2050,15,0.0636
2050_fromOAK,OAK,from,2050,16,0.0303
2050_fromOAK,OAK,from,2050,17,0.0572
2050_fromOAK,OAK,from,2050,18,0.2060
2050_fromOAK,OAK,from,2050,19,0.0873
2050_fromOAK,OAK,from,2050,20,0.0383
2050_fromOAK,OAK,from,2050,21,0.0463
2050_fromOAK,OAK,from,2050,22,0.0416
2050_fromOAK,OAK,from,2050,23,0.0327
2050_fromOAK,OAK,from,2050,24,0.0356
2050_fromOAK,OAK,from,2050,25,0.0184
2050_fromOAK,OAK,from,2050,26,0.0098
2050_fromOAK,OAK,from,2050,27,0.0136
2050_fromOAK,OAK,from,2050,28,0.0059
2050_fromOAK,OAK,from,2050,29,0.0179
2050_fromOAK,OAK,from,2050,30,0.0264
2050_fromOAK,OAK,from,2050,31,0.0066
2050_fromOAK,OAK,from,2050,32,0.0081
2050_fromOAK,OAK,from,2050,33,0.0189
2050_fromOAK,OAK,from,2050,34,0.0114
2050_fromSFO,SFO,from,2050,1,0.2665
2050_fromSFO,SFO,from,2050,2,0.0622
2050_fromSFO,SFO,from,2050,3,0.0570
2050_fromSFO,SFO,from,2050,4,0.0211
2050_fromSFO,SFO,from,2050,5,0.0705
2050_fromSFO,SFO,from,2050,6,0.0509
2050_fromSFO,SFO,from,2050,7,0.0226
2050_fromSFO,SFO,from,2050,8,0.0289
2050_fromSFO,SFO,from,2050,9,0.0424
2050_fromSFO,SFO,from,2050,10,0.0177
2050_fromSFO,SFO,from,2050,11,0.0193
2050_fromSFO,SFO,from,2050,12,0.0167
2050_fromSFO,SFO,from,2050,13,0.0110
2050_fromSFO,SFO,from,2050,14,0.0045
2050_fromSFO,SFO,from,2050,15,0.0175
2050_fromSFO,SFO,from,2050,16,0.0189
2050_fromSFO,SFO,from,2050,17,0.0210
2050_fromSFO,SFO,from,2050,18,0.0375
2050_fromSFO,SFO,from,2050,19,0.0297
2050_fromSFO,SFO,from,2050,20,0.0156
2050_fromSFO,SFO,from,2050,21,0.0149
2050_fromSFO,SFO,from,2050,22,0.0184
2050_fromSFO,SFO,from,2050,23,0.0069
2050_fromSFO,SFO,from,2050,24,0.0118
2050_fromSFO,SFO,from,2050,25,0.0182
2050_fromSFO,SFO,from,2050,26,0.0132
2050_fromSFO,SFO,from,2050,27,0.0114
2050_fromSFO,SFO,from,2050,28,0.0078
2050_fromSFO,SFO,from,2050,29,0.0133
2050_fromSFO,SFO,from,2050,30,0.0136
2050_fromSFO,SFO,from,2050,31,0.0049
2050_fromSFO,SFO,from,2050,32,0.0057
2050_fromSFO,SFO,from,2050,33,0.0138
2050_fromSFO,SFO,from,2050,34,0.0144
2050_fromSJC,SJC,from,2050,1,0.0189
2050_fromSJC,SJC,from,2050,2,0.0052
2050_fromSJC,SJC,from,2050,3,0.0117
2050_fromSJC,SJC,from,2050,4,0.0045
2050_fromSJC,SJC,from,2050,5,0.0124
2050_fromSJC,SJC,from,2050,6,0.0286
2050_fromSJC,SJC,from,2050,7,0.0506
2050_fromSJC,SJC,from,2050,8,0.1013
2050_fromSJC,SJC,from,2050,9,0.1681
2050_fromSJC,SJC,from,2050,10,0.0728
2050_fromSJC,SJC,from,2050,11,0.2401
2050_fromSJC,SJC,from,2050,12,0.0544
2050_fromSJC,SJC,from,2050,13,0.0776
2050_fromSJC,SJC,from,2050,14,0.0542
2050_fromSJC,SJC,from,2050,15,0.0166
2050_fromSJC,SJC,from,2050,16,0.0429
2050_fromSJC,SJC,from,2050,17,0.0066
2050_fromSJC,SJC,from,2050,18,0.0052
2050_fromSJC,SJC,from,2050,19,0.0036
2050_fromSJC,SJC,from,2050,20,0.0013
2050_fromSJC,SJC,from,2050,21,0.0013
2050_fromSJC,SJC,from,2050,22,0.0022
2050_fromSJC,SJC,from,2050,23,0.0049
2050_fromSJC,SJC,from,2050,24,0.0046
2050_fromSJC,SJC,from,2050,25,0.0017
2050_fromSJC,SJC,from,2050,26,0.0003
2050_fromSJC,SJC,from,2050,27,0.0006
2050_fromSJC,SJC,from,2050,28,0.0023
2050_fromSJC,SJC,from,2050,29,0.0017
2050_fromSJC,SJC,from,2050,30,0.0010
2050_fromSJC,SJC,from,2050,31,0.0005
2050_fromSJC,SJC,from,2050,32,0.0003
2050_fromSJC,SJC,from,2050,33,0.0010
2050_fromSJC,SJC,from,2050,34,0.0010
2050_toOAK,OAK,to,2050,1,0.0939
2050_toOAK,OAK,to,2050,2,0.0327
2050_toOAK,OAK,to,2050,3,0.0254
2050_toOAK,OAK,to,2050,4,0.0115
2050_toOAK,OAK,to,2050,5,0.0121
2050_toOAK,OAK,to,2050,6,0.0104
2050_toOAK,OAK,to,2050,7,0.0037
2050_toOAK,OAK,to,2050,8,0.0084
2050_toOAK,OAK,to,2050,9,0.0081
2050_toOAK,OAK,to,2050,10,0.0028
2050_toOAK,OAK,to,2050,11,0.0082
2050_toOAK,OAK,to,2050,12,0.0017
2050_toOAK,OAK,to,2050,13,0.0014
2050_toOAK,OAK,to,2050,14,0.0029
2050_toOAK,OAK,to,2050,15,0.0637
2050_toOAK,OAK,to,2050,16,0.0304
2050_toOAK,OAK,to,2050,17,0.0573
2050_toOAK,OAK,to,2050,18,0.2061
2050_toOAK,OAK,to,2050,19,0.0874
2050_toOAK,OAK,to,2050,20,0.0384
2050_toOAK,OAK,to,2050,21,0.0463
2050_toOAK,OAK,to,2050,22,0.0417
2050_toOAK,OAK,to,2050,23,0.0328
2050_toOAK,OAK,to,2050,24,0.0358
2050_toOAK,OAK,to,2050,25,0.0184
2050_toOAK,OAK,to,2050,26,0.0098
2050_toOAK,OAK,to,2050,27,0.0135
2050_toOAK,OAK,to,2050,28,0.0058
2050_toOAK,OAK,to,2050,29,0.0179
2050_toOAK,OAK,to,2050,30,0.0264
2050_toOAK,OAK,to,2050,31,0.0066
2050_toOAK,OAK,to,2050,32,0.0081
2050_toOAK,OAK,to,2050,33,0.0189
2050_toOAK,OAK,to,2050,34,0.0113
2050_toSFO,SFO,to,2050,1,0.2639
2050_toSFO,SFO,to,2050,2,0.0622
2050_toSFO,SFO,to,2050,3,0.0572
2050_toSFO,SFO,to,2050,4,0.0212
2050_toSFO,SFO,to,2050,5,0.0703
2050_toSFO,SFO,to,2050,6,0.0509
2050_toSFO,SFO,to,2050,7,0.0226
2050_toSFO,SFO,to,2050,8,0.0290
2050_toSFO,SFO,to,2050,9,0.0427
2050_toSFO,SFO,to,2050,10,0.0178
2050_toSFO,SFO,to,2050,11,0.0194
2050_toSFO,SFO,to,2050,12,0.0168
2050_toSFO,SFO,to,2050,13,0.0110
2050_toSFO,SFO,to,2050,14,0.0045
2050_toSFO,SFO,to,2050,15,0.0176
2050_toSFO,SFO,to,2050,16,0.0191
2050_toSFO,SFO,to,2050,17,0.0211
2050_toSFO,SFO,to,2050,18,0.0377
2050_toSFO,SFO,to,2050,19,0.0299
2050_toSFO,SFO,to,2050,20,0.0158
2050_toSFO,SFO,to,2050,21,0.0150
2050_toSFO,SFO,to,2050,22,0.0186
2050_toSFO,SFO,to,2050,23,0.0069
2050_toSFO,SFO,to,2050,24,0.0119
2050_toSFO,SFO,to,2050,25,0.0183
2050_toSFO,SFO,to,2050,26,0.0133
2050_toSFO,SFO,to,2050,27,0.0113
2050_toSFO,SFO,to,2050,28,0.0078
2050_toSFO,SFO,to,2050,29,0.0133
2050_toSFO,SFO,to,2050,30,0.0136
2050_toSFO,SFO,to,2050,31,0.0049
2050_toSFO,SFO,to,2050,32,0.0058
2050_toSFO,SFO,to,2050,33,0.0139
2050_toSFO,SFO,to,2050,34,0.0145
2050_toSJC,SJC,to,2050,1,0.0186
2050_toSJC,SJC,to,2050,2,0.0051
2050_toSJC,SJC,to,2050,3,0.0116
2050_toSJC,SJC,to,2050,4,0.0045
2050_toSJC,SJC,to,2050,5,0.0124
2050_toSJC,SJC,to,2050,6,0.0285
2050_toSJC,SJC,to,2050,7,0.0505
2050_toSJC,SJC,to,2050,8,0.1014
2050_toSJC,SJC,to,2050,9,0.1682
2050_toSJC,SJC,to,2050,10,0.0729
2050_toSJC,SJC,to,2050,11,0.2402
2050_toSJC,SJC,to,2050,12,0.0546
2050_toSJC,SJC,to,2050,13,0.0780
2050_toSJC,SJC,to,2050,14,0.0542
2050_toSJC,SJC,to,2050,15,0.0166
2050_toSJC,SJC,to,2050,16,0.0429
2050_toSJC,SJC,to,2050,17,0.0066
2050_toSJC,SJC,to,2050,18,0.0052
2050_toSJC,SJC,to,2050,19,0.0036
2050_toSJC,SJC,to,2050,20,0.0013
2050_toSJC,SJC,to,2050,21,0.0013
2050_toSJC,SJC,to,2050,22,0.0022
2050_toSJC,SJC,to,2050,23,0.0049
2050_toSJC,SJC,to,2050,24,0.0046
2050_toSJC,SJC,to,2050,25,0.0017
2050_toSJC,SJC,to,2050,26,0.0002
2050_toSJC,SJC,to,2050,27,0.0006
2050_toSJC,SJC,to,2050,28,0.0023
2050_toSJC,SJC,to,2050,29,0.0017
2050_toSJC,SJC,to,2050,30,0.0010
2050_toSJC,SJC,to,2050,31,0.0004
2050_toSJC,SJC,to,2050,32,0.0002
2050_toSJC,SJC,to,2050,33,0.0010
2050_toSJC,SJC,to,2050,34,0.0010
