zone,totpop,tothh,hhinc1,hhinc2,hhinc3,hhinc4,hhage1,hhage2,hhage3,hhage4,hhchild,hhnochild,hhsize1,hhsize2,hhsize3,hhsize4,hhsize5,description
131,1132,458,105,189,154,10,9,190,132,127,141,317,98,185,85,41,49,downtown zone
132,2098,812,181,341,265,25,31,366,212,203,274,538,143,313,162,127,67,rural zone
133,789,337,93,157,87,0,35,136,79,87,107,230,99,113,53,55,17,downtown zone
134,706,274,62,132,75,5,0,136,85,53,86,188,63,100,37,38,36,rural zone
135,1618,611,109,264,211,27,0,281,216,114,234,377,82,261,114,98,56,downtown zone
136,3134,1115,217,396,463,39,17,555,333,210,489,626,169,352,220,269,105,rural zone
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
138,20,9,3,3,3,0,0,2,6,1,3,6,4,2,0,3,0,rural zone
139,144,62,29,21,12,0,0,27,28,7,15,47,11,30,16,0,5,downtown zone
140,1993,719,127,284,297,11,2,351,260,106,292,427,108,250,157,106,98,rural zone
141,1446,568,112,233,196,27,19,238,197,114,203,365,122,204,103,88,51,downtown zone
142,1489,573,129,244,179,21,26,220,195,132,200,373,108,215,98,103,49,rural zone
143,617,203,15,74,109,5,21,132,27,23,100,103,10,63,66,37,27,downtown zone
144,1820,668,129,276,258,5,5,293,230,140,220,448,121,235,111,109,92,rural zone
145,1078,467,176,226,65,0,6,191,90,180,126,341,117,216,43,55,36,downtown zone
146,748,497,339,118,40,0,31,92,72,302,47,450,326,127,19,14,11,rural zone
147,1307,528,80,278,155,15,4,253,102,169,163,365,100,218,104,71,35,downtown zone
148,56,18,3,10,5,0,0,14,2,2,11,7,2,5,4,3,4,rural zone
149,723,246,55,135,56,0,16,150,48,32,138,108,36,67,62,38,43,downtown zone
150,920,303,34,172,93,4,18,183,83,19,136,167,40,86,48,81,48,rural zone
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,downtown zone
