"DISTRICT","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","HSENROLL","COLLFTE","COLLPTE","gqpop"
16,112384,349284,352282,179440,87160,29327,15865,20022,30326,46171,183885,20487,65122,128008,89823,48842,13476,36427,47399,71,72767,13745,16425,4435,7507,2994
17,133289,402910,406910,205301,97685,38658,32435,35627,34865,30362,147587,22416,73078,146109,105734,59573,15678,20613,56570,51,36866,17809,17953,16558,13355,3988
18,193375,491095,506870,256692,100775,105346,59335,45550,40425,48065,249567,26605,83369,199313,123787,73796,13433,50396,103424,342,44525,37447,20573,6954,19592,15770
19,76139,170001,189859,98727,35595,45054,20770,15995,16091,23283,92281,7397,30623,85427,37886,28526,7817,29833,36008,186,8693,9744,5751,36767,6608,19853
20,96163,279250,281453,138975,75523,26721,25870,27196,24273,18824,77840,15111,50872,98745,72062,44663,8433,9310,34249,140,17892,7816,10359,1909,5143,2200
21,92591,244308,245524,123622,67664,26453,19806,22135,26312,24338,129757,13635,41733,82052,66389,41715,12560,30333,51463,104,12565,22732,9353,6846,13678,1212
22,63618,151967,153988,72678,43737,21859,10713,11646,14179,27080,94109,7206,27085,40992,40685,38020,8553,22790,53448,81,4420,4817,11116,3490,2162,2017
23,58288,169046,169418,79214,51279,9625,7143,7894,12219,31032,68602,7336,40716,42418,52211,26737,4587,22889,25536,1489,6155,7946,10369,0,0,368
24,106299,338236,339321,155167,94481,14172,26176,29349,28786,21988,70902,20031,74857,111980,86896,45557,9794,5838,37839,543,8166,8722,17541,1409,5314,1087
25,56348,156318,158209,73859,44836,14621,16641,16342,13893,9472,46169,8204,28066,51391,42335,28213,4568,4919,24146,216,6362,5958,6278,504,66,1885
26,103936,298340,299845,140643,84750,21651,24414,30889,29271,19362,94234,17493,58964,99775,75737,47876,12404,11300,39252,1682,12360,17236,14119,2641,7434,1503
27,38247,106223,107766,54319,31379,8632,9446,10222,9904,8675,53285,5150,20391,34317,28892,19016,4529,7560,25767,1738,7009,6682,7029,1613,4630,1541
28,11996,28052,29488,14501,13503,2482,3156,2703,2685,3452,25935,991,4400,7198,7870,9029,919,1267,9366,3142,9717,1524,803,1497,170,1435
29,67827,170225,174054,87274,56098,15910,17158,18582,17189,14898,75918,7952,29492,55036,45942,35632,6613,12776,33010,1628,13961,7930,7332,8264,1144,3834
30,92804,241918,244216,121041,73973,23916,25665,26555,23670,16914,115604,11762,43885,77374,62026,49169,11505,18072,52409,1252,15748,16618,11609,6225,15613,2303
31,32297,81230,81785,41715,37278,3699,8089,8323,8362,7523,29555,3428,13153,22117,23544,19543,2285,3385,11336,2701,6764,3084,3671,0,0,553
32,23258,59348,59879,29677,18893,5438,5000,5435,5366,7457,26231,2715,10629,15644,17177,13714,2411,5844,9982,83,4145,3766,2517,0,0,531
33,42563,106785,108310,55088,32637,13047,9289,9059,10056,14159,52388,4977,19221,29625,30688,23799,5954,9522,24427,384,3678,8423,4782,757,813,1528
34,37862,87273,87811,43598,29027,12000,6158,6077,7558,18069,40734,3567,16110,19988,27451,20695,4984,7785,21051,85,1992,4837,4105,1489,5370,538
