"ZONE","DISTRICT","SD","COUNTY","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTACRE","RESACRE","CIACRE","SHPOP62P","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TERMINAL","TOPOLOGY","ZERO","hhlds","gqpop"
46,2,2,1,4052,7044,7157,5192,393,4341,558,464,639,2391,102,42,8,0.17323055360897,2706,313,308,4113,1361,1062,46,817,1622,0,23,198,75,102,1,0,0,0,4.48436,1,0,4052,112
47,2,2,1,1723,2903,2921,1806,113,1836,279,252,405,787,56,24,11,0.196771978021978,3269,106,209,1521,586,499,113,710,2288,0,93,65,0,123,2,0,0,0,5.56798,1,0,1723,18
48,2,2,1,2004,3852,3864,2559,462,1898,266,97,636,1005,88,40,4,0.170041536863967,1041,178,355,1974,793,564,88,147,716,0,72,18,0,123,2,150,0,0,3.27094,1,0,2004,12
49,2,2,1,2265,4459,4478,2569,898,1758,237,243,482,1303,135,76,6,0.225582437275986,1295,196,498,1812,1103,869,3,177,1087,0,7,21,0,123,2,275,0,0,2.43057,1,0,2265,18
50,2,2,1,2423,4617,4657,3051,445,1996,258,182,344,1639,121,59,12,0.165194917079474,2091,208,353,2523,893,680,419,281,1235,1,32,123,0,0,2,0,0,0,3.39752,1,0,2423,40
51,2,2,1,2088,3780,3780,3068,581,1807,241,181,431,1235,107,46,15,0.15070310427169,590,170,273,2061,784,492,111,68,351,0,37,23,0,0,2,0,0,0,2.25211,3,0,2088,0
52,2,2,1,1358,3701,3701,2637,365,1018,77,234,205,842,1491,57,280,0.0680216802168022,6789,200,625,1897,776,203,352,1863,2495,20,566,1493,0,0,3,353,0,0,1.71975,1,0,1358,0
53,2,2,1,33,70,285,23,3,14,10,0,15,8,1097,5,13,0.112676056338028,1413,3,15,163,76,28,2,17,1334,0,0,60,0,0,3,0,0,0,7.99437,2,0,33,215
54,2,2,1,2800,6738,6829,3924,1364,1689,663,662,589,886,257,105,4,0.260428907168038,1030,256,753,2471,1848,1501,190,62,726,0,15,37,0,0,3,0,0,0,2.30144,1,0,2800,90
55,2,2,1,1539,3595,3595,2037,749,913,312,342,347,538,97,58,1,0.267578125,362,132,396,1261,1008,798,42,42,240,0,19,19,0,0,3,0,0,0,2.14902,1,0,1539,0
