county_name,Num_workers,num_vehicles,num_households
Solano,0,0,6120
Solano,0,1,16531
Solano,0,2,11192
Solano,0,3,2803
Solano,0,4+,1209
Solano,1,0,1589
Solano,1,1,21077
Solano,1,2,19962
Solano,1,3,9181
Solano,1,4+,3678
Solano,2,0,364
Solano,2,1,3014
Solano,2,2,19871
Solano,2,3,12738
Solano,2,4+,5024
Solano,3+,0,82
Solano,3+,1,259
Solano,3+,2,1653
Solano,3+,3,3764
Solano,3+,4+,5391
Sonoma,0,0,4998
Sonoma,0,1,26973
Sonoma,0,2,14197
Sonoma,0,3,2649
Sonoma,0,4+,1675
Sonoma,1,0,1808
Sonoma,1,1,28995
Sonoma,1,2,25040
Sonoma,1,3,8290
Sonoma,1,4+,4215
Sonoma,2,0,1190
Sonoma,2,1,6062
Sonoma,2,2,28574
Sonoma,2,3,14154
Sonoma,2,4+,6359
Sonoma,3+,0,112
Sonoma,3+,1,409
Sonoma,3+,2,3229
Sonoma,3+,3,6220
Sonoma,3+,4+,5513
Total,0,0,141727
Total,0,1,297751
Total,0,2,177198
Total,0,3,46564
Total,0,4+,17095
Total,1,0,91259
Total,1,1,462134
Total,1,2,379996
Total,1,3,120573
Total,1,4+,43412
Total,2,0,34424
Total,2,1,128902
Total,2,2,455504
Total,2,3,192331
Total,2,4+,74465
Total,3+,0,9604
Total,3+,1,17747
Total,3+,2,48711
Total,3+,3,89747
Total,3+,4+,103394
