TAZ,PUMA,COUNTY,county_name,REGION
286,8105,2,San Mateo,1
287,8105,2,San Mateo,1
288,8105,2,San Mateo,1
289,8105,2,San Mateo,1
290,8104,2,San Mateo,1
291,8104,2,San Mateo,1
292,8104,2,San Mateo,1
293,8104,2,San Mateo,1
294,8104,2,San Mateo,1
295,8104,2,San Mateo,1
296,8104,2,San Mateo,1
297,8104,2,San Mateo,1
298,8106,2,San Mateo,1
299,8106,2,San Mateo,1
300,8106,2,San Mateo,1
301,8105,2,San Mateo,1
302,8106,2,San Mateo,1
303,8105,2,San Mateo,1
304,8105,2,San Mateo,1
305,8105,2,San Mateo,1
306,8105,2,San Mateo,1
307,8105,2,San Mateo,1
308,8105,2,San Mateo,1
309,8105,2,San Mateo,1
310,8105,2,San Mateo,1
311,8105,2,San Mateo,1
312,8105,2,San Mateo,1
313,8105,2,San Mateo,1
314,8105,2,San Mateo,1
315,8105,2,San Mateo,1
316,8105,2,San Mateo,1
317,8105,2,San Mateo,1
318,8105,2,San Mateo,1
319,8105,2,San Mateo,1
320,8105,2,San Mateo,1
321,8105,2,San Mateo,1
322,8106,2,San Mateo,1
323,8105,2,San Mateo,1
324,8105,2,San Mateo,1
325,8105,2,San Mateo,1
326,8105,2,San Mateo,1
327,8106,2,San Mateo,1
328,8106,2,San Mateo,1
329,8106,2,San Mateo,1
330,8106,2,San Mateo,1
331,8106,2,San Mateo,1
332,8106,2,San Mateo,1
333,8106,2,San Mateo,1
334,8106,2,San Mateo,1
335,8106,2,San Mateo,1
336,8106,2,San Mateo,1
337,8106,2,San Mateo,1
338,8106,2,San Mateo,1
339,8106,2,San Mateo,1
340,8106,2,San Mateo,1
341,8106,2,San Mateo,1
342,8106,2,San Mateo,1
343,8106,2,San Mateo,1
344,8106,2,San Mateo,1
345,8106,2,San Mateo,1
346,8106,2,San Mateo,1
347,8501,3,Santa Clara,1
348,8501,3,Santa Clara,1
349,8501,3,Santa Clara,1
350,8501,3,Santa Clara,1
351,8501,3,Santa Clara,1
352,8501,3,Santa Clara,1
353,8501,3,Santa Clara,1
354,8501,3,Santa Clara,1
355,8501,3,Santa Clara,1
356,8501,3,Santa Clara,1
357,8501,3,Santa Clara,1
358,8501,3,Santa Clara,1
359,8501,3,Santa Clara,1
360,8501,3,Santa Clara,1
361,8501,3,Santa Clara,1
362,8501,3,Santa Clara,1
363,8501,3,Santa Clara,1
364,8501,3,Santa Clara,1
365,8501,3,Santa Clara,1
366,8501,3,Santa Clara,1
367,8501,3,Santa Clara,1
368,8501,3,Santa Clara,1
369,8501,3,Santa Clara,1
370,8501,3,Santa Clara,1
371,8501,3,Santa Clara,1
372,8501,3,Santa Clara,1
373,8501,3,Santa Clara,1
374,8501,3,Santa Clara,1
375,8501,3,Santa Clara,1
376,8501,3,Santa Clara,1
377,8501,3,Santa Clara,1
378,8501,3,Santa Clara,1
379,8501,3,Santa Clara,1
380,8501,3,Santa Clara,1
381,8501,3,Santa Clara,1
382,8501,3,Santa Clara,1
383,8501,3,Santa Clara,1
384,8501,3,Santa Clara,1
385,8501,3,Santa Clara,1
386,8501,3,Santa Clara,1
387,8501,3,Santa Clara,1
388,8501,3,Santa Clara,1
389,8501,3,Santa Clara,1
390,8501,3,Santa Clara,1
391,8501,3,Santa Clara,1
392,8502,3,Santa Clara,1
393,8502,3,Santa Clara,1
394,8502,3,Santa Clara,1
395,8502,3,Santa Clara,1
396,8502,3,Santa Clara,1
397,8501,3,Santa Clara,1
398,8501,3,Santa Clara,1
399,8501,3,Santa Clara,1
400,8501,3,Santa Clara,1
401,8501,3,Santa Clara,1
402,8501,3,Santa Clara,1
403,8502,3,Santa Clara,1
404,8502,3,Santa Clara,1
405,8502,3,Santa Clara,1
406,8503,3,Santa Clara,1
407,8503,3,Santa Clara,1
408,8503,3,Santa Clara,1
409,8503,3,Santa Clara,1
410,8503,3,Santa Clara,1
411,8503,3,Santa Clara,1
412,8503,3,Santa Clara,1
413,8503,3,Santa Clara,1
414,8503,3,Santa Clara,1
415,8503,3,Santa Clara,1
416,8503,3,Santa Clara,1
