ZONE,RES_UNITS,TOTHH,TOTEMP
617,1323,1273,526
618,770,741,50
619,1530,1502,295
620,1089,1056,745
621,1221,1191,719
622,1535,1495,439
623,1999,1951,273
624,844,823,93
625,1552,1510,639
626,1276,1257,490
627,1754,1709,824
628,1497,1457,633
629,1709,1635,326
630,2294,2212,742
631,1365,1329,705
632,1605,1480,1672
633,2411,2303,854
634,1535,1477,871
635,1031,985,578
636,1347,1284,690
637,1538,1458,221
638,1268,1225,268
639,1340,1303,494
640,831,805,420
641,872,847,356
642,1074,1007,175
643,1022,994,247
644,1078,1055,424
645,1196,1165,533
646,897,882,149
647,1274,1251,115
648,1766,1708,290
649,1122,1089,538
650,1983,1919,710
651,1803,1751,860
652,1488,1398,557
653,3065,2979,1972
654,3985,3808,452
655,3893,3783,747
656,2021,1984,5048
657,2401,2309,754
658,1333,1300,233
659,1032,1003,475
660,1037,1007,4216
661,2049,1975,9154
662,1395,1370,232
663,980,961,305
664,2881,2633,198
665,2301,2245,711
666,1810,1741,251
667,1968,1841,431
668,2031,1995,597
669,2411,2325,544
670,2166,2098,407
671,2683,2586,526
672,1505,1468,679
673,1515,1455,420
674,1812,1781,1100
675,1684,1649,1010
676,3081,2955,3451
677,1622,1535,4507
678,925,911,193
679,1710,1653,670
680,2187,2151,1123
681,1318,1276,703
682,1798,1766,727
683,1339,1318,395
684,2413,2359,833
685,1655,1615,455
686,2054,1981,933
687,1506,1460,1874
688,2953,2862,827
689,1458,1442,320
690,1949,1921,800
691,1058,1045,249
692,1119,1094,847
693,1343,1320,394
694,1741,1716,222
695,2647,2607,324
696,2218,2142,646
697,590,565,2474
698,2279,2202,907
699,1724,1659,358
700,3511,3280,7973
701,2297,2231,1123
702,3150,3023,3502
703,1336,1278,181
704,1548,1426,768
705,3495,3309,1732
706,1007,917,7324
707,2177,2039,3687
708,2640,2514,945
709,1754,1700,1848
710,2130,2038,576
711,2471,2392,285
712,1503,1428,1695
713,1628,1532,825
714,493,378,211
715,2473,2324,17804
716,1802,1752,2693
717,2219,2117,1508
718,2803,2730,3076
719,2561,2460,302
720,1358,1268,1685
721,2327,2256,2164
722,2726,2598,445
723,1854,1757,1716
724,2916,2723,4081
725,1345,1322,419
726,2980,2904,368
727,1067,1030,419
728,2653,2580,3842
729,4194,3874,3563
730,3282,3073,5152
731,2070,1923,50
732,1659,1601,4565
733,2059,1998,4314
734,2823,2726,1741
735,1350,1267,514
736,3290,3193,11048
737,1538,1514,5887
738,1973,1942,72
739,2368,2237,6194
740,1405,1361,1153
741,1700,1670,563
742,3563,3469,14902
743,3308,3220,3205
744,1833,1764,3155
745,1881,1799,314
746,2677,2587,1475
747,1194,1171,212
748,1225,1207,168
749,2141,2078,677
750,590,507,8052
751,110,109,22922
752,258,240,15850
753,1439,1410,535
754,1221,1168,1096
755,3148,3082,911
756,2159,2107,2611
757,818,795,105
758,1890,1791,445
759,2413,2332,223
760,1977,1912,307
761,3511,3286,3560
762,1295,1247,256
763,3273,3099,2871
764,2239,2167,1280
765,943,909,851
766,1093,1046,406
767,3027,2920,6971
768,2429,2333,3734
769,3765,3612,2452
770,1985,1927,923
771,2496,2424,1189
772,1480,1431,212
773,1997,1937,2533
774,2852,2672,1782
775,3042,2925,411
776,2437,2334,1304
777,2227,2037,7229
778,5584,5332,5959
779,1660,1628,315
780,1035,1007,255
781,1735,1641,391
782,2631,2487,314
783,1065,1032,95
784,1873,1832,732
785,2342,2230,610
786,1439,1397,164
787,2354,2279,528
788,1800,1759,364
789,1236,1202,114
790,2020,1974,250
791,916,871,778
792,881,860,66
793,1376,1340,415
794,872,866,155
795,882,842,1026
796,2119,2061,6255
797,2206,2116,7334
798,1626,1555,1003
799,1719,1685,222
800,1984,1916,1337
801,3663,3534,1471
802,1501,1447,395
803,1082,925,420
804,1179,1143,406
805,2134,2075,292
806,3185,3026,8879
807,1245,1195,184
808,924,877,4737
809,746,729,2444
810,3338,3193,20938
811,2435,2327,3224
812,1269,1196,2507
813,943,883,2101
814,954,925,205
815,1189,1128,215
816,940,894,534
817,2232,2047,662
818,1382,1297,424
819,708,666,428
820,4216,3958,787
821,1648,1568,390
822,1051,994,384
823,3042,2734,1111
824,1843,1699,3274
825,1937,1790,491
826,1718,1599,582
827,1366,1318,2888
828,2284,2146,1502
829,1050,1004,663
830,1926,1820,539
831,1269,1202,581
832,1807,1739,669
833,1473,1435,260
834,1697,1640,1540
835,1666,1617,700
836,1543,1473,512
837,3336,3121,720
838,1521,1403,748
839,2167,1940,3451
840,2691,2531,1454
841,1738,1609,598
842,1390,1295,595
843,1429,1375,274
844,3230,3132,1072
845,2496,2415,898
846,2215,2098,538
847,1226,1153,1292
848,1902,1788,3788
849,1398,1342,433
850,1354,1320,158
851,764,746,67
