ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
49,2,2,1,2427,4470,4498,2768,432,2167,329,415,410,1273,135,76,6,0.186,753,239,363,1829,1476,591,54,261,330,91,12,5,0,123,2,251.89392,0,0,1,2.23352,0,2427,49,28
50,2,2,1,2526,4417,4420,2948,333,2300,373,537,424,1192,121,59,12,0.192,2656,204,248,2171,1164,633,294,337,1179,781,1,64,0,0,2,0,0,0,1,3.57225,0,2526,50,3
51,2,2,1,2206,3688,3698,2317,247,2039,356,533,490,827,107,46,15,0.178,373,181,128,2055,839,495,51,160,85,66,2,9,0,0,2,0,0,0,3,2.20088,0,2206,51,10
52,2,2,1,893,2614,2623,1564,111,842,140,210,250,293,1491,57,280,0.022,2573,218,311,1776,296,22,16,743,458,1067,7,282,0,0,3,0,0,0,1,1.35882,0,893,52,9
53,2,2,1,49,63,188,60,0,50,19,15,12,3,1097,5,13,0.043,3383,2,4,131,49,2,14,25,1218,2097,25,4,0,0,3,0,0,0,2,9.14484,0,49,53,125
54,2,2,1,2755,6568,6646,3608,1278,1631,681,781,680,613,257,105,4,0.225,980,267,769,2485,1994,1131,312,163,419,68,0,18,0,0,3,0,0,0,1,2.33034,0,2755,54,78
55,2,2,1,1557,3676,3676,1822,827,813,368,472,365,352,97,58,1,0.215,727,181,428,1327,1151,589,77,72,46,524,3,5,0,0,3,0,0,0,1,2.49623,0,1557,55,0
56,2,2,1,60,126,316,192,15,53,14,17,10,19,250,2,157,0.452,489,5,20,71,99,121,3,5,197,282,0,2,0,0,3,0,0,0,1,1.06357,0,60,56,190
57,2,2,1,956,2449,2449,1297,742,271,93,149,126,588,137,80,3,0.235,322,200,375,600,846,428,35,118,136,22,4,7,0,0,3,0,0,0,1,1.57061,0,956,57,0
58,2,2,1,2437,5524,5554,2965,345,2239,670,647,605,515,104,54,11,0.206,838,217,686,2219,1578,854,254,86,386,99,0,13,0,0,3,0,0,0,1,2.91807,0,2437,58,30
