"A302100 - Total Workers (1) (Workers 16 years and over)"
"Current date: 7/6/2022 1:55:44 PM (Eastern Daylight Time)"
"RESIDENCE","WORKPLACE","Output","Workers 16 and Over",
"Solano County, California","Alameda County, California","Estimate","10,085"
"Solano County, California","Alameda County, California","Margin of Error","629"
"Solano County, California","Contra Costa County, California","Estimate","19,485"
"Solano County, California","Contra Costa County, California","Margin of Error","872"
"Solano County, California","Marin County, California","Estimate","5,240"
"Solano County, California","Marin County, California","Margin of Error","532"
"Solano County, California","Napa County, California","Estimate","12,660"
"Solano County, California","Napa County, California","Margin of Error","748"
"Solano County, California","San Francisco County, California","Estimate","10,150"
"Solano County, California","San Francisco County, California","Margin of Error","867"
"Solano County, California","San Joaquin County, California","Estimate","550"
"Solano County, California","San Joaquin County, California","Margin of Error","164"
"Solano County, California","San Mateo County, California","Estimate","2,195"
"Solano County, California","San Mateo County, California","Margin of Error","320"
"Solano County, California","Santa Clara County, California","Estimate","1,690"
"Solano County, California","Santa Clara County, California","Margin of Error","336"
"Solano County, California","Solano County, California","Estimate","111,510"
"Solano County, California","Solano County, California","Margin of Error","1,950"
"Solano County, California","Sonoma County, California","Estimate","2,935"
"Solano County, California","Sonoma County, California","Margin of Error","377"
"Sonoma County, California","Alameda County, California","Estimate","2,320"
"Sonoma County, California","Alameda County, California","Margin of Error","301"
"Sonoma County, California","Contra Costa County, California","Estimate","965"
"Sonoma County, California","Contra Costa County, California","Margin of Error","202"
"Sonoma County, California","Marin County, California","Estimate","16,105"
"Sonoma County, California","Marin County, California","Margin of Error","880"
"Sonoma County, California","Napa County, California","Estimate","4,165"
"Sonoma County, California","Napa County, California","Margin of Error","486"
"Sonoma County, California","San Francisco County, California","Estimate","6,870"
"Sonoma County, California","San Francisco County, California","Margin of Error","608"
"Sonoma County, California","San Joaquin County, California","Estimate","60"
"Sonoma County, California","San Joaquin County, California","Margin of Error","41"
"Sonoma County, California","San Mateo County, California","Estimate","1,010"
"Sonoma County, California","San Mateo County, California","Margin of Error","197"
"Sonoma County, California","Santa Clara County, California","Estimate","1,160"
"Sonoma County, California","Santa Clara County, California","Margin of Error","253"
"Sonoma County, California","Solano County, California","Estimate","885"
"Sonoma County, California","Solano County, California","Margin of Error","212"
"Sonoma County, California","Sonoma County, California","Estimate","201,875"
"Sonoma County, California","Sonoma County, California","Margin of Error","2,088"


"U.S. Census Bureau, American Community Survey 2012-2016 Five-year estimates. Special Tabulation: Census Transportation Planning"
